team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Sibenik,Vukovar 1991,1.4463354581649082,0.9680514956977694,True,1.0352257031663358e-10,Sibenik,Vukovar 1991,1.3434324030096667,1.1371680600712653,True,3.396450647738777e-14
Cibalia,Croatia Zmijavci,1.5963775306442745,0.7822644394527835,True,1.8830328955416755e-09,Cibalia,Croatia Zmijavci,1.452126988282486,1.0200848324354321,True,3.95153624242311e-10
Solin,Bijelo Brdo,1.3703942430329834,1.042467124695961,True,3.0361299743744235e-13,Solin,Bijelo Brdo,1.471523359596687,1.1207985429825342,True,6.572887322423183e-14
Sesvete,Dugopolje,1.0663006290185488,1.019181684997249,True,1.1634204052175362e-11,Sesvete,Dugopolje,1.1860543168764015,0.9257904624526591,True,3.5314741220821e-09
Orijent,Dubrava,1.3151850904503444,1.0065848094105085,True,4.977967589994226e-10,Orijent,Dubrava,1.3927412849750476,0.9425183732380488,True,6.044347731403199e-12
Zrinski Jurjevac,Jarun,1.1785616017362843,1.216304867629225,True,5.719662564032646e-12,Zrinski Jurjevac,Jarun,1.5963996984155011,1.0077068518471122,True,1.128758094496044e-09
Vukovar 1991,Zrinski Jurjevac,1.64719799613673,0.9966030670643329,True,3.025343336130479e-10,Vukovar 1991,Zrinski Jurjevac,1.5258891745148095,0.8279824491836089,True,2.1574072616007265e-11
Solin,Sibenik,1.0289291504690086,1.2206539944753163,True,5.855067772879919e-11,Solin,Sibenik,0.9967390166285973,1.330687275201654,True,1.1447605100261605e-10
Dubrava,Cibalia,1.1075971761913486,0.9924443585041145,True,9.26535392949874e-12,Dubrava,Cibalia,1.2723163173178218,0.9190627978407319,True,5.486376371414474e-10
Bijelo Brdo,Dugopolje,1.2250693335010479,0.9853722372403857,True,3.351364432192297e-11,Bijelo Brdo,Dugopolje,1.3758613212423962,0.943711747550116,True,1.1750404495103243e-11
Croatia Zmijavci,Sesvete,1.141996484305661,1.063508889880343,True,5.144549213455762e-09,Croatia Zmijavci,Sesvete,1.4045839837257013,1.124017776891963,True,8.2313657114101e-10
Jarun,Orijent,1.4105193894320787,1.1017654257001057,True,5.0033387339028215e-15,Jarun,Orijent,1.2025672025716816,1.1485104950310274,True,2.1576806572767504e-12
Dugopolje,Croatia Zmijavci,1.4924507006724002,0.9212584890030422,True,1.2073667108500842e-11,Dugopolje,Croatia Zmijavci,1.2954799506473325,0.8815506725438214,True,3.5317391038576802e-09
