team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Skive,Esbjerg,1.0743638577008594,1.8230935795256742,True,3.312384060280464e-10,Skive,Esbjerg,0.9814579874051735,1.8712725782777169,True,3.183497338878636e-09
Middelfart,Aarhus Fremad,1.0129673098154657,1.79486028027896,True,7.511110550754674e-11,Middelfart,Aarhus Fremad,1.3169368901940481,1.825587928315663,True,3.472336860316965e-10
F. Amager,Hellerup,1.6515178618942636,1.1130342786233873,True,6.813517186172392e-09,F. Amager,Hellerup,1.6515178618942636,1.1130342786233873,True,6.813517186172392e-09
Brabrand,Thisted FC,1.4984394088874762,1.0581479113061354,True,1.8884435537700652e-10,Brabrand,Thisted FC,1.2773400233874526,1.2081011454281392,True,4.862746472600388e-10
Roskilde,FA 2000,1.9694636369084468,0.971515188161018,True,4.3212820952486774e-13,Roskilde,FA 2000,2.261592147599833,1.2718562305529484,True,6.974389766243025e-12
Nykobing,AB Copenhagen,1.4708944020317607,1.4563123317977367,True,1.1088913686619958e-09,Nykobing,AB Copenhagen,1.442471005033427,1.431751084617428,True,2.2976633242965377e-10
Thisted FC,Middelfart,1.854639577019311,1.0847039267475989,True,8.518379054925532e-12,Thisted FC,Middelfart,1.9244113423715312,1.6192345924174663,True,4.5895273703049736e-12
Hellerup,Skive,1.6075451852581346,1.0681342893725836,True,4.246391182501368e-12,Hellerup,Skive,1.5765898460863448,1.044745168329003,True,3.557909973734528e-11
AB Copenhagen,Brabrand,1.5883655135225214,1.1753291370833991,True,5.14709926230278e-12,AB Copenhagen,Brabrand,1.9605927899364606,0.9529650386246856,True,2.5590126666620573e-09
Aarhus Fremad,Roskilde,1.6722791359422686,1.0587700498117711,True,4.66153293842059e-11,Aarhus Fremad,Roskilde,1.773613536994676,1.001174812446616,True,1.173544726162502e-10
Esbjerg,F. Amager,1.990212728962497,1.0507112028434862,True,8.812035929553582e-13,Esbjerg,F. Amager,2.249581721932294,0.8704959808095378,True,2.7773842707264245e-10
Middelfart,Esbjerg,1.3547215706258358,2.28346745381068,True,1.1317356085928233e-11,Middelfart,Esbjerg,1.3931822314031492,2.197536846237716,True,4.256143342223743e-12
AB Copenhagen,Hellerup,1.6092473541751575,1.242350015945884,True,2.1945850164947034e-11,AB Copenhagen,Hellerup,1.579424287679987,1.1019812291270623,True,1.4170132628616734e-10
Skive,Aarhus Fremad,0.9630126776222144,1.8838625536436395,True,5.785562153080414e-10,Skive,Aarhus Fremad,0.9556572842770228,1.9229386104524457,True,2.7050305592593578e-11
Nykobing,Roskilde,1.4802246970257837,1.078809277706011,True,3.9451220891959017e-11,Nykobing,Roskilde,1.58087824723627,1.5093323254263613,True,8.155826768070557e-11
Brabrand,FA 2000,1.42966208189019,1.2926002192630555,True,1.1877516588233837e-09,Brabrand,FA 2000,1.4523667057637593,1.4203860030432502,True,2.216132165825128e-09
