team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Holstebro,Vejgaard,1.2633551164626264,1.202285106832951,True,1.484049029208421e-10,Holstebro,Vejgaard,1.3439727597082503,1.1113739839253425,True,4.766933373261278e-13
Lyseng,Ishoj,1.335691559311645,1.6441196749382978,True,1.4470742859613071e-10,Lyseng,Ishoj,1.2155816492056113,1.8286072387019914,True,1.541001910380355e-09
Naesby,BK Frem,1.3565281314592095,1.2331521248453334,True,2.3397437832895515e-10,Naesby,BK Frem,1.366654505520795,1.2428560142722427,True,1.7479607219097037e-10
VSK Aarhus,Young Boys,1.5069215591132832,0.9931073564121716,True,6.412545967154198e-10,VSK Aarhus,Young Boys,1.5167494085402606,0.9757952143178912,True,4.1507031682940934e-10
Vanlose,Avarta,1.8645250397037079,1.0456330833003373,True,2.655657615003651e-10,Vanlose,Avarta,1.892926621500117,1.4054300726248807,True,2.267961069822014e-14
SfB-Oure,Holbaek,1.9804834217080174,1.2337956809170132,True,3.3142328196509034e-12,SfB-Oure,Holbaek,2.3284589883016635,1.7656017082472415,True,1.3021167723257164e-10
Ishoj,Naesby,1.6624645239998714,1.3013871229283602,True,4.226973746273122e-11,Ishoj,Naesby,1.714579039732088,1.3250883653755894,True,4.641284220740399e-11
Holbaek,VSK Aarhus,1.0017725825941892,2.1571076587761704,True,2.0155770991090977e-11,Holbaek,VSK Aarhus,1.162607144130282,2.014734693254183,True,3.381709022549145e-10
BK Frem,Vanlose,1.3339957922244836,1.3201018555911859,True,2.2507423943340542e-14,BK Frem,Vanlose,1.3339957922244836,1.3201018555911859,True,2.2507423943340542e-14
Vejgaard,Lyseng,1.4560653308970244,1.3152830010518328,True,8.855506400160835e-10,Vejgaard,Lyseng,1.5091911075028743,1.099793763951272,True,2.4334863667252754e-11
Young Boys,SfB-Oure,2.5228763757950103,0.9036560738775535,True,2.7654756073101658e-12,Young Boys,SfB-Oure,2.548656289612908,0.8550189765327812,True,4.970078946738877e-10
Avarta,Holstebro,1.7044602798927664,1.175482911311851,True,1.1353308263469901e-11,Avarta,Holstebro,1.444835809602202,1.1488023132611014,True,3.4290787417358316e-15
Vanlose,Holbaek,2.3400857284409815,1.0372539874667082,True,2.387853288101375e-13,Vanlose,Holbaek,2.2590805799683866,0.9943520128866539,True,1.1366545853700559e-11
Holstebro,Young Boys,1.1896588638607548,1.4104762800918662,True,8.168852192289381e-16,Holstebro,Young Boys,0.9344585087333566,1.9370707276351933,True,9.96486893878168e-12
Lyseng,BK Frem,1.2758688271155896,1.4136391873167258,True,1.0500193692238938e-09,Lyseng,BK Frem,1.2603335977594818,1.8230550782485608,True,1.6346579267374185e-10
Naesby,Avarta,2.372471085787961,0.8713005735907717,True,1.1799558286658256e-11,Naesby,Avarta,2.2426094022773446,1.0329796796293633,True,5.655398655659083e-11
VSK Aarhus,SfB-Oure,2.6878233672689653,0.8377419808324229,True,1.381502025214819e-09,VSK Aarhus,SfB-Oure,2.8336413036189927,0.6544161617735912,True,1.8904983894119436e-11
Vejgaard,Ishoj,1.476898144457898,1.2664903002355308,True,3.2910907909846474e-10,Vejgaard,Ishoj,1.4618679356876367,1.344222535478348,True,1.7963527078790954e-09
