team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
El Gaish,National Bank Egypt,0.9647648497141726,0.7906024261491509,True,4.5744787349033345e-10,El Gaish,National Bank Egypt,0.8141651284030508,0.8536539768116844,True,1.3545516476860787e-10
ZED,El Ismaily,0.7685276405222184,0.7684982363635082,True,1.2562369765134041e-09,ZED,El Ismaily,0.7821258890890767,0.7441623135409737,True,1.3441570749804822e-09
Al Ahly,Al Masry,1.815353810507473,0.6787377704850142,True,1.462537663129832e-13,Al Ahly,Al Masry,1.8104856904858553,0.6765497848017772,True,1.3473734167449307e-13
Smouha,El Gouna,0.8724227167976317,0.812863659995341,True,1.1720876488810723e-09,Smouha,El Gouna,0.9530148507389878,0.7874457497303906,True,6.75885969248639e-11
El Daklyeh,Enppi,0.985464315902658,0.8117608131242876,True,4.426284001443758e-11,El Daklyeh,Enppi,0.9073550566339613,0.7954818445543795,True,2.2427263736990833e-11
Arab Contractors,Baladiyat El Mahalla,0.7968856573988355,0.7326232773489911,True,1.2607363544901173e-09,Arab Contractors,Baladiyat El Mahalla,0.9011695289962924,0.6370671238480482,True,1.763601794259435e-09
Pyramids,Zamalek,1.6107873421547927,0.866064569855909,True,4.6523969247929785e-10,Pyramids,Zamalek,1.3146873232324214,0.8773206325646344,True,1.1326896009943544e-11
Pharco,Future FC,0.9264798341173444,0.9996816221146928,True,1.1381818036528213e-11,Pharco,Future FC,0.7622488045410569,0.8829033610987967,True,3.898487774092302e-10
Al Ittihad,Ceramica Cleopatra,0.8763065127073341,1.138108150445788,True,3.0597830428013813e-11,Al Ittihad,Ceramica Cleopatra,0.7970883173426774,0.9552822259781563,True,2.0197298450926376e-11
Zamalek,Arab Contractors,1.2265090498358573,0.8077598305485388,True,2.6956596302686124e-09,Zamalek,Arab Contractors,1.5178703183309652,0.5730198541972811,True,1.4134989555101155e-15
National Bank Egypt,Pyramids,0.8501344872965774,1.3397520003555239,True,6.616890448693235e-10,National Bank Egypt,Pyramids,0.6363753715820009,1.4857272476227554,True,3.9894350967599305e-11
Future FC,El Daklyeh,1.5032383243678054,0.7251698033618986,True,2.8926275189750294e-10,Future FC,El Daklyeh,1.2545100856053104,0.5758885957251785,True,3.602106827914668e-11
Baladiyat El Mahalla,Smouha,1.0339424529266288,0.8152056863839693,True,5.4939883374839766e-12,Baladiyat El Mahalla,Smouha,0.8807274567305265,0.7529413277617631,True,1.166459989277132e-09
Enppi,El Gaish,0.8713540669277381,0.8452242544254859,True,1.319637454040179e-10,Enppi,El Gaish,0.8274582040387981,0.673702678719303,True,1.0573894596248602e-09
El Gouna,ZED,1.1106418835920977,0.9103691365076952,True,7.831039174140661e-12,El Gouna,ZED,0.7784927352880621,0.7499175638594853,True,1.3637381045874815e-09
El Ismaily,Al Ittihad,1.1916041589463215,0.8364514459094253,True,5.819482010923501e-12,El Ismaily,Al Ittihad,0.9375849213575282,0.7859667357322904,True,6.321510730318033e-10
Al Masry,Pharco,1.243198467878529,0.7428424296960072,True,1.2104013201918858e-10,Al Masry,Pharco,1.0531127514169403,0.6307688594649967,True,1.58665966678942e-09
Smouha,Arab Contractors,0.9894889128108301,0.8821769736472679,True,7.486532429725346e-12,Smouha,Arab Contractors,0.9554754793256455,0.7447850660167279,True,8.526107500630952e-10
ZED,Baladiyat El Mahalla,1.1394732344215839,0.573279598529398,True,1.4380247322847562e-10,ZED,Baladiyat El Mahalla,1.0584490254449295,0.5102640941546381,True,1.8619746730198896e-10
