team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Wealdstone,York City,1.317648811827479,1.137607519446463,True,9.349185012717009e-12,Wealdstone,York City,1.0253178116359905,1.3714078989732008,True,3.1285511805720015e-11
Aldershot,Oxford City,1.393731746850168,1.0728600422474743,True,1.5914709264454713e-14,Aldershot,Oxford City,1.6338160501317134,0.9622249929772884,True,3.6519872603371497e-13
Altrincham,Dag & Red,1.203548033565319,1.1311240019440318,True,1.0430223987246819e-12,Altrincham,Dag & Red,1.4436049315649566,0.9833206063772266,True,4.0235427084577865e-11
Barnet,Hartlepool,1.424239866881572,1.0244605089742211,True,1.3747881625987013e-12,Barnet,Hartlepool,1.4762045288470582,1.1339432481397151,True,5.595457860977895e-14
Chesterfield,Dorking,2.210903688567788,0.7185155526260472,True,2.501462040725345e-11,Chesterfield,Dorking,2.874083848726245,0.7046347437642045,True,2.1735223436301944e-09
Gateshead,Boreham Wood,1.2041310221103352,1.0065851573964169,True,3.1420018021432476e-10,Gateshead,Boreham Wood,1.4118356000025782,0.8468784555032255,True,1.8030221253905075e-10
Southend,Oldham,1.479379119348591,0.7843517312104067,True,4.2112812849034334e-10,Southend,Oldham,0.8823139222744157,1.3441810766285844,True,5.466715730547931e-10
Kidderminster,Woking,1.2375529116957584,1.1153815186277531,True,3.986425861610769e-14,Kidderminster,Woking,0.9235619967051869,1.3806305245522923,True,5.022129655642418e-10
Maidenhead,AFC Fylde,1.1346116461776794,1.1747261565960951,True,1.9170837690398884e-09,Maidenhead,AFC Fylde,0.9375751625303769,1.327059853784231,True,2.761232516076126e-10
Rochdale,Ebbsfleet,1.6416215840391182,0.9379330392516777,True,1.8573873829973492e-10,Rochdale,Ebbsfleet,1.3310379726986101,1.2807539508488828,True,1.6793074286452504e-10
Solihull Moors,Eastleigh,1.4961398529737215,1.014097569469356,True,9.864460856993687e-11,Solihull Moors,Eastleigh,1.4534436447370345,1.3861589592159678,True,6.908226130186249e-12
FC Halifax,Bromley,1.2918369704614672,0.9649733593561917,True,5.124050828567117e-10,FC Halifax,Bromley,1.0656637409696308,0.9871321029593341,True,1.0047266481186967e-11
AFC Fylde,Chesterfield,1.1051473717755353,1.4374970125485256,True,1.4689311332633025e-10,AFC Fylde,Chesterfield,1.1375644550724748,1.7852557665758706,True,5.456237133450636e-12
Boreham Wood,FC Halifax,1.3312898649577902,0.7010961873077874,True,2.0142495228560236e-10,Boreham Wood,FC Halifax,1.195626812160471,0.759397640137391,True,2.93827038226504e-10
Bromley,Barnet,1.4342339589697404,1.0156433329759116,True,8.763420936902263e-16,Bromley,Barnet,1.3861604118560191,1.4027412699688306,True,1.8740486999539355e-11
Dag & Red,Southend,0.9125377605386218,1.2697877814337781,True,1.7534876680107155e-10,Dag & Red,Southend,1.1675836702919888,1.2436976857919972,True,8.284346279727948e-12
Dorking,Maidenhead,1.3607663430299044,1.0091347063009826,True,8.994289302382203e-13,Dorking,Maidenhead,1.4784972648275334,1.1946958798030112,True,4.536647986854575e-09
Eastleigh,Wealdstone,1.4702290164707403,0.8662968115650079,True,1.1311118864855648e-10,Eastleigh,Wealdstone,1.7638617522872895,0.8222537900829535,True,1.9981184085299514e-10
Ebbsfleet,Solihull Moors,1.438823171462249,0.9485413702529492,True,1.4895947303338356e-10,Ebbsfleet,Solihull Moors,1.5901048391355235,1.0671489188594676,True,3.503519000131271e-11
Hartlepool,Gateshead,1.5119794332951668,0.9783263544217539,True,3.3336690200755236e-10,Hartlepool,Gateshead,1.211951399225923,1.3377561898342174,True,5.462910435627473e-13
Oldham,Aldershot,1.264979364668791,0.8966601564400946,True,5.377861553241949e-10,Oldham,Aldershot,1.4536936384087922,0.8909624909713001,True,5.620862680130286e-11
Oxford City,Rochdale,1.1304870571154013,1.2146981906033099,True,9.78825556299926e-10,Oxford City,Rochdale,1.0864522525848888,1.5294187879747643,True,2.0992766195256807e-12
Woking,Altrincham,1.8019591277576803,0.7606833641593314,True,5.106908278977631e-09,Woking,Altrincham,1.6061538246301845,0.9368197022176586,True,1.6506479662461664e-10
York City,Kidderminster,1.5887223931205572,0.8215012080696215,True,2.2805023226902443e-11,York City,Kidderminster,1.5148584808288832,0.9777862199696485,True,3.9346175402050795e-10
AFC Fylde,Kidderminster,1.485580739882475,0.9926265597965339,True,6.422454106917993e-10,AFC Fylde,Kidderminster,1.3880524094342592,1.0608750365354302,True,5.4040718157993794e-14
Bromley,Wealdstone,1.7241724566301257,0.8423347112750622,True,2.3784618420868374e-10,Bromley,Wealdstone,1.6904704113931774,1.0593755611640097,True,5.7792284518714585e-11
Dag & Red,Gateshead,1.0001666053471654,1.3928703171620636,True,9.451888008425823e-11,Dag & Red,Gateshead,1.1067346481717801,1.5762799863882417,True,1.3075899495882096e-11
Dorking,Southend,1.0201532149993386,1.3469281542461211,True,5.580549564789591e-11,Dorking,Southend,0.9718638626528849,1.571007010436818,True,2.6604091194864026e-10
Eastleigh,Barnet,1.2357455262914827,1.0756572063187304,True,3.096332390426273e-13,Eastleigh,Barnet,1.257627534452225,1.2852832253295219,True,7.607060836367379e-11
York City,Altrincham,1.282876880367664,0.996110231653689,True,3.226964363553098e-11,York City,Altrincham,1.4671229531759697,1.2316085539278467,True,2.912666933564704e-11
Hartlepool,Maidenhead,1.6433566922079965,1.0698623447584799,True,3.7057232117382487e-13,Hartlepool,Maidenhead,1.6736447338998361,0.9425990988076723,True,1.1577076497027616e-10
Oldham,FC Halifax,1.1091327008453065,0.921529202591932,True,7.97356991572742e-12,Oldham,FC Halifax,1.3354786741300777,0.7352313445435024,True,1.4274723085533516e-11
Oxford City,Chesterfield,1.0560962048503706,1.8470341463461941,True,4.4499455109117963e-10,Oxford City,Chesterfield,0.9603011591461547,2.370294783030197,True,5.5256559725815376e-11
Woking,Rochdale,1.573962912195299,1.0440978943938193,True,4.1359497340420714e-11,Woking,Rochdale,1.3911648008414175,0.9050230399342509,True,1.4681837587161201e-10
Ebbsfleet,Aldershot,1.5967149353538672,1.0013996621426533,True,8.374065528459398e-10,Ebbsfleet,Aldershot,1.5822110999128431,1.03810655245848,True,1.518071691978557e-11
Boreham Wood,Solihull Moors,1.6070304736061924,0.8261149583285315,True,2.2440408044695297e-11,Boreham Wood,Solihull Moors,1.543034850566834,1.0284831747057042,True,8.109038422849183e-11
Chesterfield,Oldham,1.7750483086792006,0.9140099240434594,True,7.157302944449056e-14,Chesterfield,Oldham,1.861304595151324,0.9261438816386933,True,6.261493562401652e-13
