team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
SJK Akatemia,Jaro,1.125562701412866,1.4095664336039726,True,2.7064540293869863e-10,SJK Akatemia,Jaro,1.1611101632943608,1.427971185089506,True,1.0507828444423912e-11
HIFK,Gnistan,1.1919484520775565,0.949438164039931,True,2.1227092833099588e-09,HIFK,Gnistan,1.367685903303694,0.7679378131850575,True,1.0730006758155413e-09
KPV Kokkola,JJK Jyvaskyla,1.5013433831708762,0.9440001623647516,True,1.0344191091967066e-11,KPV Kokkola,JJK Jyvaskyla,1.3790190926730928,0.9207564129117268,True,9.86907009449087e-12
SalPa,JaPS,1.2434935393648099,1.2818750239437884,True,3.3501890970366327e-10,SalPa,JaPS,1.3472601017039147,1.4881897012199081,True,9.554465274712015e-12
Ekenas,TPS,0.9407453372807465,1.5082225358278634,True,5.724032621545128e-10,Ekenas,TPS,1.1250102763624286,1.5277400293605095,True,1.587951551850552e-10
KaPa,Mikkeli,1.5741666031641046,1.0331882653379905,True,2.3934610277062935e-11,KaPa,Mikkeli,1.8014906271295217,1.0391934496706414,True,1.5735586891731885e-10
SJK Akatemia,SalPa,1.3728731592972687,1.068368019288224,True,1.740031204578685e-09,SJK Akatemia,SalPa,1.301670254035386,1.1818086315328693,True,1.559615579521137e-10
HIFK,Mikkeli,1.8978065702843936,0.7999958347537961,True,5.8215914629133155e-09,HIFK,Mikkeli,2.090884327632814,0.8022200476814993,True,1.0009419582559888e-09
Gnistan,JJK Jyvaskyla,1.702872425169011,0.9451026855534372,True,2.0934065962792366e-11,Gnistan,JJK Jyvaskyla,1.7847537895881695,0.8860279770856242,True,1.0592996651539548e-13
KPV Kokkola,TPS,0.8527115218068129,1.486290320969237,True,1.2170822232966378e-09,KPV Kokkola,TPS,0.9104018941024591,1.2030441145095052,True,6.232000689432083e-11
Jaro,KaPa,1.675877298953533,0.8672280419685551,True,5.077491129251798e-10,Jaro,KaPa,1.7401225301594432,0.7883871128743045,True,7.069276919921124e-11
JaPS,Ekenas,1.45486149992512,1.5043032064040094,True,3.4692132386466396e-11,JaPS,Ekenas,1.6207457756037784,1.287865563247286,True,2.099284948370917e-11
TPS,JaPS,2.4100178166279416,0.636265265030415,True,3.2718425999427323e-10,TPS,JaPS,1.6850811117725268,1.1216061055787994,True,8.868306142765026e-12
SalPa,HIFK,1.1247313774571008,1.2326469414887584,True,8.811680380571365e-10,SalPa,HIFK,1.1326525282659297,1.0239963477439085,True,9.98574176792768e-12
Mikkeli,KPV Kokkola,1.5519649786582062,0.9855505583468117,True,1.4218740829409968e-09,Mikkeli,KPV Kokkola,1.1115009181448765,1.2884236380376186,True,2.489843891308026e-10
KaPa,Gnistan,1.169542342469619,1.3039292362533847,True,2.1229088591564366e-12,KaPa,Gnistan,1.0166911471262163,1.4141959703675637,True,5.594262294342482e-09
JJK Jyvaskyla,SJK Akatemia,1.1241845388359397,1.1873373974632917,True,2.6675895496044573e-09,JJK Jyvaskyla,SJK Akatemia,1.2805799791073236,1.126050809106786,True,9.375879278775513e-12
Ekenas,Jaro,1.0634012793565288,1.417239665978465,True,1.0146428684582658e-10,Ekenas,Jaro,1.4808547101505922,1.0834153105756357,True,8.502263897252118e-11
HIFK,TPS,1.3039786441319399,1.0541796635369545,True,8.319038555814678e-13,HIFK,TPS,1.0399172163975947,1.161210887044783,True,3.830034146213072e-11
SalPa,JJK Jyvaskyla,1.3936563625413703,0.9975463186400846,True,3.4178493900480043e-12,SalPa,JJK Jyvaskyla,1.4691971187536648,0.8861380681373694,True,4.3156739236092665e-10
JaPS,Mikkeli,1.414560991532107,1.5237282326851591,True,1.004239649435111e-10,JaPS,Mikkeli,1.799545763813883,0.9266898857342152,True,3.6540315169343904e-13
SJK Akatemia,KaPa,1.4870134307711569,0.9523035626184737,True,7.655379622390902e-11,SJK Akatemia,KaPa,1.7634587716956145,0.9629729492247594,True,7.755434001990148e-12
Jaro,TPS,1.2419644150896254,1.0735807172360734,True,1.0866248815924143e-13,Jaro,TPS,1.1855259045815925,1.112614925076733,True,9.602452961986503e-11
Gnistan,Ekenas,1.5706064309720005,1.0830336626150818,True,1.573265708788259e-10,Gnistan,Ekenas,1.350707490539015,1.088307310366526,True,4.7390664251796e-11
HIFK,KPV Kokkola,1.3837372169903368,0.953513362069659,True,9.481993318495543e-12,HIFK,KPV Kokkola,1.3423864130087457,0.7433492727855898,True,1.1963593498304695e-11
KaPa,SalPa,1.1476551790389045,1.2982658529221263,True,1.1149383345100158e-11,KaPa,SalPa,1.1889728747596546,1.3444237528741683,True,1.3282242160763856e-11
TPS,Gnistan,1.9491592978031913,0.937649259230215,True,2.0151818208459124e-09,TPS,Gnistan,1.3406685456696625,0.9611468485561842,True,3.2056726335777817e-12
Mikkeli,Jaro,1.1219813632148672,1.2912231663954379,True,1.9123241207224096e-11,Mikkeli,Jaro,1.2368233264457646,1.216065316658264,True,1.747268409521441e-10
