team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
MTK Budapest,Paks,1.2182603429326573,1.3566212981093009,True,6.330072376889197e-17,MTK Budapest,Paks,1.4925971395302935,1.4578925206403142,True,4.677361128174557e-09
Ujpest,MOL Fehervar,1.1521867653772535,1.0661506806435088,True,3.5260888697519553e-09,Ujpest,MOL Fehervar,1.2786621521931727,0.9946244603446341,True,1.9567716477887818e-11
DVTK,Puskas Academy,1.048595180228975,1.404485377646028,True,1.4246279186014912e-10,DVTK,Puskas Academy,1.1380031562565316,1.1324142807497195,True,3.092150682170921e-09
Zalaegerszegi,Kisvarda,1.1542328395316555,1.2841419691218596,True,9.442521240609703e-12,Zalaegerszegi,Kisvarda,1.2006063559523699,1.2452200800631514,True,8.914340021507679e-12
Debrecen,Mezokovesd-Zsory,1.537400840965254,0.8904425678711534,True,7.387511548096179e-09,Debrecen,Mezokovesd-Zsory,1.4105234393553028,0.8447224504697598,True,1.8125295936750433e-10
Puskas Academy,Ujpest,1.4147799392648153,0.923017711890646,True,1.1493539319460116e-10,Puskas Academy,Ujpest,1.250581160215775,0.9446977698262609,True,3.56004379671086e-11
Mezokovesd-Zsory,DVTK,1.7823478172676672,0.9070165098868952,True,6.802150779462267e-14,Mezokovesd-Zsory,DVTK,1.3042986591704537,1.0497799342613845,True,3.2076718640920315e-12
MOL Fehervar,Ferencvaros,1.0479336205631862,1.3631403379961473,True,2.6662432995315584e-09,MOL Fehervar,Ferencvaros,0.9703489547482508,1.757331686652114,True,1.8275381038242483e-10
Zalaegerszegi,MTK Budapest,1.5105805650772692,1.1139502354902018,True,5.39220529978401e-12,Zalaegerszegi,MTK Budapest,1.3917293074218364,1.1360536002222206,True,3.9338828229685094e-11
Kecskemeti TE,Kisvarda,1.277366092519461,1.0062595911750976,True,4.663084352386302e-12,Kecskemeti TE,Kisvarda,1.2071040780729598,1.0325736990073406,True,9.691028080954587e-11
MTK Budapest,Kisvarda,1.233324628355034,1.1135749427364925,True,5.573293007506417e-14,MTK Budapest,Kisvarda,1.3601487945707733,0.8407760082395684,True,6.1081781562055724e-12
Ujpest,Mezokovesd-Zsory,1.6668030592532814,0.8843893608771767,True,8.096251424475715e-15,Ujpest,Mezokovesd-Zsory,1.692646285906215,0.7868205174773392,True,1.507142768713056e-11
DVTK,Paks,1.406940588247373,1.1955643737156791,True,8.846958078838894e-11,DVTK,Paks,1.458069967734903,1.2853744534453844,True,5.942528482813388e-10
Ferencvaros,Puskas Academy,1.8532255223834324,0.8102494006402903,True,1.3168849547129271e-11,Ferencvaros,Puskas Academy,1.9127844701901104,0.7975763881255891,True,1.7098788063552797e-13
Debrecen,Zalaegerszegi,1.508423613775293,0.9059993459380234,True,1.0798338265587546e-10,Debrecen,Zalaegerszegi,1.3329145154175803,0.9722847668430903,True,2.12200143309137e-12
Kecskemeti TE,MOL Fehervar,1.2816183317466905,1.2432881784406202,True,9.872664106160991e-11,Kecskemeti TE,MOL Fehervar,1.2989964867529813,0.9669936564825278,True,7.910419999919429e-10
Zalaegerszegi,DVTK,1.4272384692089937,1.0905529338154545,True,2.3689234667858453e-14,Zalaegerszegi,DVTK,1.2860032358274232,1.0853520458900316,True,3.281589429675883e-14
Puskas Academy,MOL Fehervar,1.409882845472155,1.061006754584514,True,1.9445997466907938e-14,Puskas Academy,MOL Fehervar,1.5482857258654488,0.902771473952851,True,7.676605130842555e-12
Paks,Ujpest,1.5203444807263229,1.0505526933759244,True,2.346753507209505e-10,Paks,Ujpest,1.6225254378963694,1.092044973887375,True,2.410215941029355e-12
MTK Budapest,Kecskemeti TE,1.2728503419079629,1.3551645401397694,True,9.212575760986496e-10,MTK Budapest,Kecskemeti TE,1.2143241742779132,1.123159568087208,True,1.3341989564118268e-12
Debrecen,Kisvarda,1.017750296405442,1.3007309841318955,True,7.529203702712306e-11,Debrecen,Kisvarda,1.1764733165493941,1.0878395595773551,True,6.208352744240725e-10
DVTK,Kisvarda,1.4591853673423798,0.9662728385789151,True,1.3158318704209593e-11,DVTK,Kisvarda,1.5279393814705988,0.8701559815786751,True,5.108728063387005e-09
Kecskemeti TE,Puskas Academy,1.2081528508810153,1.0563902696766003,True,2.686057198195414e-11,Kecskemeti TE,Puskas Academy,1.1920033766441356,1.0143097781742834,True,7.91281056311157e-10
Ujpest,Zalaegerszegi,1.5757588468694388,0.9808668919696109,True,8.152303244476647e-10,Ujpest,Zalaegerszegi,1.3374213572047613,1.0547347158710245,True,1.592384983667896e-10
MOL Fehervar,Mezokovesd-Zsory,1.6451837519889247,0.877424324030218,True,7.703046053804649e-10,MOL Fehervar,Mezokovesd-Zsory,1.6271973745353483,0.8972246252238123,True,6.16559282508839e-13
Ferencvaros,Paks,2.160079304818703,1.0474134399465842,True,4.4488931840694756e-11,Ferencvaros,Paks,2.330194033249884,0.9273440768574827,True,1.366037718976419e-11
Debrecen,MTK Budapest,1.8087689622988208,1.0201318135727242,True,2.1532982599941499e-10,Debrecen,MTK Budapest,1.326548173539318,0.9473550742129717,True,3.322351939092024e-12
Ujpest,Kisvarda,1.1063307511329337,1.3859556543150218,True,1.2288559784583487e-11,Ujpest,Kisvarda,1.3669445007545862,1.0384916811535396,True,3.859413075379869e-13
Paks,MOL Fehervar,1.5058235493760594,1.1440399222112079,True,8.542478524515245e-11,Paks,MOL Fehervar,1.4367074242197622,1.2074636346249126,True,4.4247670992135056e-10
MTK Budapest,DVTK,1.390263426665912,1.0851279364942543,True,2.223051889364699e-09,MTK Budapest,DVTK,1.324448781690895,1.194199572478409,True,2.8675759635469803e-10
Zalaegerszegi,Ferencvaros,0.9330895435668637,1.7719364226596297,True,2.8895208862773297e-09,Zalaegerszegi,Ferencvaros,0.8176787151029373,1.8980472435379137,True,1.0230678295938917e-11
Mezokovesd-Zsory,Puskas Academy,1.1200908812140815,1.3011906268882898,True,3.984295141074838e-12,Mezokovesd-Zsory,Puskas Academy,0.932270881806275,1.532524883779342,True,6.45642995954556e-10
Debrecen,Kecskemeti TE,1.2935814688334253,1.0247057454268282,True,1.3642316638124727e-11,Debrecen,Kecskemeti TE,1.245842870703184,1.0508776478022297,True,1.4500830404485928e-13
Kecskemeti TE,Mezokovesd-Zsory,1.5861781455830049,0.7553391465081344,True,1.213200280135141e-13,Kecskemeti TE,Mezokovesd-Zsory,1.6120247153946383,0.7009393245614375,True,2.58111723371269e-14
DVTK,Debrecen,1.2824704941839107,1.103272978715027,True,4.923483630133493e-13,DVTK,Debrecen,1.257817564788822,1.0508028059798034,True,1.0870138909141438e-13
Puskas Academy,Paks,1.8091643133998547,0.9906000562792269,True,8.934124840007491e-11,Puskas Academy,Paks,1.6012176846829276,1.092579752722195,True,3.896196569404142e-11
Ujpest,MTK Budapest,1.3651772827617772,1.0916547682345066,True,2.0695432406299333e-10,Ujpest,MTK Budapest,1.218560223375373,1.0629070497755468,True,2.9716407761498767e-13
MOL Fehervar,Zalaegerszegi,1.5180666087027996,1.1031411075989452,True,3.446866878392419e-11,MOL Fehervar,Zalaegerszegi,1.4620955498785908,1.0034464687506035,True,9.356731894880534e-11
Ferencvaros,Kisvarda,2.2520545761274873,0.6151973103006935,True,3.383551793033825e-10,Ferencvaros,Kisvarda,2.739182645833433,0.5908080752763686,True,1.937620115264133e-09
Ferencvaros,Kecskemeti TE,2.002393535990925,0.8132327974900869,True,3.5464355535208077e-12,Ferencvaros,Kecskemeti TE,2.266063771843793,0.7013419304718107,True,6.471652216424118e-10
Paks,Debrecen,1.5244155930680194,1.115523760379925,True,1.5422013142536844e-11,Paks,Debrecen,1.4206609130998067,1.1276617172674914,True,1.5946692488005616e-09
Zalaegerszegi,Puskas Academy,1.0895846664495659,1.369808540070861,True,2.90157017762701e-11,Zalaegerszegi,Puskas Academy,1.1794416918596065,1.6737534435370491,True,3.135060470824322e-11
Debrecen,Ujpest,1.4300992325415436,0.9714301606041802,True,4.5597210885193676e-10,Debrecen,Ujpest,1.3438381733424005,0.9670182692456933,True,2.8825191792940146e-12
MTK Budapest,Ferencvaros,0.978348664380221,1.6607578395800195,True,7.88379995308246e-11,MTK Budapest,Ferencvaros,0.8149235557168945,1.8778881046807543,True,4.4811198812575777e-10
Paks,Mezokovesd-Zsory,1.8054903380124223,0.9479877568139201,True,1.1052245899888682e-12,Paks,Mezokovesd-Zsory,1.8306306741446947,0.8062869868827264,True,1.0349133320193022e-09
MOL Fehervar,Kisvarda,1.0576503927699068,1.2538936758093884,True,4.239080469342025e-11,MOL Fehervar,Kisvarda,1.382767053564969,1.2595228016538478,True,4.444718521020103e-10
DVTK,Kecskemeti TE,1.3751920302966034,0.9876099944889213,True,3.276887159139763e-12,DVTK,Kecskemeti TE,1.4492649896320489,1.0003139166199844,True,8.31423291551601e-11
Puskas Academy,Kisvarda,1.7521595236756078,0.8789257491977922,True,1.5775186774342355e-14,Puskas Academy,Kisvarda,1.6023536688155857,0.7464638559543576,True,1.2447540588636515e-13
Kecskemeti TE,Paks,1.4040235225767845,1.1551299833590656,True,1.0427475012267232e-11,Kecskemeti TE,Paks,1.3824476313082297,1.177358258726859,True,1.0269391130956206e-11
Ujpest,DVTK,1.3360037347732194,1.1423821211803051,True,1.0962169236052382e-12,Ujpest,DVTK,1.41512079790858,1.139049858434765,True,6.37252908505182e-10
Mezokovesd-Zsory,Zalaegerszegi,1.22314697669988,1.1682696965385326,True,1.8464598981656066e-13,Mezokovesd-Zsory,Zalaegerszegi,1.331344164249626,1.250520599261015,True,7.968132277937614e-11
MOL Fehervar,MTK Budapest,1.195055326344702,1.2542847729481799,True,5.549822588109842e-12,MOL Fehervar,MTK Budapest,1.3625494141775791,1.1625835528105635,True,2.0278630467040653e-12
Ferencvaros,Debrecen,2.623193832913809,1.2845207508644991,True,2.950147067264132e-10,Ferencvaros,Debrecen,2.435283397071186,0.6958822569357246,True,1.0961377523875952e-11
Zalaegerszegi,Paks,1.2522274572801737,1.0321197030270906,True,2.4691438785714266e-13,Zalaegerszegi,Paks,1.2513910987013497,1.2575335799193772,True,2.6459418177701605e-10
Ujpest,Kecskemeti TE,1.537400840965254,0.8904425678711534,True,7.387511548096179e-09,Ujpest,Kecskemeti TE,1.4257529592183333,0.941850085587805,True,1.0869572302580504e-10
