team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Breidablik,Hafnarfjordur,2.028675847775768,1.134905215155864,True,4.296167917544946e-12,Breidablik,Hafnarfjordur,2.1474746154612396,1.280655547046201,True,1.4297514602238815e-14
Valur,Stjarnan,1.8191342279190186,1.246002526405317,True,9.08105639125494e-10,Valur,Stjarnan,1.60992845198474,1.3814916593126731,True,4.505759408696312e-12
Vikingur Reykjavik,KR Reykjavik,2.092836670626288,1.1139070125290906,True,7.134868481075176e-13,Vikingur Reykjavik,KR Reykjavik,2.213071489878694,0.9954797224669764,True,1.4419302017875384e-11
Hafnarfjordur,Stjarnan,1.473617679708579,1.327145561415584,True,1.595703387909196e-09,Hafnarfjordur,Stjarnan,1.3916438662966986,1.5335076726188075,True,2.2075122023075063e-10
KR Reykjavik,Valur,1.3243294736351516,1.3857204135792582,True,2.4696630568415937e-11,KR Reykjavik,Valur,1.7884172487273333,1.6321991703249297,True,3.4961247095569376e-10
Breidablik,Vikingur Reykjavik,1.3959007546858473,1.3857253780285659,True,4.741839567944448e-12,Breidablik,Vikingur Reykjavik,1.5780457426683023,1.9107669935313045,True,1.173719054913083e-11
Stjarnan,KR Reykjavik,1.632208287746525,1.144157754148654,True,9.414985710713472e-12,Stjarnan,KR Reykjavik,1.9121749053799344,1.300275541417124,True,2.390134012733688e-12
Valur,Breidablik,1.555397574076053,1.2896802207615985,True,4.6171763606248206e-14,Valur,Breidablik,1.5826284467766043,1.8958928639309762,True,8.822875380742334e-12
Vikingur Reykjavik,Hafnarfjordur,2.085046738404599,0.9961832506740804,True,5.205491873045181e-12,Vikingur Reykjavik,Hafnarfjordur,2.136049917544936,1.1050885861392394,True,6.619534959111848e-11
KR Reykjavik,Breidablik,1.3315932794142193,1.3670338831635027,True,8.407403265562631e-12,KR Reykjavik,Breidablik,1.4744602081348799,1.9287261234962352,True,5.1426839523680286e-11
Valur,Hafnarfjordur,1.9483529566623008,1.2896388458025614,True,1.0205439635503605e-12,Valur,Hafnarfjordur,1.6566678725159893,1.390345058657582,True,1.1694566998865699e-12
Stjarnan,Vikingur Reykjavik,1.3010601490514722,1.5578772236695273,True,3.2681765148228253e-12,Stjarnan,Vikingur Reykjavik,1.6178443387910224,1.531897372236186,True,8.61748243125478e-11
Hafnarfjordur,KR Reykjavik,1.5693531353106163,1.2287775883914915,True,2.215621745295687e-10,Hafnarfjordur,KR Reykjavik,1.8677267890096327,1.7405663466018222,True,7.726229417625695e-14
Vikingur Reykjavik,Valur,2.0068941774655413,1.2365415808381695,True,4.7262373560402065e-12,Vikingur Reykjavik,Valur,2.52180684184243,1.3729977541543519,True,4.1595725990991904e-13
Breidablik,Stjarnan,1.8491209962783093,1.329324976212437,True,2.8505784277557425e-15,Breidablik,Stjarnan,1.8789599463854096,1.830083122014583,True,4.1493394608948087e-13
