team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Real Kashmir,Rajasthan United,1.3685707441575723,0.7914333112308166,True,9.517228442007337e-10,Real Kashmir,Rajasthan United,1.2792850759156695,1.1388040263768155,True,2.1644239654512902e-11
Sreenidi Deccan,Neroca FC,1.7813298892530953,0.8366887002777148,True,4.666000385809313e-10,Sreenidi Deccan,Neroca FC,1.9273058509567131,0.8117706654842108,True,2.1083253848375292e-10
Mohammedan,Aizawl,1.8048166217974477,0.9886539870472913,True,7.997961602805725e-11,Mohammedan,Aizawl,1.8135704661856267,0.8221642721107356,True,1.1614743558227142e-09
Delhi FC,TRAU FC,1.0835567114840514,1.5730510303675227,True,1.3567089674002708e-11,Delhi FC,TRAU FC,1.0195135384448384,1.5165896533943373,True,3.5336422491639515e-11
Namdhari,Churchill Brothers,0.8981242662224419,1.3718276316403242,True,6.088044532215501e-10,Namdhari,Churchill Brothers,0.8827527280705755,1.600287579360007,True,5.281164839648401e-10
Sreenidi Deccan,Inter Kashi,2.0585528721888853,0.6958896687114734,True,2.4149270679349953e-09,Sreenidi Deccan,Inter Kashi,1.746581761654755,0.9069415061919155,True,6.238639786237315e-14
Mohammedan,Lajong,1.6740569588560277,0.7349450915651491,True,1.6627373658757927e-09,Mohammedan,Lajong,1.990865921759708,0.664009842911015,True,1.3143668120481399e-09
Gokulam,Neroca FC,1.5915469218136264,0.8254247722301201,True,3.299837000059089e-11,Gokulam,Neroca FC,2.171765897071151,0.8428907759220705,True,1.2136331279270554e-10
Namdhari,Inter Kashi,1.1077297676935718,1.0649400357709002,True,1.4517314763771436e-11,Namdhari,Inter Kashi,1.209246397015379,1.0574193217473544,True,1.9805086758176822e-11
Mohammedan,TRAU FC,1.775666870240056,0.8930457984100628,True,3.7697667256120515e-14,Mohammedan,TRAU FC,1.824558471203386,0.9240353638736829,True,9.303746322416836e-13
Sreenidi Deccan,Aizawl,1.775666870240056,0.8930457984100628,True,3.7697667256120515e-14,Sreenidi Deccan,Aizawl,2.6047778138586,0.6052157402673699,True,7.327528279753513e-09
