team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Nassaji Mazandaran,Paykan,0.9725333427580922,0.7103454993291851,True,2.2780295779041187e-09,Nassaji Mazandaran,Paykan,0.848756200419466,0.5345017510965238,True,1.4405108594470929e-10
Persepolis,Aluminium Arak,1.6968975325195992,0.41919044530053523,True,3.1149060369694123e-10,Persepolis,Aluminium Arak,1.4922653736125742,0.3536449509481192,True,8.204769867332557e-11
Malavan,Zob Ahan,0.8623775280774526,0.8054908293254386,True,6.738897536850763e-11,Malavan,Zob Ahan,0.6643671688210361,0.7056027599276627,True,1.2163362649552174e-11
Esteghlal Khuzestan,Shams Azar Qazvin,0.911745980001088,0.8667656528685913,True,9.027500448662378e-11,Esteghlal Khuzestan,Shams Azar Qazvin,0.7740203758407321,0.7679088012070188,True,1.2553771070410298e-09
Gol Gohar,Foolad,0.8669341468110253,0.8120910735184577,True,3.0860560294550335e-11,Gol Gohar,Foolad,0.7766154667916527,0.6993374191621726,True,1.0799176071291136e-09
Sepahan,Tractor,1.488530443257489,0.6264953452009433,True,8.39499977587054e-10,Sepahan,Tractor,1.232844264730887,0.515096138569861,True,1.5626541267011063e-10
Sanat Naft,Esteghlal F.C.,0.6636059605854951,1.3147506458816434,True,3.5308496197024404e-09,Sanat Naft,Esteghlal F.C.,0.5162163804316116,1.1008004670996263,True,2.050375131828792e-09
Havadar SC,Mes Rafsanjan,0.6795222826897087,1.1158638374030907,True,7.009440803254882e-12,Havadar SC,Mes Rafsanjan,0.5961156028153195,0.8831810974828529,True,4.972674756628743e-10
Paykan,Gol Gohar,0.8058175551132443,0.9756040021809708,True,2.2493997214789453e-10,Paykan,Gol Gohar,0.5343458678912486,0.8109619227678271,True,2.584784220842748e-10
Aluminium Arak,Esteghlal Khuzestan,0.9382607361010844,0.7249916019885744,True,1.01448507660113e-09,Aluminium Arak,Esteghlal Khuzestan,1.0000105104153543,0.43471670960089026,True,5.773252186148977e-10
Zob Ahan,Sepahan,0.6359206586585308,1.4723482546270954,True,6.2205488220941886e-09,Zob Ahan,Sepahan,0.4226576334281984,1.1258578747757366,True,5.057882313895243e-11
Tractor,Persepolis,0.665072894606751,1.3825280970729312,True,1.0628969510795048e-09,Tractor,Persepolis,0.5280515268657524,1.1680486366927079,True,2.4513742846913805e-09
Mes Rafsanjan,Nassaji Mazandaran,1.3013499849268717,0.5808402296971412,True,6.654709639600199e-10,Mes Rafsanjan,Nassaji Mazandaran,1.0003902311934811,0.49288816352891485,True,4.894490229824955e-09
Foolad,Sanat Naft,1.1323725563079285,0.6339023212220555,True,1.250689874536706e-09,Foolad,Sanat Naft,0.9547175107982618,0.4725932824827249,True,1.9164232813090753e-10
Esteghlal F.C.,Malavan,2.0005519091812416,0.4756933908585047,True,1.566677515847267e-11,Esteghlal F.C.,Malavan,1.8872028410741404,0.29306583039276723,True,8.213590582142684e-13
Mes Rafsanjan,Shams Azar Qazvin,1.529582401570075,0.5154430338829972,True,3.856339011617672e-09,Mes Rafsanjan,Shams Azar Qazvin,0.9047532678335286,0.5390902818835183,True,1.0215817440254101e-10
Havadar SC,Aluminium Arak,0.7708815475207579,0.8094454028671149,True,4.843735073091098e-10,Havadar SC,Aluminium Arak,0.49618846315598236,0.5381191747079457,True,6.457055621080727e-10
Sanat Naft,Paykan,1.096417671362148,0.6653809211961971,True,2.2464184810623795e-10,Sanat Naft,Paykan,0.8710860972989085,0.5531821974154187,True,2.2749413759023813e-09
Malavan,Foolad,0.7723793607994817,0.9989950076655323,True,1.0511427233902981e-10,Malavan,Foolad,0.6712867160106537,0.8018915710843555,True,9.179371209187427e-10
Sepahan,Esteghlal F.C.,1.1078714030677466,0.8362501559936647,True,2.100829903245806e-11,Sepahan,Esteghlal F.C.,0.929188031341423,0.462789734412851,True,1.883327188414914e-11
Persepolis,Zob Ahan,1.9002781165548526,0.40732029101678724,True,3.6163199608717135e-10,Persepolis,Zob Ahan,1.6570862681107588,0.33701501281577434,True,2.9307195402354217e-12
Esteghlal F.C.,Esteghlal Khuzestan,1.7124277479886378,0.7036361160188498,True,9.005000873440634e-10,Esteghlal F.C.,Esteghlal Khuzestan,1.5238444315394155,0.3990382632875968,True,7.40559335265203e-11
Tractor,Mes Rafsanjan,1.0147731303082643,0.7818351049754951,True,4.6852215976468125e-11,Tractor,Mes Rafsanjan,1.039179141170662,0.5263940063804419,True,3.125233829553954e-10
Paykan,Sepahan,0.4859548818688922,1.7380660711786526,True,1.9901070427861965e-11,Paykan,Sepahan,0.3386609812597367,1.4190926881522015,True,8.949659359430997e-11
Nassaji Mazandaran,Sanat Naft,0.8567430849040343,0.7301872892465795,True,1.2360770607030176e-09,Nassaji Mazandaran,Sanat Naft,0.7539470051185041,0.5967222403644296,True,7.252225346716258e-10
Gol Gohar,Malavan,1.2868036506560194,0.6811835370791763,True,5.872713656126438e-11,Gol Gohar,Malavan,1.1332148127287551,0.5315796186373546,True,9.551470672176729e-11
Zob Ahan,Havadar SC,1.038541894714419,0.6485293691395585,True,8.8962922671674e-10,Zob Ahan,Havadar SC,0.9004673260168606,0.4898010447325254,True,1.6589265378546691e-09
Aluminium Arak,Shams Azar Qazvin,1.0385569725581207,1.0412757101393482,True,1.4215177420045187e-11,Aluminium Arak,Shams Azar Qazvin,0.6572526654643086,0.6538139576696197,True,1.9697595051761016e-11
Foolad,Persepolis,0.5576900708358511,1.4357919550038671,True,1.269741656213096e-09,Foolad,Persepolis,0.38051311942262644,1.187190308111749,True,4.8379328953313484e-12
Esteghlal Khuzestan,Tractor,0.7236262897736843,1.0065699096970084,True,7.225931738900215e-12,Esteghlal Khuzestan,Tractor,0.6830941269621745,0.8783836005088023,True,1.441708532502842e-10
Malavan,Paykan,1.0882665824795372,0.710034324264613,True,1.2165359445553362e-10,Malavan,Paykan,0.8002403568240425,0.4710469632636066,True,1.3122278332068568e-09
Havadar SC,Tractor,0.7773956023659887,1.0287261555216711,True,4.3730240614850744e-10,Havadar SC,Tractor,0.44808913945932066,0.9825020645445443,True,4.4774510161185e-15
Mes Rafsanjan,Aluminium Arak,0.9974351349070903,0.6471986746644456,True,9.709969829928448e-10,Mes Rafsanjan,Aluminium Arak,0.5087051466559305,0.6563477177338317,True,7.462640677886496e-14
Esteghlal Khuzestan,Zob Ahan,0.9522734899036385,0.8343569837735767,True,6.20790639517192e-11,Esteghlal Khuzestan,Zob Ahan,0.6624607582648361,0.6676557126285022,True,2.600276112271474e-11
Shams Azar Qazvin,Zob Ahan,0.833076451920647,0.9192203407055758,True,2.044149935838757e-11,Shams Azar Qazvin,Zob Ahan,0.8092074132152101,0.7881294650139069,True,4.720675506693183e-10
Esteghlal Khuzestan,Paykan,0.8142409204243637,0.8761307599748324,True,2.6347671105616786e-10,Esteghlal Khuzestan,Paykan,0.7691554660236296,0.629665792533569,True,2.6902435116478687e-11
Aluminium Arak,Tractor,0.8540566988054318,0.8823539647070372,True,5.116081459287202e-10,Aluminium Arak,Tractor,0.666096060954826,0.7223918466769202,True,8.78342397388853e-12
Havadar SC,Foolad,0.7895337948979322,0.791772024893352,True,5.260698155248292e-10,Havadar SC,Foolad,0.6586693673881292,0.630139986447184,True,8.187064969832907e-10
Mes Rafsanjan,Esteghlal F.C.,0.689042521912896,1.0942418923990718,True,4.291759550299159e-12,Mes Rafsanjan,Esteghlal F.C.,0.5659942643658703,0.9172728736232801,True,1.018453675755767e-09
Sepahan,Sanat Naft,2.050752637718615,0.5110188078643555,True,8.025757424970379e-11,Sepahan,Sanat Naft,2.03676729711873,0.49210730029586536,True,4.418968947486736e-10
Malavan,Nassaji Mazandaran,1.043955225653745,0.811691328774561,True,1.2406985750944452e-11,Malavan,Nassaji Mazandaran,1.0143884971221158,0.6710320441809914,True,7.122535390779294e-10
Persepolis,Gol Gohar,1.827218508484422,0.4984452041528286,True,1.2231714158682133e-09,Persepolis,Gol Gohar,1.5580064881509772,0.6229954162396466,True,2.8632232240853363e-10
Nassaji Mazandaran,Aluminium Arak,0.8065936448780703,0.7775886661048369,True,8.525005965131401e-10,Nassaji Mazandaran,Aluminium Arak,0.6867273650810793,0.42181205977066893,True,4.179677609543746e-12
Paykan,Persepolis,0.40536035147929983,1.565637042610423,True,2.5463217536515322e-09,Paykan,Persepolis,0.34790638902347043,1.4681500624748745,True,2.0632738004761186e-10
Sanat Naft,Malavan,0.9337294264139302,0.7854619532307583,True,1.729805925090509e-11,Sanat Naft,Malavan,0.7381316886691005,0.6278145418041646,True,1.7746984666204994e-11
Foolad,Esteghlal Khuzestan,1.2371714226000488,0.5723819147049102,True,1.8053767558454511e-09,Foolad,Esteghlal Khuzestan,1.079371119972331,0.44415081248738475,True,2.9142374921291854e-10
