team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Maccabi Petah Tikva,Hapoel Jerusalem,1.055834840198406,1.0558206633177567,True,1.5268564429365843e-11,Maccabi Petah Tikva,Hapoel Jerusalem,1.0508901157720842,1.020127646817451,True,1.2111655486108463e-11
Netanya,Maccabi Bnei Raina,1.2936422241903212,0.8845051702370955,True,3.1424157331880953e-09,Netanya,Maccabi Bnei Raina,1.5576711649961172,0.7661354413150673,True,7.441941495625152e-10
H. Beer Sheva,Hapoel Hadera,1.9793448840615424,0.6501015623282588,True,2.071000357428171e-09,H. Beer Sheva,Hapoel Hadera,2.19778480221162,0.662926015988354,True,7.130415040072575e-11
Sakhnin,Hapoel Tel Aviv,0.9461620853433135,1.2149261539703973,True,7.057173792832182e-11,Sakhnin,Hapoel Tel Aviv,0.8308537029430426,1.449690394123613,True,8.561230548950395e-12
Maccabi Tel Aviv,SC Ashdod,2.1345706030806455,0.5977963514280941,True,1.157961553587356e-10,Maccabi Tel Aviv,SC Ashdod,2.484667578629307,0.5977569577019861,True,3.4189418866234974e-10
Beitar Jerusalem,Hapoel Haifa,1.335455472584896,0.9894562962173434,True,3.241768839367543e-09,Beitar Jerusalem,Hapoel Haifa,1.3324574638330609,1.147869571509624,True,1.0927228889216875e-11
Maccabi Bnei Raina,H. Beer Sheva,0.7777234097024599,1.8855602912781348,True,1.7955343350150725e-10,Maccabi Bnei Raina,H. Beer Sheva,0.7182213219182217,1.6620291125791062,True,2.5711226145816425e-09
Hapoel Tel Aviv,Netanya,1.2816681695111838,0.9156634541154614,True,1.0586775102920311e-09,Hapoel Tel Aviv,Netanya,1.1574774151405762,1.1716730083056723,True,3.348236428422955e-10
Hapoel Petah Tikva,Sakhnin,1.2903957352784996,1.1515587741538886,True,5.754217496075285e-11,Hapoel Petah Tikva,Sakhnin,1.0623326948781195,0.9574916641843411,True,9.324602304508054e-12
Hapoel Haifa,Maccabi Petah Tikva,1.4944502355659433,0.7906863308928824,True,5.604793604792859e-10,Hapoel Haifa,Maccabi Petah Tikva,1.3522844968923458,0.9743635436220337,True,2.7856827721850437e-12
Hapoel Jerusalem,Maccabi Haifa,0.755489527116482,2.5678892834083586,True,5.409953978813104e-10,Hapoel Jerusalem,Maccabi Haifa,0.757109818470685,1.8455345658205182,True,7.029917124928066e-11
Hapoel Hadera,Maccabi Tel Aviv,0.6678450174363793,2.0362166468814835,True,4.3726982870547507e-13,Hapoel Hadera,Maccabi Tel Aviv,0.5702166547627991,2.442489590305182,True,2.2592058975682453e-11
SC Ashdod,Beitar Jerusalem,1.0265845953792934,1.3883801398919229,True,1.8268957943778926e-11,SC Ashdod,Beitar Jerusalem,1.1110964113288657,1.3152772492384797,True,7.995042851184596e-12
Hapoel Haifa,SC Ashdod,1.386778210969171,0.9309515766858303,True,7.228539969184938e-12,Hapoel Haifa,SC Ashdod,1.2017603310282094,1.0106056032974144,True,3.62820651664008e-10
Netanya,Hapoel Petah Tikva,1.9203404212556254,0.739583034483424,True,7.514136128994784e-11,Netanya,Hapoel Petah Tikva,1.7026833788291562,0.8670588195637162,True,6.575229604112571e-10
Maccabi Tel Aviv,Maccabi Bnei Raina,2.40125206476234,0.6016610716122802,True,1.3260825207675186e-10,Maccabi Tel Aviv,Maccabi Bnei Raina,2.5106105186536496,0.5485026562708472,True,1.2380505270441718e-10
Maccabi Petah Tikva,Maccabi Haifa,0.8145080796856087,1.649596696465494,True,8.613501783516989e-10,Maccabi Petah Tikva,Maccabi Haifa,0.8369452096590142,1.8971971699212415,True,1.419843770715748e-10
Sakhnin,Hapoel Jerusalem,1.0368265512312513,1.0974498382402362,True,2.2420188588330537e-11,Sakhnin,Hapoel Jerusalem,0.7846419434912918,1.089312732227243,True,1.7342672293012238e-10
H. Beer Sheva,Hapoel Tel Aviv,1.7260995478307488,0.714284058129349,True,2.2345549144837437e-09,H. Beer Sheva,Hapoel Tel Aviv,1.4575353538573015,0.7620865976181032,True,3.210863937996438e-10
Beitar Jerusalem,Hapoel Hadera,1.815838639966682,0.9087365391067399,True,3.913987655136343e-13,Beitar Jerusalem,Hapoel Hadera,1.5582231612186506,0.8397112348994465,True,1.1618904304459846e-10
Hapoel Jerusalem,Netanya,1.0996439266255038,1.13406763392525,True,2.238296128441303e-11,Hapoel Jerusalem,Netanya,1.0874924340871688,1.0505816249718052,True,1.3855720781583595e-11
Maccabi Bnei Raina,Beitar Jerusalem,1.108572298007353,1.108555611335178,True,1.8499415508030883e-11,Maccabi Bnei Raina,Beitar Jerusalem,1.0160177981548502,1.2369817365018354,True,6.877430262734749e-11
Hapoel Petah Tikva,H. Beer Sheva,0.9681598152689804,1.2825062182484392,True,1.2129722941653655e-10,Hapoel Petah Tikva,H. Beer Sheva,0.659262102192402,1.8062555213707574,True,2.9206454501665337e-10
SC Ashdod,Maccabi Petah Tikva,1.2836205457495296,0.9364878059645879,True,7.348144629385627e-10,SC Ashdod,Maccabi Petah Tikva,1.2172457155796232,1.0141545528734452,True,3.8327105554835946e-11
Hapoel Hadera,Hapoel Haifa,0.9883264493019166,1.1770476623262776,True,4.923594191389242e-11,Hapoel Hadera,Hapoel Haifa,1.02088808334086,1.2934012812516311,True,7.263831633719939e-11
Hapoel Tel Aviv,Maccabi Tel Aviv,0.8011366191714605,1.8260360032609597,True,1.1535789090055024e-12,Hapoel Tel Aviv,Maccabi Tel Aviv,0.6295457671352214,1.9692175735365263,True,1.5573852132411355e-10
Maccabi Haifa,Sakhnin,2.8308645623143125,0.6189255210631502,True,2.8487441291699696e-09,Maccabi Haifa,Sakhnin,2.693407911848573,0.8205005742853386,True,1.1152917336117944e-09
Maccabi Petah Tikva,Sakhnin,1.6349735438886983,0.8535451194425648,True,2.0133374994987298e-10,Maccabi Petah Tikva,Sakhnin,1.439559814646685,0.8783327037889643,True,1.0453221811019655e-10
H. Beer Sheva,Hapoel Jerusalem,1.9635863671458598,0.6893533826457439,True,4.6215428391410225e-09,H. Beer Sheva,Hapoel Jerusalem,1.6419341081202634,0.7277185111475024,True,1.893622787749399e-14
Hapoel Haifa,Maccabi Bnei Raina,1.3398293295487156,0.9193487063373534,True,1.151319341091072e-11,Hapoel Haifa,Maccabi Bnei Raina,1.281585685619805,0.874438547847423,True,1.8807603382599725e-09
SC Ashdod,Hapoel Hadera,1.3108629371078546,0.943118885620446,True,2.895972502531723e-09,SC Ashdod,Hapoel Hadera,1.4890941816944494,0.7974724026092022,True,7.154557876526445e-10
Maccabi Tel Aviv,Hapoel Petah Tikva,2.842379206151266,0.5883218745611668,True,3.598943776958636e-10,Maccabi Tel Aviv,Hapoel Petah Tikva,2.9916730814849406,0.6631882521823531,True,9.34586249123802e-13
Netanya,Maccabi Haifa,1.069392572085154,1.9935165640988288,True,2.001668431943862e-10,Netanya,Maccabi Haifa,1.0195789668900677,1.9000363913036151,True,6.291386999106181e-11
Beitar Jerusalem,Hapoel Tel Aviv,1.2317530406215391,1.0617773570301154,True,4.996762426240896e-13,Beitar Jerusalem,Hapoel Tel Aviv,1.3108830706050667,0.9091363239881278,True,4.976122819942958e-12
Maccabi Haifa,Hapoel Petah Tikva,3.016498202330603,0.5858214483968888,True,3.317902255839142e-11,Maccabi Haifa,Hapoel Petah Tikva,2.869181402366143,0.5748403377587591,True,8.701820061325575e-10
Hapoel Hadera,Maccabi Petah Tikva,0.8638166507712998,1.3607311061192628,True,7.432727760946124e-10,Hapoel Hadera,Maccabi Petah Tikva,0.8638166507712998,1.3607311061192628,True,7.432727760946124e-10
Hapoel Petah Tikva,Beitar Jerusalem,1.0344072744765471,1.2647985323312885,True,6.14164500978807e-11,Hapoel Petah Tikva,Beitar Jerusalem,1.0344072744765471,1.2647985323312885,True,6.14164500978807e-11
Sakhnin,Netanya,0.8986721262480613,1.3167924691723263,True,3.5763766893675045e-10,Sakhnin,Netanya,0.8986721262480613,1.3167924691723263,True,3.5763766893675045e-10
Hapoel Tel Aviv,Hapoel Haifa,1.361874273635313,0.8911708985961792,True,1.65751449944835e-11,Hapoel Tel Aviv,Hapoel Haifa,1.361874273635313,0.8911708985961792,True,1.65751449944835e-11
Maccabi Bnei Raina,SC Ashdod,1.3326633398232628,0.9438465679535052,True,4.294326166987295e-12,Maccabi Bnei Raina,SC Ashdod,1.3326633398232628,0.9438465679535052,True,4.294326166987295e-12
Maccabi Haifa,H. Beer Sheva,1.3194938083471324,0.9827187494567174,True,1.6986277808206999e-09,Maccabi Haifa,H. Beer Sheva,1.3194938083471324,0.9827187494567174,True,1.6986277808206999e-09
Hapoel Jerusalem,Maccabi Tel Aviv,0.5412040974602861,2.2452832333531756,True,1.4840932696387926e-10,Hapoel Jerusalem,Maccabi Tel Aviv,0.5412040974602861,2.2452832333531756,True,1.4840932696387926e-10
SC Ashdod,Hapoel Tel Aviv,0.9811664360141884,0.9884939956381575,True,1.2460801822063743e-11,SC Ashdod,Hapoel Tel Aviv,0.9811664360141884,0.9884939956381575,True,1.2460801822063743e-11
Maccabi Petah Tikva,Netanya,1.108600676609869,1.1813683447425045,True,1.8042954528241073e-11,Maccabi Petah Tikva,Netanya,1.108600676609869,1.1813683447425045,True,1.8042954528241073e-11
Hapoel Haifa,Hapoel Petah Tikva,1.365131503301403,0.7446714257268482,True,9.928289569181536e-10,Hapoel Haifa,Hapoel Petah Tikva,1.365131503301403,0.7446714257268482,True,9.928289569181536e-10
Hapoel Hadera,Maccabi Bnei Raina,1.0764532091368613,1.0169398619176153,True,1.1244030367143863e-11,Hapoel Hadera,Maccabi Bnei Raina,1.0764532091368613,1.0169398619176153,True,1.1244030367143863e-11
Beitar Jerusalem,Hapoel Jerusalem,1.157034588047684,0.8606813689654486,True,6.823783012309644e-12,Beitar Jerusalem,Hapoel Jerusalem,1.157034588047684,0.8606813689654486,True,6.823783012309644e-12
H. Beer Sheva,Sakhnin,1.7768518783269152,0.759208513221336,True,1.1619609432716131e-10,H. Beer Sheva,Sakhnin,1.7768518783269152,0.759208513221336,True,1.1619609432716131e-10
Hapoel Petah Tikva,SC Ashdod,0.9744722228300035,0.9600469193555442,True,1.1143812358872927e-11,Hapoel Petah Tikva,SC Ashdod,0.9744722228300035,0.9600469193555442,True,1.1143812358872927e-11
Hapoel Tel Aviv,Hapoel Hadera,1.5431001693855262,0.7414216037912512,True,5.988772461724163e-14,Hapoel Tel Aviv,Hapoel Hadera,1.5431001693855262,0.7414216037912512,True,5.988772461724163e-14
Maccabi Bnei Raina,Maccabi Petah Tikva,1.0051229405233029,0.9190496777931466,True,9.468370154720326e-12,Maccabi Bnei Raina,Maccabi Petah Tikva,1.0051229405233029,0.9190496777931466,True,9.468370154720326e-12
Hapoel Jerusalem,Hapoel Haifa,0.9417026726536213,0.9823361307932271,True,1.1153858521950773e-11,Hapoel Jerusalem,Hapoel Haifa,0.9417026726536213,0.9823361307932271,True,1.1153858521950773e-11
Maccabi Haifa,Beitar Jerusalem,1.9667652999097422,0.7208292582687749,True,4.830280140579066e-10,Maccabi Haifa,Beitar Jerusalem,1.9667652999097422,0.7208292582687749,True,4.830280140579066e-10
Sakhnin,Maccabi Tel Aviv,0.6686044353230872,2.4457548070119173,True,1.0365667082149357e-09,Sakhnin,Maccabi Tel Aviv,0.6686044353230872,2.4457548070119173,True,1.0365667082149357e-09
Netanya,H. Beer Sheva,1.0363765468271975,1.2730701848214137,True,5.894874840391801e-11,Netanya,H. Beer Sheva,1.0363765468271975,1.2730701848214137,True,5.894874840391801e-11
