team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Legnago Salus,Arzignano,0.9465940553480863,0.8858315343028702,True,1.1262078135317677e-09,Legnago Salus,Arzignano,0.9880580846252994,1.00838022395207,True,1.341537358729025e-11
Pro Patria,Giana Erminio,1.458898834544789,0.7472842073175557,True,1.3240224149706997e-10,Pro Patria,Giana Erminio,1.3868246784365543,0.761008317058988,True,9.174339675864241e-11
Atalanta U23,Virtus Verona,0.9369363011057228,0.9772232609086315,True,1.0295780634162761e-11,Atalanta U23,Virtus Verona,0.9729620179067151,0.9175212252900475,True,8.855232211403445e-12
Pro Vercelli,Lumezzane,1.223366726029129,0.9013645899470812,True,6.397068217065491e-10,Pro Vercelli,Lumezzane,1.5331719397292458,0.7930742563586187,True,9.053581231632265e-12
Triestina,Trento,1.130590219222988,0.7458413474898634,True,6.358292754618926e-11,Triestina,Trento,1.2041402747570433,0.6633130473200376,True,2.1947587399498626e-10
Alessandria,Novara,0.8878504658351207,1.2358310805639092,True,1.2029064646507566e-10,Alessandria,Novara,0.7605323906268059,1.3372559717821229,True,8.072794789231249e-10
L.R. Vicenza,AlbinoLeffe,1.623623017757092,0.7598348924408965,True,1.752749349136816e-09,L.R. Vicenza,AlbinoLeffe,1.7933266901048674,0.7002066767356754,True,1.564752800279498e-11
Mantova,Padova,0.9708820851645402,1.0455779222401185,True,1.6987714426273415e-11,Mantova,Padova,1.112278629715837,0.9879410990278379,True,8.976413064615774e-12
Pergolettese,Pro Sesto,1.1184356292199595,0.8360157027982371,True,1.2322167522496607e-11,Pergolettese,Pro Sesto,1.1739901535593749,0.775563787963378,True,2.7595240899778486e-10
Fiorenzuola,Renate,1.0788503290846432,0.9722413727320692,True,9.284432292120627e-12,Fiorenzuola,Renate,0.7975050123740237,1.0457233304315858,True,2.171471108208005e-10
Virtus Verona,Alessandria,1.384139501581558,0.7317021568522886,True,2.0681600286446037e-10,Virtus Verona,Alessandria,1.3269888615940801,0.5747429821108949,True,7.602983068425436e-10
Trento,Atalanta U23,1.0829901111447229,0.9416499741053426,True,8.625756049496841e-12,Trento,Atalanta U23,1.035421347106092,0.880071855610112,True,7.087558243392473e-12
Renate,Pro Vercelli,1.0015476443516962,0.874890485812101,True,7.548301564438503e-12,Renate,Pro Vercelli,1.0145627889812023,0.7789281889788111,True,3.7697623911369234e-11
Padova,Legnago Salus,1.3061318826487285,0.8447373547847002,True,1.2466724887434042e-11,Padova,Legnago Salus,1.3380708981687195,0.6552141155959741,True,2.4836092573664933e-11
Novara,Pro Patria,1.248540164679213,0.7602187078430076,True,1.7965427526515865e-09,Novara,Pro Patria,1.1334466247433594,0.630798649680031,True,1.2487802341219337e-09
Lumezzane,Pergolettese,0.8230525008378925,1.2440972227800366,True,1.6519112574595287e-10,Lumezzane,Pergolettese,0.9463343222292486,1.2371819230347214,True,8.49744267555207e-11
Giana Erminio,L.R. Vicenza,1.0242310979514844,1.5299770707575264,True,7.857754751045875e-12,Giana Erminio,L.R. Vicenza,0.7792199124974963,1.425419973502413,True,1.1784592284566694e-11
Arzignano,Mantova,1.1238569812134052,0.8750084169927111,True,6.934660649771443e-12,Arzignano,Mantova,0.9972516629362403,0.9404375894869199,True,1.0330517636082689e-11
AlbinoLeffe,Triestina,0.8680205434064523,0.9586578842265538,True,1.0409859298023062e-11,AlbinoLeffe,Triestina,0.8574984226741332,0.8910873055102351,True,4.3107213049401436e-10
Pro Sesto,Fiorenzuola,1.265214586149854,0.826040000610312,True,7.898264701689062e-10,Pro Sesto,Fiorenzuola,1.1369728170019233,0.9913261172403594,True,8.324821093204527e-12
Atalanta U23,Giana Erminio,1.0555476261775414,0.8168773230030508,True,3.166595990632778e-11,Atalanta U23,Giana Erminio,1.2103465740835888,0.7102901659724481,True,6.768101192981041e-10
Mantova,Pro Sesto,1.4866089544582632,0.7149905485824742,True,7.324320950522069e-11,Mantova,Pro Sesto,1.572979420441525,0.5744640254322777,True,6.810660909487571e-11
Triestina,Pro Vercelli,1.1964552648719224,0.7095640443680903,True,2.7854315754951876e-10,Triestina,Pro Vercelli,1.3291463435037478,0.7315667890577846,True,1.0838639117099093e-11
