team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Giugliano,Sorrento,1.520637698141864,0.9570076379191347,True,3.7230733003329095e-10,Giugliano,Sorrento,1.4978631659969615,0.9613988747107274,True,6.238730701092014e-12
Catania,Crotone,1.0104005856696,1.1339319876775018,True,3.2534446826226974e-11,Catania,Crotone,1.1963679662174014,0.9844640371280272,True,9.758068870477795e-10
Avellino,Latina,1.158745754034029,0.7331801471577961,True,6.451212936123697e-11,Avellino,Latina,1.562824163401975,0.6223865245220829,True,1.2873008013140214e-10
Audace Cerignola,ACR Messina,1.463696696728908,0.6785903781081339,True,3.4691740229288166e-11,Audace Cerignola,ACR Messina,1.7856791366292244,0.49201103142691777,True,5.652456034337468e-09
Virtus Francavilla,Picerno,1.0630048690533507,0.921640787628963,True,8.422870758561734e-12,Virtus Francavilla,Picerno,0.8411155630756718,1.0552379376706937,True,2.6052622426065998e-09
Monterosi,Juve Stabia,1.0823352359064369,0.8148761336658731,True,9.503765872615054e-11,Monterosi,Juve Stabia,0.985311471384113,0.7498084504185559,True,2.0693899147935582e-10
Turris,Benevento,0.7348472745246002,1.495942158962891,True,3.398618757593327e-11,Turris,Benevento,0.9009679377311696,1.5592293650129152,True,7.287745815658854e-10
Taranto,Foggia,0.9136528478261824,0.8961036257424003,True,6.160627139812508e-12,Taranto,Foggia,0.9157828896178374,0.8525544493026419,True,3.3190948879717647e-11
Potenza,Brindisi,1.7563561929017344,0.8259327773267848,True,6.756775409791267e-11,Potenza,Brindisi,1.7069594268887134,0.8119883608166573,True,5.649052745833189e-11
Sorrento,Audace Cerignola,0.8682407289233985,0.9967234484117345,True,1.7670912626450039e-09,Sorrento,Audace Cerignola,0.8663638085275865,0.9865695936520108,True,2.1391598492542523e-09
Crotone,Turris,1.7470941110374458,0.7097660002394541,True,1.5532169710781227e-09,Crotone,Turris,1.6316589859523687,0.6431039450642803,True,2.0368483359316203e-12
Monopoli,Monterosi,1.2965097832982704,0.7200849340520801,True,7.167509856257119e-10,Monopoli,Monterosi,1.177569905166963,0.6617089540471249,True,2.900857040111047e-10
Latina,Potenza,1.0831498255556617,0.8348486691241495,True,3.729689110120917e-11,Latina,Potenza,0.9154582931665289,0.8765124086477666,True,6.507861898042277e-11
Picerno,Taranto,1.1911745626573937,0.7041621240506241,True,1.8687570020552065e-10,Picerno,Taranto,0.8568172835572169,0.576181907160644,True,3.1721248462624365e-10
Juve Stabia,Avellino,0.9917378022565803,0.8733121980440115,True,6.9314475443407914e-12,Juve Stabia,Avellino,0.9096668134976299,0.926086095122099,True,9.43879966638932e-10
Foggia,Giugliano,1.4101205586019923,0.7595558491631839,True,1.3631278143309065e-09,Foggia,Giugliano,1.3875307733357736,0.9583991704633947,True,8.435801851432724e-12
Benevento,Virtus Francavilla,1.683493337408661,0.7112250562359753,True,4.0986315754160004e-14,Benevento,Virtus Francavilla,1.629698650069274,0.6094807203361737,True,2.4806681193587135e-09
Virtus Francavilla,Crotone,0.8387314311809889,1.248756977645522,True,1.8180213690770566e-10,Virtus Francavilla,Crotone,0.6800528822615424,1.1758966684987162,True,2.931531472535182e-11
Turris,Sorrento,1.168324737734913,0.8838385417358291,True,6.288896332446257e-12,Turris,Sorrento,1.407267198788713,0.9255249043405198,True,6.655847158085357e-10
