team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Maghreb Fez,Moghreb Tetouan,0.9887875811190555,0.763335247192066,True,1.940219152108131e-11,Maghreb Fez,Moghreb Tetouan,1.039443151103254,0.6876832097076947,True,2.445117359633287e-10
Union Touarga,Renaissance Zemamra,1.303197419228903,0.6757862654319615,True,4.36180788078329e-11,Union Touarga,Renaissance Zemamra,1.0064666198438035,0.4937098905118039,True,3.269415973714866e-10
Olympique de Safi,Hassania Agadir,1.048518534310865,0.753047142369836,True,2.913875706341303e-10,Olympique de Safi,Hassania Agadir,1.2739245988186652,0.5246008372644229,True,2.790069905893311e-11
Berkane,Mouloudia Oujda,1.2318417282581315,0.7876442040412879,True,2.5191096370782013e-09,Berkane,Mouloudia Oujda,1.66320657524694,0.35651681958588294,True,1.5237558027371614e-09
Youssoufia Berrechid,Raja Casablanca,0.7202725437653299,1.2928862259007048,True,1.616175781692498e-10,Youssoufia Berrechid,Raja Casablanca,0.5749654692397117,1.3125297055119751,True,3.5080165116141403e-10
IR Tanger,Jeunesse Sportive Soualem,1.5632949428622984,0.7090959264914386,True,6.593151912577877e-11,IR Tanger,Jeunesse Sportive Soualem,1.1314756961067072,0.5263021956741291,True,3.964897045484018e-10
FAR Rabat,Chabab Mohammedia,2.064649464525276,0.5490772607014647,True,6.203848750572025e-11,FAR Rabat,Chabab Mohammedia,2.0642998625127573,0.44869288739570223,True,4.7712567908314395e-11
Wydad,FUS Rabat,1.5528941786178332,0.5840225410854779,True,2.747844635605974e-10,Wydad,FUS Rabat,1.073722460129193,0.41449733478065875,True,7.47644617058696e-10
Jeunesse Sportive Soualem,Hassania Agadir,0.8479243514083736,0.9956408170529446,True,1.1747191092638482e-11,Jeunesse Sportive Soualem,Hassania Agadir,0.9467294740059604,0.5969684591830181,True,1.557729239356074e-09
Renaissance Zemamra,Youssoufia Berrechid,1.1746564052504955,0.7629691673514486,True,2.8250872267386337e-10,Renaissance Zemamra,Youssoufia Berrechid,1.0301728860498682,0.6660544075303536,True,8.289687509972736e-10
Mouloudia Oujda,Union Touarga,1.1778817492769529,0.9551955793317443,True,3.629751703162059e-09,Mouloudia Oujda,Union Touarga,0.7570990976312489,0.7033337676722748,True,1.1274716873469953e-09
Moghreb Tetouan,Olympique de Safi,0.843703767828346,1.0019672205932415,True,1.4398150566968113e-11,Moghreb Tetouan,Olympique de Safi,0.6984444105342075,0.9667739163608278,True,1.840742479868597e-10
Raja Casablanca,FAR Rabat,0.8815902340439646,0.9396127480631709,True,7.012885138560981e-12,Raja Casablanca,FAR Rabat,1.0295909152681786,0.6644624468951509,True,4.6423112725319977e-10
FUS Rabat,Maghreb Fez,1.3452709158390812,0.5938283877431607,True,6.362583488077774e-10,FUS Rabat,Maghreb Fez,1.1229560026755596,0.49907483188202323,True,7.064161557727406e-10
Chabab Mohammedia,Wydad,0.5893482587673192,1.7403727604746904,True,3.939725244323524e-09,Chabab Mohammedia,Wydad,0.5774263427962356,1.511881587453223,True,1.7365552824246553e-10
Berkane,IR Tanger,1.246855064518835,0.7586264815816259,True,1.7803741167902016e-09,Berkane,IR Tanger,1.5243575727515715,0.5346935172616578,True,7.829274136036052e-11
Youssoufia Berrechid,Chabab Mohammedia,1.0602654800658853,0.8537484665481658,True,6.725704085390117e-12,Youssoufia Berrechid,Chabab Mohammedia,0.9800616234729485,0.8280464163593296,True,1.2147669360477374e-09
Olympique de Safi,FUS Rabat,0.9832347313878392,0.740334597719354,True,7.488698206781146e-10,Olympique de Safi,FUS Rabat,0.8608014829474994,0.7096701198454197,True,9.059956685798929e-10
Hassania Agadir,Moghreb Tetouan,1.2729427709137358,0.633747867764768,True,1.0018016583527926e-09,Hassania Agadir,Moghreb Tetouan,1.1472092298911252,0.6306351582269561,True,1.1390802872852125e-09
Maghreb Fez,Raja Casablanca,0.7075292815566528,1.1234044349266834,True,7.719703318046766e-10,Maghreb Fez,Raja Casablanca,0.5065122639728731,1.1638510121342778,True,2.4415092570280017e-10
IR Tanger,Mouloudia Oujda,1.4437188457569683,0.7775070661712121,True,1.5550390687643495e-11,IR Tanger,Mouloudia Oujda,1.3678165344093138,0.4053306144031854,True,9.838064822193957e-10
FAR Rabat,Renaissance Zemamra,2.22363313783963,0.5067019907374702,True,9.759429443568685e-11,FAR Rabat,Renaissance Zemamra,2.3518958630041027,0.46513217122619005,True,6.1160481471453216e-09
Union Touarga,Berkane,0.9533498912535091,1.0903460958469915,True,2.3968186176915824e-11,Union Touarga,Berkane,0.7730606359123585,0.954628808610029,True,5.2237753642751695e-12
Wydad,Jeunesse Sportive Soualem,2.052125993220419,0.56736929198888,True,5.5010105899134296e-11,Wydad,Jeunesse Sportive Soualem,2.0227418773319816,0.47953123256423197,True,9.681466857634997e-10
IR Tanger,Youssoufia Berrechid,1.0602164801793328,0.8076722393358117,True,3.9353681367329375e-11,IR Tanger,Youssoufia Berrechid,1.1745172493625284,0.7754862789124158,True,2.7454909310418217e-10
Chabab Mohammedia,Moghreb Tetouan,1.1090032352868724,0.8397043392557709,True,1.2685414948330544e-11,Chabab Mohammedia,Moghreb Tetouan,0.9172195784950741,0.9440971851417245,True,4.0453017072983805e-12
Raja Casablanca,Union Touarga,1.6346914128308718,0.7471918517292537,True,6.111087061124391e-15,Raja Casablanca,Union Touarga,1.844971018749861,0.5737407273984074,True,2.9264979337679595e-11
Berkane,Wydad,0.8110541958965662,1.0898996029926442,True,1.6231486796715845e-11,Berkane,Wydad,0.904872080504328,0.8518493512537134,True,2.7052531471086694e-10
Renaissance Zemamra,Maghreb Fez,0.9170050090134128,1.0682275174228921,True,1.93222628988732e-11,Renaissance Zemamra,Maghreb Fez,0.6524457790306908,0.7434955800902977,True,8.397170248920211e-10
Mouloudia Oujda,FAR Rabat,0.6941063092644465,1.6064982299373285,True,1.2091488693752884e-09,Mouloudia Oujda,FAR Rabat,0.6599885853679668,1.7044219272891428,True,3.234875688152366e-11
Jeunesse Sportive Soualem,Olympique de Safi,0.853126091091016,0.9071472608380285,True,5.086412745742391e-11,Jeunesse Sportive Soualem,Olympique de Safi,0.8390648778568881,0.8844028466345801,True,2.0863281608565122e-10
FUS Rabat,Hassania Agadir,1.205121078955011,0.6551553837702649,True,1.696983302329269e-10,FUS Rabat,Hassania Agadir,1.2524145689642168,0.49119097469368306,True,3.119723304600677e-10
Olympique de Safi,Chabab Mohammedia,1.3877368619699388,0.6908595480283891,True,5.441354259237154e-10,Olympique de Safi,Chabab Mohammedia,1.251263252317368,0.44591136853769014,True,4.597481666913241e-09
Youssoufia Berrechid,Mouloudia Oujda,1.069348576009971,0.8175031754724588,True,6.107679151304986e-11,Youssoufia Berrechid,Mouloudia Oujda,1.152637300266704,0.705189114290126,True,3.468222383732165e-11
Union Touarga,IR Tanger,1.026191038745141,1.026178577073823,True,1.3334109259758682e-11,Union Touarga,IR Tanger,1.0426397992544838,0.8649136071843083,True,6.1056242249286165e-12
Maghreb Fez,Jeunesse Sportive Soualem,1.1019879629790554,0.7350190285079996,True,1.0883578206175197e-09,Maghreb Fez,Jeunesse Sportive Soualem,1.180795711501621,0.6997061143382634,True,2.249533256706754e-11
Hassania Agadir,Raja Casablanca,0.7991530221093667,1.0787396880940006,True,7.36140649875517e-11,Hassania Agadir,Raja Casablanca,0.5791603096412976,1.2741079202098387,True,1.3963415907191593e-10
FAR Rabat,Berkane,1.5053572792998042,0.8250937265671473,True,1.7972111251283977e-09,FAR Rabat,Berkane,1.1786906275269218,0.7454964103822738,True,1.2970965718488333e-10
Wydad,Renaissance Zemamra,2.204276909744815,0.39804817393949504,True,6.571309873055113e-11,Wydad,Renaissance Zemamra,2.031168098516418,0.39424280060233796,True,1.9295990475532185e-10
Moghreb Tetouan,FUS Rabat,0.8509435036421091,1.0696010747915827,True,7.830455834777399e-12,Moghreb Tetouan,FUS Rabat,0.5493346617005139,0.7835945678741679,True,4.072482699965707e-10
Chabab Mohammedia,Hassania Agadir,0.9625465092595767,0.8742372200021443,True,1.5255226654802039e-09,Chabab Mohammedia,Hassania Agadir,0.8441890762261051,0.7630384896154686,True,1.0799795034931429e-09
