team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Tromso,Molde,1.0004272878982023,1.5230333286967612,True,2.051048304754121e-10,Tromso,Molde,0.9314271233904973,1.5892937012199284,True,4.2982746994648726e-10
Aalesund,Valerenga,1.0783699842348409,1.3767200045134982,True,3.260328430627171e-12,Aalesund,Valerenga,1.0241348231360112,1.1949663641162491,True,5.177301007911541e-11
Brann,Haugesund,1.893784224110837,0.8539617452804011,True,7.894810544289334e-11,Brann,Haugesund,2.286174620704633,0.7361652051383503,True,2.2180902496671085e-10
Stabaek,Odd,1.2023432327957995,1.115345786639815,True,2.6383983367422703e-13,Stabaek,Odd,1.2980764153179838,0.8726987548332967,True,5.794653269546598e-12
Rosenborg,Viking,1.7999217361623874,1.0323171683014691,True,3.404351055561888e-10,Rosenborg,Viking,1.4852190988772627,1.0146949116363098,True,1.2026237840442217e-10
HamKam,Sandefjord,1.479208827423851,0.9117323488611717,True,2.8278889253645394e-10,HamKam,Sandefjord,1.4928039370332182,0.9077969739655668,True,3.3148534776266125e-13
Sarpsborg 08,Bodo/Glimt,0.9967664884219135,1.7615265776687772,True,1.309462851212646e-11,Sarpsborg 08,Bodo/Glimt,1.153637333444818,1.6131439367129023,True,5.105068742818017e-12
Viking,Lillestrom,1.21042732012995,1.0444564530548062,True,3.220207066210005e-11,Viking,Lillestrom,1.2877233450413605,1.0233844229325306,True,4.589847081364259e-12
Stromsgodset,Aalesund,1.2726958819032002,0.9452134844731754,True,2.517956754546164e-10,Stromsgodset,Aalesund,1.3426476258152067,0.9577026184805068,True,3.7904838720206106e-12
Sandefjord,Tromso,0.9855885035624532,1.4084866211561045,True,1.6252324349709405e-10,Sandefjord,Tromso,1.0188042183380304,1.197013267889676,True,5.3611888661994435e-11
Odd,Brann,0.9125265038060402,1.707622750906172,True,2.0458117766006873e-10,Odd,Brann,1.0738133895479396,1.9371320425668894,True,2.0045656074054454e-10
Molde,Rosenborg,1.7031843362303707,0.9894298979558169,True,4.6613989576340585e-12,Molde,Rosenborg,2.171843481290116,0.8354096980726116,True,6.819104646804288e-10
Haugesund,HamKam,1.3699869696178015,0.9972425584227924,True,1.7287212140521816e-12,Haugesund,HamKam,1.2859425223199972,0.8406061228731376,True,2.7218202031304883e-09
Bodo/Glimt,Stabaek,2.6144820702026186,0.8078884651908056,True,8.279534057152265e-11,Bodo/Glimt,Stabaek,2.572327622073559,0.8124204918020529,True,1.3546848369793108e-11
Valerenga,Sarpsborg 08,1.5704008654931314,1.0485312409937249,True,6.125791223610091e-11,Valerenga,Sarpsborg 08,1.4871131893460707,1.0655749491769395,True,8.14013899018181e-11
Lillestrom,Stromsgodset,1.771676794425452,0.9249208016297549,True,1.1489629093987518e-13,Lillestrom,Stromsgodset,1.9128466795137538,0.903267847343683,True,7.482654170662606e-10
