team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Sandnes,Skeid,1.7511343226168246,1.0820358035460396,True,2.0992539294004775e-14,Sandnes,Skeid,1.4454700913417078,1.1458090062804627,True,3.616342888787064e-15
Bryne,Kongsvinger,1.1639921382121399,1.3376279022386441,True,1.1685066661602797e-10,Bryne,Kongsvinger,1.048039865667094,1.1284753498127589,True,2.8749521658124453e-11
Hodd,Raufoss,1.2618657860440117,1.3071961768344198,True,6.442885248312439e-10,Hodd,Raufoss,1.3275571134501571,0.9277661988934901,True,5.710270312401102e-12
Jerv,Ranheim,1.4899643370235693,1.102617678849896,True,4.3826563061187066e-11,Jerv,Ranheim,1.576243157019764,1.2771367146295385,True,2.08643957754348e-12
Moss,Start,1.0264896249578932,1.9125546631271284,True,3.385092461270427e-10,Moss,Start,1.1800496811708636,1.5605005380462411,True,3.7664956546890754e-13
Kristiansund,Fredrikstad,1.825972397918941,1.0069574862229516,True,1.8673753067487272e-13,Kristiansund,Fredrikstad,1.6093879523507089,1.2155472017266393,True,1.8444797319556185e-11
Mjondalen,Asane,1.7628170273043666,1.0792560025292612,True,2.167210648434916e-14,Mjondalen,Asane,1.7885727146031447,1.0530911395814861,True,4.911613173497065e-14
KFUM Oslo,Sogndal,1.630114263882516,1.0603855371353965,True,2.4665959366592932e-09,KFUM Oslo,Sogndal,1.7757581465490353,1.1325912232121762,True,1.0418247124823628e-10
Sogndal,Sandnes,1.3602399934745912,1.077050209490824,True,4.378400364391912e-10,Sogndal,Sandnes,1.7340769238433562,1.1598675920619363,True,4.1389249761976615e-10
Ranheim,Bryne,1.7239574900661527,1.0283348668209864,True,6.291051987844956e-14,Ranheim,Bryne,1.7768687758680162,1.0426410773475694,True,1.269975408943496e-13
Start,Kristiansund,1.438003693159458,1.047785909997403,True,4.364973419208998e-13,Start,Kristiansund,1.3779380157871022,1.2763546437308346,True,1.8076346245915521e-10
Skeid,Hodd,1.4557192308686178,1.1718842011915263,True,7.282740516595387e-10,Skeid,Hodd,1.2928476364660775,0.9761504735673789,True,3.4200946757738864e-10
Raufoss,KFUM Oslo,1.3220042041105726,1.4216101528050211,True,3.488059670699652e-11,Raufoss,KFUM Oslo,1.3576564431618878,1.3576514378669202,True,1.9673677768938892e-12
Kongsvinger,Mjondalen,1.6425864542492987,1.0472485833402136,True,1.1046399863302099e-10,Kongsvinger,Mjondalen,1.824022012661898,0.9817536639144362,True,2.718170458437395e-11
Fredrikstad,Moss,1.978974398555123,0.8689275489694882,True,1.033176405013096e-10,Fredrikstad,Moss,1.7872523057086425,0.8713585266583864,True,1.197168735734912e-10
Asane,Jerv,1.223630282848597,1.4088304993647522,True,3.4318551353532443e-10,Asane,Jerv,1.5332017417981885,1.3309708611124504,True,1.482941645896562e-11
Sandnes,Raufoss,1.4634211126037704,1.0088693927389616,True,1.1177410045037624e-10,Sandnes,Raufoss,1.4293093613616352,1.3086269041855463,True,3.8867608385382337e-10
Kristiansund,Kongsvinger,1.3595684878830285,0.9784335912188189,True,2.948493508438446e-12,Kristiansund,Kongsvinger,1.5511117121076456,1.014759759297287,True,3.779391887654043e-11
Jerv,Skeid,1.9352375224247997,1.1814638591431228,True,1.2589580635102468e-12,Jerv,Skeid,1.6238003425336867,1.270265192813007,True,2.6433673006259857e-11
Hodd,Asane,1.5327259599704213,1.1196386020753766,True,1.8874848695257304e-11,Hodd,Asane,1.3794414501440841,0.9968576241930617,True,2.4007628365952385e-12
Bryne,Start,1.43489620066079,1.6282133468385294,True,5.479868449709712e-12,Bryne,Start,1.2981531012643497,1.358571086204991,True,7.2613243257647774e-12
Moss,Sogndal,1.2253619208090525,1.1544711730676203,True,7.257102426757385e-14,Moss,Sogndal,1.278227608201551,1.1974447816619334,True,6.949572674866252e-10
KFUM Oslo,Ranheim,1.7845763900646867,1.104412300635753,True,3.4922206585877924e-14,KFUM Oslo,Ranheim,1.6260891704329332,1.3342687318898707,True,7.933140514779063e-13
Mjondalen,Fredrikstad,1.2850268005190824,1.2402863001758628,True,1.8805873403052056e-10,Mjondalen,Fredrikstad,1.140109153635358,1.3938510292810233,True,3.5578445311724192e-12
Sogndal,Bryne,1.693483973620175,0.869884342882782,True,6.757061357302465e-10,Sogndal,Bryne,1.6507359442020395,1.1861924278336509,True,8.512310038217974e-12
