team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Warta Poznan,Pogon Szczecin,0.9549424718470001,1.1583497002762773,True,4.2932281932260745e-11,Warta Poznan,Pogon Szczecin,0.9501529183668453,1.227951963822473,True,7.859401369544164e-11
Legia,LKS Lodz,2.2020333919113884,0.6224577552100043,True,3.146994310053799e-10,Legia,LKS Lodz,1.9980010591971875,0.7621409601461612,True,1.600222594383393e-10
Rakow,Jagiellonia,2.2998533062444864,0.5732745473521519,True,1.6292470524640894e-09,Rakow,Jagiellonia,2.173304450085469,0.588169796061416,True,3.5884698402092115e-11
Stal Mielec,Cracovia,1.031504488567228,1.0213580811224396,True,1.2802597894846987e-11,Stal Mielec,Cracovia,0.8350704539442608,1.1734528452518054,True,3.587893788801304e-11
Piast Gliwice,Lech Poznan,1.0352783600077105,1.0251163918533823,True,1.2947600354245852e-11,Piast Gliwice,Lech Poznan,0.8309683277572294,0.9729338149296618,True,2.04198339913487e-10
Gornik Zabrze,Radomiak Radom,1.4539425058230895,0.8342491944131138,True,2.2298942154466973e-10,Gornik Zabrze,Radomiak Radom,1.0069372129297243,1.1063801175169954,True,2.5544211118020392e-11
Zaglebie,Ruch Chorzow,1.6281092641020798,0.8560802018569517,True,2.5383196900488335e-10,Zaglebie,Ruch Chorzow,1.3975089602164819,0.95564675411635,True,5.5403467074033004e-12
Widzew Lodz,Puszcza,1.803426695802257,0.7645138348462994,True,1.3599699309334295e-10,Widzew Lodz,Puszcza,1.5797948998368023,0.881933378433215,True,4.82577207732785e-09
Korona Kielce,Slask Wroclaw,1.3193970494689644,1.0559632357944966,True,3.05605228920904e-11,Korona Kielce,Slask Wroclaw,1.3194400998634308,1.0093917625617963,True,6.175150464528932e-10
Ruch Chorzow,LKS Lodz,1.0958799433339967,0.8440512633432663,True,1.2700698800060575e-11,Ruch Chorzow,LKS Lodz,1.1614784167602108,0.8751682218780277,True,6.752222788335002e-12
Warta Poznan,Gornik Zabrze,1.0553590339055299,0.9585579569007989,True,9.505391522901502e-12,Warta Poznan,Gornik Zabrze,1.1346808982290437,0.7945428757355585,True,2.354786964018067e-10
Slask Wroclaw,Zaglebie,1.1167115008631403,1.0021272542285975,True,9.474156702779732e-12,Slask Wroclaw,Zaglebie,1.0368338139046638,1.0144296445545713,True,1.2174079732390593e-11
Jagiellonia,Puszcza,1.4946503157066282,1.0417159194096772,True,2.139227757879779e-10,Jagiellonia,Puszcza,1.432552457788338,1.033807427768241,True,8.817119933721384e-13
Stal Mielec,Piast Gliwice,0.8298940567277068,1.124906543895529,True,1.3407438309980684e-11,Stal Mielec,Piast Gliwice,0.6525174940107104,1.3414156904489318,True,4.4415956251855506e-09
Pogon Szczecin,Widzew Lodz,1.7627474822196816,0.8342957523665726,True,8.080838736724818e-11,Pogon Szczecin,Widzew Lodz,1.8458045597660881,0.9997002004039419,True,1.185790958443372e-10
Lech Poznan,Radomiak Radom,1.6848643195305193,0.7462968722883062,True,1.300881467409586e-13,Lech Poznan,Radomiak Radom,1.5109826934965207,0.7443150877240228,True,1.1920467394503507e-10
LKS Lodz,Korona Kielce,1.1897581216081683,1.1661038997499065,True,1.3305691223203274e-12,LKS Lodz,Korona Kielce,1.3027311121325293,1.0387923438260929,True,1.3877304058550102e-11
Jagiellonia,Widzew Lodz,1.217656019808973,1.21768069182655,True,2.4405962143048277e-11,Jagiellonia,Widzew Lodz,1.3649226285124734,1.0012773782104814,True,1.2620217230549006e-12
Rakow,Warta Poznan,1.9496394539092692,0.5667379997764572,True,4.733578316619822e-09,Rakow,Warta Poznan,1.6907742833513504,0.5801034209140782,True,2.4912212100598024e-11
Radomiak Radom,Cracovia,1.2877235309430626,0.8432351228397398,True,2.9742979152986704e-09,Radomiak Radom,Cracovia,1.2635739767160972,0.8230005125920425,True,6.903652292775766e-10
Gornik Zabrze,Piast Gliwice,1.0927453520610444,1.1038675149497656,True,2.0262469655859643e-11,Gornik Zabrze,Piast Gliwice,0.7760899224796509,1.3588592103378172,True,1.1914396705065637e-09
Legia,Ruch Chorzow,2.171248722967525,0.6705121961459726,True,3.103836626489896e-10,Legia,Ruch Chorzow,2.008229356812785,0.8097073042110441,True,9.984062965883405e-11
Zaglebie,Lech Poznan,1.025632061966071,1.4269776232497373,True,1.2584999248974295e-09,Zaglebie,Lech Poznan,1.021072010717124,1.6143900217679812,True,2.250531259211183e-11
Puszcza,Stal Mielec,1.1900642733981854,1.0628642840507403,True,3.164366436956312e-10,Puszcza,Stal Mielec,1.1538732621724865,0.972675129548584,True,6.971561002028598e-12
Piast Gliwice,Rakow,0.8915434761419977,1.2685610159278484,True,2.010812343891895e-10,Piast Gliwice,Rakow,0.8611438992780954,0.9677434305262473,True,1.4156152544710634e-11
Cracovia,Zaglebie,1.413142725877297,1.0572087131606536,True,4.93027561548053e-14,Cracovia,Zaglebie,1.356975532965685,1.018209143363781,True,7.574266965981973e-13
Widzew Lodz,LKS Lodz,1.5704985220966614,0.9022770702305879,True,1.358338562365479e-12,Widzew Lodz,LKS Lodz,1.3133599060776961,0.9581213539445053,True,2.352768436807981e-09
Stal Mielec,Slask Wroclaw,1.1022234433279772,1.0014842259811791,True,9.79632927798623e-12,Stal Mielec,Slask Wroclaw,0.9325575237979925,1.0982761321280115,True,2.5551739494170206e-11
Korona Kielce,Gornik Zabrze,1.207881044992227,1.117426039148804,True,7.790880576091033e-13,Korona Kielce,Gornik Zabrze,1.3400063647743807,1.0066194926872643,True,2.5226445260137476e-09
Puszcza,Legia,0.8112770107240507,1.660361169119688,True,6.335565274670828e-10,Puszcza,Legia,0.7482285283028881,1.8556483173200213,True,2.6285825490952153e-10
Pogon Szczecin,Radomiak Radom,1.7272327585606757,0.9663244414191244,True,9.18202844675695e-11,Pogon Szczecin,Radomiak Radom,1.4993636450518355,1.0077850571992002,True,6.459843783719898e-11
Warta Poznan,Ruch Chorzow,1.3635815571896568,0.7116065924606277,True,1.0160531488470405e-09,Warta Poznan,Ruch Chorzow,1.4504376350040251,0.7421047232079163,True,7.86407799033739e-14
Zaglebie,Puszcza,2.0018641927624916,0.932190406179574,True,1.6239827473115932e-10,Zaglebie,Puszcza,1.658539633497712,0.8345566080863512,True,6.259787205729748e-11
Gornik Zabrze,Widzew Lodz,1.3481550099671131,0.9947016126168025,True,1.3731416507383592e-12,Gornik Zabrze,Widzew Lodz,1.3540833711990858,0.9548907400239075,True,6.176027102025161e-12
Ruch Chorzow,Jagiellonia,1.1673298623212454,1.1498229375339695,True,2.465030756446583e-10,Ruch Chorzow,Jagiellonia,1.1515679924598683,1.048195607130402,True,4.230007466669628e-09
Rakow,Stal Mielec,2.519905671797742,0.5633074119446827,True,2.800085493565626e-09,Rakow,Stal Mielec,2.253454510201396,0.7215452768879389,True,1.9300856760574692e-10
Radomiak Radom,Warta Poznan,1.3005384436908676,0.8271382463550566,True,1.0727473631705342e-11,Radomiak Radom,Warta Poznan,1.3065718551169685,0.7870275692679389,True,1.3481929696060204e-11
Legia,Korona Kielce,1.9196718530455392,0.816228763731157,True,2.8799685770433808e-12,Legia,Korona Kielce,2.156826578307877,0.711440210043816,True,3.3216322591896267e-10
Slask Wroclaw,Lech Poznan,0.8938795840834456,1.437321939461375,True,9.066687126384051e-10,Slask Wroclaw,Lech Poznan,0.8902449695236829,1.5069760303015567,True,8.925927801676503e-10
LKS Lodz,Pogon Szczecin,0.9923926706318844,1.292602338762481,True,1.0143512922370209e-10,LKS Lodz,Pogon Szczecin,1.2990383177020481,1.6375843667666905,True,3.445784394793877e-11
Cracovia,Piast Gliwice,1.0440683222860003,1.0414002764954446,True,1.4054579880538128e-11,Cracovia,Piast Gliwice,0.8478663150140143,1.0858131546958687,True,9.971358549297318e-12
Stal Mielec,Radomiak Radom,0.9851828903348867,1.3421995042051067,True,1.5361124314802482e-10,Stal Mielec,Radomiak Radom,0.9128718028031835,1.399906553358542,True,6.387393004916621e-10
Widzew Lodz,Slask Wroclaw,1.4339430496363477,1.0747653867621147,True,2.400584370833361e-15,Widzew Lodz,Slask Wroclaw,1.310808431864493,1.0237874875998274,True,1.224065904869019e-10
Warta Poznan,Cracovia,1.227978704872383,1.0592049409383695,True,3.575913663391567e-13,Warta Poznan,Cracovia,1.128797360848945,0.8421759434763936,True,4.842022437520641e-12
Puszcza,LKS Lodz,1.0812963973222265,0.9994598807570614,True,1.0165459391744186e-11,Puszcza,LKS Lodz,1.0769776658484211,1.064024284830268,True,1.5699739990933367e-11
Piast Gliwice,Ruch Chorzow,1.899997517788062,0.8265776560575958,True,1.0822994510169291e-12,Piast Gliwice,Ruch Chorzow,1.6884623009685775,0.562722045582621,True,3.2917077767160975e-10
Korona Kielce,Zaglebie,1.132694199963704,1.0971792147273984,True,5.3307568347454116e-09,Korona Kielce,Zaglebie,1.138087152170995,1.0820200927572108,True,5.059801979248898e-09
Jagiellonia,Gornik Zabrze,1.2828321348690435,0.9983725455249498,True,2.7286034310443597e-11,Jagiellonia,Gornik Zabrze,1.3737103536376591,0.9572481607535761,True,9.363061612342017e-12
Pogon Szczecin,Slask Wroclaw,1.2939823219734563,1.0009738681354194,True,8.667796077878896e-11,Pogon Szczecin,Slask Wroclaw,1.7177664626767493,0.93370894805052,True,1.6467260526273534e-13
Ruch Chorzow,Stal Mielec,1.252530743182893,1.1278749063106943,True,2.1294259299831883e-12,Ruch Chorzow,Stal Mielec,1.351379481762449,0.9043519512582583,True,2.0112558837756067e-11
LKS Lodz,Warta Poznan,1.245051994519775,1.1579695798029117,True,1.1156270764303632e-11,LKS Lodz,Warta Poznan,1.056036719741317,0.9865605804590429,True,1.027991552262108e-11
Radomiak Radom,Piast Gliwice,0.9549166448786784,1.0335380452510796,True,1.5960557311062424e-11,Radomiak Radom,Piast Gliwice,0.9780795687142473,0.9315516562580117,True,9.889069812388444e-12
Lech Poznan,Gornik Zabrze,1.951757765898543,0.8520705174927441,True,8.801234573473014e-12,Lech Poznan,Gornik Zabrze,2.225927900076285,0.6313328684607438,True,3.8755917159873465e-10
