team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Varzim,Braga B,1.172245973492538,0.7004732046611185,True,3.129382972610023e-11,Varzim,Braga B,1.39411475765007,0.7557032699157578,True,7.153803035186082e-11
Oliveira Hospital,Alverca,0.9324292441893463,1.073501936303616,True,2.0921314401876895e-11,Oliveira Hospital,Alverca,0.8795390200320421,1.276255618119855,True,2.4321353885153673e-10
Caldas,Atletico CP,1.3538921374291137,0.8426163706816131,True,1.213719719208195e-11,Caldas,Atletico CP,1.436794190288311,0.8511564841041408,True,6.477919580082601e-11
Academica,1Ã‚Âº Dezembro,1.496069426161908,0.7083943851530947,True,2.387994414806109e-10,Academica,1Ã‚Âº Dezembro,1.3920901950260112,0.7443632789826456,True,6.112383589555754e-11
AD Fafe,SC Vianense,1.568618440341108,0.7613609397568571,True,5.07758289340331e-14,AD Fafe,SC Vianense,1.318559945835427,0.8450687072490457,True,2.150252976746013e-11
Pero Pinheiro,Covilha,0.8299040697555018,1.3956192343202438,True,1.30877196587006e-09,Pero Pinheiro,Covilha,1.0207025770342228,1.4080616496998657,True,4.8684229843910664e-09
Lusitania FC,Felgueiras,1.1855984635467054,0.8931137587211936,True,4.906786977473254e-12,Lusitania FC,Felgueiras,1.3373567080842244,0.8561126934024708,True,2.7595310910289007e-11
Canelas 2010,Anadia,1.2404762586047802,0.8390924287577065,True,8.080074057191839e-10,Canelas 2010,Anadia,1.022727413336412,0.9149448827305485,True,8.932114546311252e-12
Trofense,Sanjoanense,1.5431514805000575,0.6089439015690056,True,3.5793013901408353e-13,Trofense,Sanjoanense,1.6288109245691578,0.6873623801030146,True,1.0287750120286299e-10
Sporting CP B,Amora,1.4087198257189617,0.8584410880701325,True,1.7832715498540625e-10,Sporting CP B,Amora,1.5828148178561465,0.9357987108114838,True,6.155864489325305e-12
Sanjoanense,Canelas 2010,1.3615262325928523,0.7527948788292953,True,1.134644548566123e-09,Sanjoanense,Canelas 2010,0.9992449002071994,1.3666669061693613,True,1.1023217958280326e-10
Braga B,Lusitania FC,1.2590578318588184,0.8393621874376286,True,5.645683879335289e-10,Braga B,Lusitania FC,1.071941704727325,0.997720164619614,True,1.0308594523458402e-11
Anadia,AD Fafe,1.1667026669871527,0.9263471654922162,True,5.858211854024647e-12,Anadia,AD Fafe,1.3137427431071533,0.9317243038547574,True,3.4453768572863923e-12
Alverca,Academica,1.47480160413901,0.7471397501835572,True,1.0505372576332016e-10,Alverca,Academica,1.3230300025236934,0.7619847120103379,True,1.9130978690841998e-11
1Ã‚Âº Dezembro,Caldas,0.9798657191783268,1.0977691309924982,True,2.473715912510257e-11,1Ã‚Âº Dezembro,Caldas,0.8221078274336794,1.1305068308628672,True,1.2237357834056153e-11
Amora,Oliveira Hospital,1.4512588929880381,1.0678671222770462,True,9.238925469953126e-14,Amora,Oliveira Hospital,1.1243040029559057,1.233098228045232,True,8.991755816777697e-10
Atletico CP,Pero Pinheiro,1.5356563508132846,0.7298859235344902,True,2.9820630238111763e-13,Atletico CP,Pero Pinheiro,1.5975818340571384,0.5723198780221713,True,1.0394815773098542e-09
Felgueiras,Trofense,1.4821457428185116,0.9692174071600905,True,5.2260708925238304e-12,Felgueiras,Trofense,1.7738190702655734,0.8591620113710496,True,6.514579515717264e-11
SC Vianense,Varzim,0.9362357001378504,1.2777410632563537,True,1.5955090568797762e-10,SC Vianense,Varzim,0.8250141257868482,1.102873466651192,True,3.560624789799039e-09
Covilha,Sporting CP B,1.3244512058812534,0.8184435203932277,True,2.8044658279730212e-11,Covilha,Sporting CP B,1.265226564377139,0.8218884786209281,True,7.622999875643001e-10
Covilha,Atletico CP,1.7409988470484037,0.7382900665348054,True,1.8703626454609007e-09,Covilha,Atletico CP,1.5420184500148904,0.8007761964940888,True,1.4721876437354697e-11
Lusitania FC,SC Vianense,1.3927412849750476,0.9425183732380488,True,6.044347731403199e-12,Lusitania FC,SC Vianense,1.6114604614396877,0.9294660614374249,True,1.6394065215922769e-10
Pero Pinheiro,1Ã‚Âº Dezembro,0.9452786240189563,1.234779888766998,True,8.336633217205458e-11,Pero Pinheiro,1Ã‚Âº Dezembro,0.8723660431868431,1.1575725085996096,True,3.649426221245205e-11
Caldas,Alverca,1.382208217948564,0.9805480524719251,True,5.306721179574677e-12,Caldas,Alverca,1.1873660422266978,0.9787640021004836,True,1.847106299307294e-09
Canelas 2010,Felgueiras,1.2874362160358601,0.899584141829323,True,1.911923525961696e-09,Canelas 2010,Felgueiras,1.2510352051025824,1.2754678243209159,True,1.7150582102676322e-10
Anadia,Sanjoanense,1.3942194268606662,0.8418564584244461,True,1.525846777220068e-10,Anadia,Sanjoanense,1.6547403323879288,0.884530160854203,True,6.200294312934992e-15
AD Fafe,Varzim,0.939707762694805,1.1281130568101727,True,3.297225141568205e-11,AD Fafe,Varzim,0.8911698009574732,0.9770657906096478,True,2.16190524676826e-09
Braga B,Trofense,0.9887905070971668,1.040012503479747,True,1.5873238554547076e-11,Braga B,Trofense,1.3663879319252878,0.8180928632161855,True,1.10272404682233e-09
Sporting CP B,Oliveira Hospital,1.6526751931645625,0.8578752040278184,True,2.625568504113268e-10,Sporting CP B,Oliveira Hospital,1.484155245889493,0.8916549882705194,True,2.222445737119967e-11
Academica,Amora,1.3197150142365424,0.8916568136673775,True,1.0461662558540548e-11,Academica,Amora,1.387562933392175,0.771248437987119,True,1.0710325182706741e-10
Varzim,Lusitania FC,1.4742786423709129,1.0226063607294185,True,1.5534383272373743e-10,Varzim,Lusitania FC,1.0731949080006122,0.9459888969318192,True,8.871987989126843e-12
SC Vianense,Trofense,1.2270780809256578,0.85925734458002,True,1.2652556186172429e-09,SC Vianense,Trofense,1.2985534283979259,1.091253562528305,True,5.736455459672442e-14
Atletico CP,Sporting CP B,1.2074450561135472,0.9031906695848083,True,1.809793872466662e-09,Atletico CP,Sporting CP B,1.305551240023253,0.8752780374600128,True,7.763410345394404e-12
Alverca,Pero Pinheiro,1.6817540357527503,0.5880617978631167,True,3.055757861511021e-11,Alverca,Pero Pinheiro,1.8156846815197691,0.5432994473710988,True,4.531871342760707e-11
Sanjoanense,AD Fafe,0.9611602112649885,1.1115766278598462,True,2.839648214178462e-11,Sanjoanense,AD Fafe,0.8453086340706706,1.2551094652368604,True,2.0139896858059584e-10
Felgueiras,Anadia,1.6734220209561885,0.6343272877450619,True,3.512877542603843e-10,Felgueiras,Anadia,2.0426078758816737,0.5799197492063994,True,1.7998879167067563e-09
Braga B,Canelas 2010,1.3989639729733625,0.9493379400189392,True,7.223640361270926e-11,Braga B,Canelas 2010,1.8789692850083184,1.0859373405333144,True,4.1171164436498394e-10
Oliveira Hospital,Academica,1.2095198768259325,0.8645210366810994,True,2.7751303914081873e-09,Oliveira Hospital,Academica,1.1952446199698707,1.0760741011626551,True,1.0534282241555977e-10
Amora,Caldas,1.0111656871238615,1.1767743395664698,True,4.706209321212887e-11,Amora,Caldas,0.8041941541183371,1.5568884438791237,True,8.616842653643917e-10
