team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Torpedo Moscow,Dynamo Makhachkala,1.3363973167372751,1.0394189912856004,True,5.170955396593972e-10,Torpedo Moscow,Dynamo Makhachkala,1.3158509091812964,0.9763260582212748,True,1.6681031344101115e-09
Akron Togliatti,Kamaz,1.433594916093314,0.7720889798097671,True,8.329178152636002e-11,Akron Togliatti,Kamaz,1.7371417718788427,0.9248564482210051,True,8.708163484286646e-14
Arsenal Tula,Leningradets,1.278331688094849,0.9954912433591857,True,1.7317991170319537e-11,Arsenal Tula,Leningradets,1.2132453985370983,1.0060109074421848,True,1.033199029053323e-10
SKA Khabarovsk,Shinnik Yaroslavl,1.5122649102922954,0.8786897681877817,True,2.377313805245548e-12,SKA Khabarovsk,Shinnik Yaroslavl,1.7022124136879528,0.6898073689153783,True,6.351244795502846e-10
Neftekhimik,Volgar-Astrakhan,1.2945157661711268,0.8623133096545954,True,3.888036617071336e-09,Neftekhimik,Volgar-Astrakhan,1.3300569924002263,0.8337148588021775,True,2.8885305594925367e-11
Kuban,Yenisey,1.0552134071210812,1.0551992721249988,True,1.5212295556261082e-11,Kuban,Yenisey,1.150654337022947,1.0831856524823311,True,3.1604709695583355e-09
Rodina Moscow,Saratov,1.9744887341492583,0.6832270206279412,True,7.099129333247177e-09,Rodina Moscow,Saratov,1.7673857080467181,0.6806537689010608,True,1.0830439904629163e-11
Tyumen,Khimki,1.1150328512282848,1.4424586797748782,True,1.2523387139172209e-11,Tyumen,Khimki,1.1054855165253408,1.2886507073256355,True,5.169057567686926e-10
Chernomorets Novorossijsk,Alania Vladikavkaz,0.8595523552084092,1.5775848894831082,True,3.9122573017459834e-10,Chernomorets Novorossijsk,Alania Vladikavkaz,1.0466739404673464,1.5157629208624575,True,9.38371654674605e-11
Yenisey,Leningradets,1.5965894205893931,1.0553243964882038,True,8.529932608146185e-12,Yenisey,Leningradets,1.5767181533139163,1.0338560855098378,True,2.001527596214171e-11
SKA Khabarovsk,Tyumen,1.662271750136653,1.1124064243383187,True,9.989001030167192e-13,SKA Khabarovsk,Tyumen,1.5426195929319877,1.1374981077090034,True,4.644302631451709e-12
Saratov,Shinnik Yaroslavl,1.1427411063671047,1.1106735147679738,True,3.2638143160501865e-09,Saratov,Shinnik Yaroslavl,0.971054889627122,0.9885079569740455,True,1.2547402824192154e-11
Kamaz,Kuban,1.1759100847699828,0.9068702145402373,True,5.411927909220881e-12,Kamaz,Kuban,1.153088679493181,0.8998077493736811,True,6.825818379834633e-12
Volgar-Astrakhan,Akron Togliatti,0.9741327286171075,1.1136557806858862,True,2.8538574245365512e-11,Volgar-Astrakhan,Akron Togliatti,0.8439050438720931,0.9346921834142728,True,1.7624180992139864e-10
Chernomorets Novorossijsk,Rodina Moscow,1.0894801209101563,1.2418439431209511,True,1.891544022408223e-11,Chernomorets Novorossijsk,Rodina Moscow,0.8841404359604024,1.193745323298694,True,5.4218675175862126e-11
Arsenal Tula,Dynamo Makhachkala,1.0149977326849262,0.9044607795276286,True,8.726455693002824e-12,Arsenal Tula,Dynamo Makhachkala,0.8602149003790214,1.1034188646112555,True,1.716519313683333e-11
Khimki,Torpedo Moscow,1.3502055991251034,0.9955989314603473,True,1.3416870893241286e-12,Khimki,Torpedo Moscow,1.1575346956090848,1.247354533602397,True,5.9083561765428694e-12
Alania Vladikavkaz,Neftekhimik,1.7607727418679822,0.7834381329277301,True,3.2016161894890675e-10,Alania Vladikavkaz,Neftekhimik,1.5939414904857307,0.8755926367976415,True,3.1168979294045475e-10
Akron Togliatti,Arsenal Tula,1.613112893474817,0.7243325188743348,True,5.1481304675746226e-14,Akron Togliatti,Arsenal Tula,1.295671631638042,0.5094422475443354,True,8.910094825998948e-10
Saratov,SKA Khabarovsk,1.0390099447875225,1.2228637472590898,True,5.4709879452522155e-11,Saratov,SKA Khabarovsk,0.9687346302780323,1.191444972020189,True,5.7009227594006655e-11
Leningradets,Rodina Moscow,0.9403759016836549,1.2246699412565334,True,7.672359725603684e-11,Leningradets,Rodina Moscow,0.8673506141974551,1.0802326640353317,True,1.380919584917282e-11
Neftekhimik,Khimki,1.1325964137763207,1.0121906340255868,True,9.398001725754723e-12,Neftekhimik,Khimki,1.0722107437704322,1.1078998508325684,True,2.2691964478246088e-11
Dynamo Makhachkala,Kuban,1.4562441135541713,0.8191664221542181,True,4.3945636986901985e-11,Dynamo Makhachkala,Kuban,1.350143933823064,0.7447318893200074,True,5.386974719900936e-12
Torpedo Moscow,Chernomorets Novorossijsk,1.7240689281262933,0.9752159930032622,True,2.425557296901066e-11,Torpedo Moscow,Chernomorets Novorossijsk,1.6530456566025498,0.9232358360604108,True,1.3814458717724006e-11
Shinnik Yaroslavl,Volgar-Astrakhan,1.310952485375254,0.9068899584014067,True,5.226106584058267e-12,Shinnik Yaroslavl,Volgar-Astrakhan,1.1310391017368502,1.0781134427818613,True,1.2792537619260017e-11
Tyumen,Yenisey,1.2185886875979903,1.0548581481873334,True,1.185358674120284e-12,Tyumen,Yenisey,1.0118566682050343,0.9615593085950059,True,1.0711779347997913e-11
Alania Vladikavkaz,Kamaz,1.8789455590314197,0.698480710466403,True,8.839811634649329e-11,Alania Vladikavkaz,Kamaz,1.974307133446006,0.7131960213272301,True,7.074853150143817e-11
Torpedo Moscow,Saratov,1.7318603372002321,0.6434542210267046,True,1.7166655868686072e-12,Torpedo Moscow,Saratov,1.8417675527123973,0.5872098028667327,True,4.3009930857249255e-11
Shinnik Yaroslavl,Khimki,1.1113229117599843,1.3399689046402683,True,2.8952101986210265e-11,Shinnik Yaroslavl,Khimki,1.0677906630232787,1.370108890316617,True,2.1374005143228905e-10
Tyumen,Leningradets,1.1986161487363878,0.9156352616330382,True,2.3619061593210436e-09,Tyumen,Leningradets,1.2656762830525947,0.9531675122765495,True,9.493529617493662e-11
