team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Arbroath,Dundee Utd,0.9685533803896745,1.5644031414912214,True,1.1740770635633084e-10,Arbroath,Dundee Utd,0.8479761088058412,1.2487819235521602,True,1.7928042134148402e-10
Dunfermline,Airdrieonians,1.7317266351424094,0.8495421247027928,True,3.067093138599998e-10,Dunfermline,Airdrieonians,1.4091070182428962,1.0013441706743824,True,3.1520920196112476e-12
Partick Thistle,Raith,1.80244787650905,0.7724899513616205,True,1.8201432170935834e-09,Partick Thistle,Raith,1.6263081881756567,0.8712993074660811,True,5.902683020441805e-10
Morton,Ayr,1.15310492675583,0.9400618092983292,True,6.61150169546924e-12,Morton,Ayr,1.1495509345647703,1.0756893942939372,True,3.5662983169909754e-09
Inverness,Queen's Park,1.337606087164726,1.0685080092335757,True,7.646776605183243e-11,Inverness,Queen's Park,1.3712954530300507,1.1646602061242766,True,3.254205328123888e-13
Airdrieonians,Partick Thistle,1.1619662327000422,1.4160442165407205,True,2.010683773729632e-11,Airdrieonians,Partick Thistle,1.1385224086820827,1.5583520540056075,True,8.141174192322844e-12
Raith,Morton,1.0843371461015494,1.1270399752509717,True,2.462487202558551e-11,Raith,Morton,1.2248915743234603,1.0766604746732367,True,6.313087913804663e-13
Dundee Utd,Dunfermline,1.8938940698442368,0.6420591746134532,True,9.431005709836599e-10,Dundee Utd,Dunfermline,1.632322310052285,0.9167508731580726,True,1.0721736432320972e-10
Queen's Park,Arbroath,1.6098876259021486,0.8550911808592746,True,2.826584308630535e-10,Queen's Park,Arbroath,1.5885936065991406,0.7856902950921417,True,1.246709036861163e-14
Ayr,Inverness,1.3650750799794906,0.9084831906347067,True,1.6481790686277908e-11,Ayr,Inverness,1.4338887791276413,0.9631055676595829,True,1.4017143613629708e-10
Arbroath,Queen's Park,1.0422634630994703,1.2275254833239646,True,5.381743721956754e-11,Arbroath,Queen's Park,1.0385198605997337,1.3669562168514033,True,1.3529652839383863e-11
Partick Thistle,Queen's Park,1.820588104265731,1.1108119860761818,True,7.893671196546656e-14,Partick Thistle,Queen's Park,1.57781582876771,1.2012333075628545,True,1.0850965034820712e-11
Morton,Arbroath,1.805584419396366,0.6280494398726474,True,2.1800217317151627e-10,Morton,Arbroath,1.4778512892681517,0.655003732720824,True,2.6606139751623725e-11
Dunfermline,Raith,1.3792206463140941,0.9496591097920395,True,1.0593502605243871e-11,Dunfermline,Raith,1.1756950912502409,1.0713999824760136,True,9.300738270318558e-10
Ayr,Dundee Utd,1.177240435284044,0.9070510651510142,True,5.3159092085159606e-12,Ayr,Dundee Utd,0.997668518109038,1.3028907604946272,True,9.857575137387657e-11
Airdrieonians,Inverness,1.377984937057291,1.0104618654186452,True,1.0857796214044172e-12,Airdrieonians,Inverness,1.4461815777468983,1.071997018214292,True,3.990722089986911e-14
Arbroath,Ayr,0.9798597323221816,1.1664867796971932,True,4.536508968700293e-11,Arbroath,Ayr,0.9813350843585578,0.9764617751642033,True,1.188683238823807e-11
Inverness,Dunfermline,1.33611852820837,0.9954877775446092,True,2.848754024391763e-09,Inverness,Dunfermline,1.170163450878335,1.0301572822746372,True,2.360178456512121e-09
Morton,Partick Thistle,1.1432837434851024,1.2093943193560548,True,3.547059699494575e-10,Morton,Partick Thistle,1.290498730057086,1.389706327603526,True,7.610558491353988e-11
Raith,Queen's Park,1.0992052590604175,1.3208541976348156,True,1.1733186436450889e-10,Raith,Queen's Park,1.4770344941517728,1.1062798468403154,True,1.1025548006844707e-12
Dundee Utd,Airdrieonians,1.7152004599120707,0.8739205312619278,True,9.380494119211234e-10,Dundee Utd,Airdrieonians,1.895338442098531,0.8471451333859714,True,4.927054978806176e-10
Ayr,Partick Thistle,1.0897353945308663,1.171425019900861,True,2.7563302061134014e-11,Ayr,Partick Thistle,1.2097653122000385,1.6129274416038977,True,2.640656493436956e-10
Raith,Inverness,1.747278928136086,0.8353464429711992,True,2.838441119949765e-11,Raith,Inverness,1.5817160638520493,0.9131345252720497,True,1.3428705970192492e-11
Queen's Park,Dunfermline,1.341796564462664,1.082794161369386,True,3.303134805050536e-11,Queen's Park,Dunfermline,1.2006822076138157,1.1890522679438889,True,6.57636119361108e-13
Dundee Utd,Morton,1.7807824908286896,0.8201237886936017,True,6.914926149382372e-10,Dundee Utd,Morton,1.8263860295239913,0.8033243772334797,True,1.3056181056574324e-09
Arbroath,Airdrieonians,1.3343492950005273,1.0835508396361178,True,8.620370385304198e-12,Arbroath,Airdrieonians,1.2497115706120585,1.268032369483167,True,2.515863394481514e-10
Queen's Park,Ayr,1.533804832622551,1.066558740035791,True,2.517796871735213e-10,Queen's Park,Ayr,1.4660055257881721,1.0286264414390656,True,1.2901164457340594e-10
Partick Thistle,Arbroath,1.65428819880611,0.8997616212102423,True,7.485926309266514e-15,Partick Thistle,Arbroath,1.8047423293680223,0.8907087317091307,True,2.6495890955467846e-10
Inverness,Dundee Utd,1.0659580042899146,1.4300881755918686,True,8.626630596911409e-11,Inverness,Dundee Utd,0.8557519632574424,1.5858654271790318,True,3.182702649191587e-10
Dunfermline,Morton,1.4701624485703195,1.0051015364194036,True,9.36597465499753e-11,Dunfermline,Morton,1.2588181499473772,0.8920972824823509,True,3.840975333834463e-10
Airdrieonians,Raith,1.2177723787791284,1.1276688409256352,True,8.202209034821585e-13,Airdrieonians,Raith,1.1721967878688357,1.2457304691748994,True,5.0862581167516945e-12
Morton,Airdrieonians,1.5003104487254797,0.9434074514964478,True,5.009846171993683e-12,Morton,Airdrieonians,1.3868659153558818,1.1753289606514838,True,3.046307303216873e-12
Dundee Utd,Queen's Park,1.8592389385388988,0.8737821510057924,True,2.3005516662247144e-11,Dundee Utd,Queen's Park,2.007901788908552,0.8396151552667581,True,4.534658523915225e-11
Partick Thistle,Dunfermline,1.5843795318292482,1.1096920545406377,True,1.2287117263150376e-10,Partick Thistle,Dunfermline,1.398720003745311,1.2774817278579487,True,1.5907009689022675e-10
Arbroath,Inverness,1.147610529405259,1.1387883916114376,True,1.7319204942313002e-09,Arbroath,Inverness,1.3456420229123203,1.0995977377295993,True,3.713759404964997e-12
Ayr,Raith,1.4293703627164411,1.3165294453977567,True,5.742568566295989e-10,Ayr,Raith,1.110050217041297,1.2685112508327137,True,8.316977690738569e-10
Airdrieonians,Ayr,1.1800831727505965,1.1087822869113644,True,2.3827863492094883e-10,Airdrieonians,Ayr,1.344914570797175,1.0137218729408508,True,2.6212645081082753e-09
Raith,Dundee Utd,1.297564633066928,1.2877869799111097,True,4.845996356919112e-11,Raith,Dundee Utd,0.9748898471798337,1.242238217068925,True,8.461467764819907e-11
Inverness,Partick Thistle,1.0709286251973746,1.3467954250811331,True,8.27752586379083e-10,Inverness,Partick Thistle,1.1987283154647537,1.2858438180815537,True,3.028172575988521e-10
Queen's Park,Morton,1.421547250854601,1.037967144992358,True,6.902920256277705e-13,Queen's Park,Morton,1.4141410502931977,1.2553712184651997,True,3.958878247237462e-10
Airdrieonians,Queen's Park,1.487397563733091,0.9725493142171171,True,1.4883104920927553e-11,Airdrieonians,Queen's Park,1.5639990245890467,1.1745478703490453,True,5.158919957858471e-12
Partick Thistle,Dundee Utd,1.2965552663117423,1.3163021557013919,True,3.971433117625853e-11,Partick Thistle,Dundee Utd,1.2057465372702643,1.3855013146167734,True,7.896953904978379e-17
Dunfermline,Ayr,1.5722039180872205,0.9260846131017143,True,2.9153369714302227e-12,Dunfermline,Ayr,1.4575015455372466,0.9164118701835957,True,5.805509530674305e-11
Queen's Park,Partick Thistle,1.1014538006558274,1.286751577940738,True,8.425219695840576e-10,Queen's Park,Partick Thistle,1.3444478276741851,1.467460620790103,True,2.0994796225062343e-12
Dundee Utd,Arbroath,1.8988786804042248,0.7487858272207315,True,2.964148874554417e-13,Dundee Utd,Arbroath,1.983472871839101,0.6160013799781743,True,3.723968079190532e-11
Raith,Dunfermline,1.537400840965254,0.8904425678711534,True,7.387511548096179e-09,Raith,Dunfermline,1.3652945666684213,1.0181803046196378,True,6.51632050984463e-13
Inverness,Airdrieonians,1.1612795840137546,1.090993647458148,True,1.699729388845916e-09,Inverness,Airdrieonians,1.3933452915512634,1.0771738753144138,True,1.476997706172168e-14
