team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Falkirk,Annan,2.1360672240238707,0.875937170627449,True,4.1357149106813084e-13,Falkirk,Annan,2.2689240362295573,0.8004754832801514,True,3.522054430347382e-10
Stirling,Edinburgh City,1.8568471953034165,0.8961808594982171,True,8.349483312367598e-11,Stirling,Edinburgh City,1.7235879096202056,1.0305371222317763,True,5.447831420694459e-14
Queen of South,Alloa,1.5870579136188283,0.9895358983799892,True,7.478909708038189e-10,Queen of South,Alloa,1.5207165781618859,1.0118976865948652,True,5.981508533764133e-11
Montrose,Kelty Hearts,1.4532570467182895,0.9875745404460703,True,4.3614596778814395e-11,Montrose,Kelty Hearts,1.632468755669613,1.2158142906645457,True,1.8263869448434576e-11
Hamilton,Cove Rangers,1.6624433543665365,1.0170219523490347,True,2.3418615738230765e-10,Hamilton,Cove Rangers,1.6306682164436392,1.0604067809515796,True,2.4194385323624575e-09
Alloa,Stirling,1.333118067649238,1.188636449318588,True,3.1295438129967767e-10,Alloa,Stirling,1.3065869112362796,1.1863936997038322,True,1.8206944318770059e-10
Kelty Hearts,Hamilton,1.0481923952901722,1.496372047230493,True,1.2870804667638768e-12,Kelty Hearts,Hamilton,1.1912382031664206,1.299069039308402,True,3.062611290917512e-10
Cove Rangers,Falkirk,1.008485198614506,1.472618510651459,True,6.45918670763428e-10,Cove Rangers,Falkirk,1.0024584018467808,1.6099493869227275,True,2.5420232770844756e-11
Annan,Montrose,1.343825693110563,1.1048303585978123,True,1.197243896012724e-13,Annan,Montrose,1.2097432763123563,1.358102240233495,True,1.5376474310290473e-14
Edinburgh City,Queen of South,1.114028203516986,1.4248328743053122,True,1.770080086882914e-10,Edinburgh City,Queen of South,1.1354230555124258,1.6472559332291625,True,1.846674145766002e-10
Queen of South,Annan,1.709273434015984,0.998777530114618,True,6.934895662277251e-13,Queen of South,Annan,2.001218952804004,0.8822694315456395,True,9.201585892781123e-10
Montrose,Cove Rangers,1.1744183136366553,1.2492786300889769,True,2.5707516123915212e-12,Montrose,Cove Rangers,1.347129777098811,1.229713736433159,True,2.0375258446157067e-10
Kelty Hearts,Alloa,1.1496152103596748,1.1495823477127183,True,1.2429819200806334e-09,Kelty Hearts,Alloa,1.2217412962900682,1.1622122398958723,True,6.86751885997289e-14
Edinburgh City,Hamilton,1.072458787638635,1.688997374208609,True,8.839876798567656e-12,Edinburgh City,Hamilton,0.9261288890994778,1.9370983639857402,True,1.0268441783100069e-10
Falkirk,Stirling,1.8931812060213,0.9002591345456395,True,3.256080058638177e-10,Falkirk,Stirling,1.7304773915901672,0.8636111563499255,True,6.239847459219385e-10
Alloa,Falkirk,1.0744983022206906,1.5035249763370246,True,8.887394318714472e-11,Alloa,Falkirk,0.7372746935667663,1.6755268099087843,True,2.7795900582037934e-12
Annan,Edinburgh City,1.4418196421528287,1.1210129498446304,True,2.888395377434447e-14,Annan,Edinburgh City,1.525818081799696,1.090196584423571,True,1.3567992738817816e-10
Hamilton,Montrose,2.004453216605822,0.9634398198517614,True,3.156885492913101e-10,Hamilton,Montrose,2.1916980368424204,0.7655762490499183,True,1.5329509038327182e-11
Cove Rangers,Queen of South,1.639390376454826,1.1416237498797248,True,4.7873420789997075e-12,Cove Rangers,Queen of South,1.522075848394667,1.31058593580098,True,1.8046980182816773e-13
Stirling,Kelty Hearts,1.7020319253781062,1.0052627800450329,True,1.0914376484473728e-14,Stirling,Kelty Hearts,1.5334155073044136,1.2091512321509272,True,2.729370046316501e-10
Alloa,Cove Rangers,1.2206157975370475,1.2636595045704584,True,3.626101485052045e-12,Alloa,Cove Rangers,1.1496562129389065,1.2603181999391775,True,4.987525787033692e-12
Kelty Hearts,Annan,1.9499858870769327,0.8620209677031703,True,1.4173498400723059e-10,Kelty Hearts,Annan,2.029253406002037,1.3586390794046637,True,1.2287437008509923e-11
Queen of South,Montrose,1.8698693577872807,1.066682042224255,True,2.6258710417735573e-15,Queen of South,Montrose,1.889604645186166,0.9342287205261035,True,4.383891740929633e-10
Stirling,Hamilton,1.0416463716677553,1.5130993871060183,True,2.855961670049449e-11,Stirling,Hamilton,0.9547207713056272,1.5551536128790853,True,1.401094778441752e-10
Edinburgh City,Falkirk,0.8730067670463156,1.9381624762817053,True,2.3047934999504874e-10,Edinburgh City,Falkirk,0.5800230380157539,2.5197015087709733,True,3.0630632861991854e-11
Montrose,Edinburgh City,1.8830114923722774,0.9275711440039165,True,3.601189288236048e-10,Montrose,Edinburgh City,1.8412438170009089,0.8592277954897395,True,1.529674030357267e-10
Hamilton,Alloa,1.924023119916516,0.8766431073643741,True,2.1346516409942906e-10,Hamilton,Alloa,1.981694857426727,0.8034220868109789,True,2.0361439114815624e-11
Cove Rangers,Kelty Hearts,1.535624361475922,1.0661209523601647,True,2.482481525310509e-10,Cove Rangers,Kelty Hearts,1.64733819907733,1.0511490759820759,True,1.0743855170854849e-10
Annan,Stirling,1.2172803187794603,1.2470302729332334,True,1.9835364455276053e-10,Annan,Stirling,1.158529555346878,1.4223845298123667,True,2.2335160910706876e-11
Falkirk,Queen of South,1.7613273017742113,1.051140722097052,True,1.2458967755656162e-13,Falkirk,Queen of South,2.0487274745201765,0.991634272957923,True,5.53096304397121e-13
Queen of South,Hamilton,1.1919515206438693,1.2575706126213848,True,2.9402810962864497e-12,Queen of South,Hamilton,1.1502259363024474,1.474515401133203,True,1.4242876747262987e-13
Montrose,Stirling,1.4583234490662433,1.1176821794570846,True,6.526077035826206e-14,Montrose,Stirling,1.4047794532991522,0.9918716754515488,True,4.059960130474202e-12
Kelty Hearts,Falkirk,1.0426271580254942,1.7262766566369288,True,2.7601856215180298e-11,Kelty Hearts,Falkirk,0.8251512640692461,1.9359785753003906,True,5.8139099345878855e-11
Edinburgh City,Cove Rangers,1.0902506973016228,1.5810146987848437,True,3.2573758322601453e-12,Edinburgh City,Cove Rangers,1.1078485486748402,2.0632180588165303,True,2.107622652530207e-12
Annan,Alloa,1.2142479315279502,1.2565880062225199,True,2.5385948907053364e-10,Annan,Alloa,1.3465734624165853,1.297881827854978,True,2.74379596650247e-10
Hamilton,Annan,2.2347073124320405,0.8580723984275831,True,3.400343257641915e-10,Hamilton,Annan,2.4816234916828903,0.8152923272149953,True,7.841148949206579e-10
Falkirk,Montrose,2.199498721310745,0.8940742904608648,True,1.6141174363866548e-09,Falkirk,Montrose,2.3072615292540135,0.662745344233439,True,5.8681337926664115e-12
Alloa,Edinburgh City,1.8563781293122252,1.038143084610666,True,5.37953411131753e-16,Alloa,Edinburgh City,1.9402436063781892,1.0021232739253363,True,2.694755447800616e-10
Kelty Hearts,Queen of South,1.2735900540308935,1.2367651744667996,True,1.1751006167284563e-10,Kelty Hearts,Queen of South,1.407714975407677,1.4421550704746287,True,1.897432510039628e-11
Stirling,Cove Rangers,1.3086528894926734,1.1732196052081532,True,1.7189901149112887e-10,Stirling,Cove Rangers,1.122048942162417,1.2428628812480618,True,7.730862324819817e-10
Montrose,Alloa,1.5476861087952378,1.1020697920763682,True,1.518789396572322e-10,Montrose,Alloa,1.5206648344849976,1.0739629810534548,True,2.1603506988057316e-10
Falkirk,Hamilton,1.5703429868935384,1.1142854202706307,True,1.3293845789562124e-10,Falkirk,Hamilton,1.3233794677218393,0.9126272554380946,True,7.315318120391634e-12
Edinburgh City,Kelty Hearts,1.1461064026611765,1.501145287489042,True,4.689060653831242e-16,Edinburgh City,Kelty Hearts,1.2236358002149534,1.827821938986888,True,1.532105365241366e-11
Cove Rangers,Annan,1.8368314602227573,1.0357780239823178,True,3.02973517691896e-10,Cove Rangers,Annan,2.0095861792776573,1.0415988588151825,True,1.4845278260619315e-09
Queen of South,Stirling,1.5555808187922553,1.1108026609806663,True,1.23862001876799e-10,Queen of South,Stirling,1.4824995522677487,1.1233845972685326,True,5.3503294283360073e-14
Alloa,Kelty Hearts,1.4336860071605912,1.3131134705346281,True,5.114103810424201e-10,Alloa,Kelty Hearts,1.3792962306283783,1.3927841237293326,True,1.5392152967889673e-11
