team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Ulsan Hyundai,Jeonbuk,1.273000062931445,0.8685914451801215,True,1.2300289824933134e-09,Ulsan Hyundai,Jeonbuk,1.1546866943261482,0.9778589765517851,True,7.023388164708068e-12
Suwon Bluewings,Gwangju FC,1.1268504127157606,0.833607126548856,True,9.567514135108407e-12,Suwon Bluewings,Gwangju FC,1.067973040089954,0.9254058893233809,True,8.48120401591295e-12
Seoul,Incheon,1.197187974722778,0.9025020459865049,True,2.9329457443552105e-09,Seoul,Incheon,1.0859228105448697,0.8746292765967382,True,6.135315230147209e-12
Daejeon,Gangwon,1.0142527403476602,1.0444721514480797,True,1.5382123011275577e-11,Daejeon,Gangwon,1.1035287769206779,0.9337454795068298,True,8.174434789975142e-12
Pohang,Daegu,1.4589855534368092,0.8894637550389959,True,3.460025267934612e-11,Pohang,Daegu,1.2762487665993636,0.9932364086769061,True,1.492025265739525e-11
Jeju Utd,Suwon FC,1.47289856144346,0.7466624881877784,True,8.624950578629665e-11,Jeju Utd,Suwon FC,1.5740822340451428,0.8203542336430143,True,3.5279695702030375e-11
Suwon FC,Pohang,1.0920787476404623,1.3319455081732978,True,1.4232768615675632e-10,Suwon FC,Pohang,1.0279789959498236,1.3421701571342248,True,4.232015114262784e-11
Incheon,Daejeon,1.139266206027818,1.0038190039402102,True,8.686319082109955e-12,Incheon,Daejeon,1.1399970299564075,0.9449377251656157,True,7.210477706449069e-12
Daegu,Jeju Utd,1.1681182654117215,1.236195315081575,True,7.781969061914788e-12,Daegu,Jeju Utd,1.1034279923494648,1.22199438850573,True,1.414641133561552e-11
Jeonbuk,Suwon Bluewings,1.3713575494244639,0.8816773203087133,True,6.943176680173229e-12,Jeonbuk,Suwon Bluewings,1.6728893036772488,0.6750884813480744,True,1.606977119242114e-11
Gwangju FC,Seoul,1.117942852983647,1.1288560333597901,True,6.491708045387718e-09,Gwangju FC,Seoul,1.109516025261983,1.0603558768692871,True,1.3969444820974561e-11
Gangwon,Ulsan Hyundai,0.8559106175231089,1.3240180423021182,True,5.300523293883966e-10,Gangwon,Ulsan Hyundai,0.8349933372861744,1.4230872781072124,True,1.4684955007858986e-09
Suwon FC,Suwon Bluewings,1.021885652431367,1.057038264996542,True,1.6507170981982925e-11,Suwon FC,Suwon Bluewings,0.863667363236006,1.268287573182006,True,2.3484567633250043e-10
Gangwon,Daegu,1.1267890511409215,0.9827273239589104,True,8.394666979571665e-12,Gangwon,Daegu,1.116719151114086,0.9911765019486423,True,8.987894761959887e-12
Daejeon,Pohang,1.0244084620018488,1.4249739703957445,True,1.6876131862222275e-09,Daejeon,Pohang,1.0132095487971566,1.423143926121566,True,5.742095834166299e-09
Incheon,Jeju Utd,0.9956951970966806,1.0836062849932229,True,2.1436500559939234e-11,Incheon,Jeju Utd,1.096175557546449,1.0034578569505497,True,1.0029393488728488e-11
Seoul,Ulsan Hyundai,0.9506933705434889,1.3147307357101508,True,2.1138497814170195e-10,Seoul,Ulsan Hyundai,1.0083987963518513,1.1768917908591012,True,4.740958183364916e-11
Jeonbuk,Gwangju FC,1.6537774652551782,0.7328526608448925,True,2.6119566635869336e-13,Jeonbuk,Gwangju FC,1.503533066694818,0.7309547860817653,True,1.373110536286099e-10
Pohang,Gangwon,1.4028455548523733,0.899675389357221,True,8.381415333020584e-11,Pohang,Gangwon,1.3464952291773422,0.7333539314748596,True,9.436336409772462e-12
