team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Amorebieta,Levante,0.8156435623876971,1.388744925603871,True,1.3884404211576412e-09,Amorebieta,Levante,0.9048084617617438,1.0569187763371883,True,1.6320785920886753e-11
Valladolid,Gijon,1.5118474899260061,0.7748850148198294,True,2.736667002829334e-12,Valladolid,Gijon,1.328527254180646,0.7459757791195893,True,1.6211987903598028e-11
Zaragoza,Villarreal B,1.3378419671284603,0.7507014013923752,True,1.5406977963286776e-11,Zaragoza,Villarreal B,1.2409977731477866,0.6601671741222488,True,1.622372775514621e-10
Elche,Ferrol,1.5584393500782439,0.783388488858506,True,1.0966825139075887e-13,Elche,Ferrol,1.4910133039851041,0.6681859106219546,True,4.7370077638961035e-14
Racing Santander,Eibar,0.8929142176218927,1.15791158916093,True,4.0000131931953444e-11,Racing Santander,Eibar,0.798710104484747,0.929305506399378,True,4.17690557380121e-12
Albacete,Espanyol,0.9630922838195406,1.0880919308046537,True,2.335044479920902e-11,Albacete,Espanyol,1.1536687781244923,0.9124210056087461,True,6.664541786366678e-12
Leganes,Andorra,1.1283938934629985,0.8570772198179425,True,6.0336956770485014e-12,Leganes,Andorra,0.9692502605924547,0.7670372957345761,True,3.139725838819205e-11
FC Cartagena SAD,Eldense,1.3027840808739872,0.6307792330357911,True,1.6503285922056074e-09,FC Cartagena SAD,Eldense,1.1445762911826407,0.7859635404111645,True,2.732283963671914e-10
Burgos CF,Huesca,1.12791112265517,0.840887500558783,True,4.684333878187202e-12,Burgos CF,Huesca,1.0410622573653323,0.6802498287022762,True,1.8281247694169229e-10
Tenerife,R. Oviedo,1.1840609882707795,0.7567295228858636,True,2.646656951727217e-10,Tenerife,R. Oviedo,1.1240616747146328,0.5759369449449145,True,1.3446851985266145e-10
Mirandes,Alcorcon,1.0868722030400793,0.8711106204528484,True,5.904270363561963e-12,Mirandes,Alcorcon,0.8475858616429428,0.917853777114304,True,8.81949482329655e-11
Andorra,FC Cartagena SAD,1.3985246816076233,0.8472882882416753,True,1.6426343130112252e-10,Andorra,FC Cartagena SAD,1.4267940670816777,0.788304220831345,True,6.642879634103155e-10
Zaragoza,Valladolid,0.9919674470285752,0.935096085472302,True,1.0188789971900996e-11,Zaragoza,Valladolid,1.212151285942444,0.7296156366463831,True,7.523176714147043e-11
Levante,Burgos CF,1.6895895669704093,0.6191778095873627,True,7.330652230244366e-13,Levante,Burgos CF,1.2541797898766145,0.6551350725445942,True,1.389044159862403e-10
Espanyol,Racing Santander,1.741490991011397,0.6468648458790645,True,1.2727051899683722e-12,Espanyol,Racing Santander,1.3155583269534026,0.723255762124061,True,6.283867456913821e-10
Eibar,Elche,1.1717747081556882,0.7994013022954073,True,3.9514191772824006e-11,Eibar,Elche,1.0546968914796777,0.7553789091537018,True,1.1793255035623082e-10
Alcorcon,Leganes,0.9244884232062416,0.8844396565361228,True,1.6363244253674098e-09,Alcorcon,Leganes,0.8950898360071537,0.7841817882519961,True,2.452358411899873e-11
Gijon,Mirandes,1.268595701672059,0.7703677534541913,True,8.591397460947342e-10,Gijon,Mirandes,1.2327095108023929,0.6978844088170088,True,3.3646672596413563e-10
Albacete,Amorebieta,1.6963701443708077,0.4686862507947785,True,1.8489097109733684e-10,Albacete,Amorebieta,1.4709798500977465,0.5734248246668349,True,4.866887489377163e-15
R. Oviedo,Ferrol,1.2231751074237471,0.6074487076164294,True,4.5609050475134966e-11,R. Oviedo,Ferrol,1.0608261356202608,0.6259394302065735,True,1.6952999346249896e-09
Villarreal B,Eldense,1.476350547973312,0.840994676557238,True,7.060052863428777e-13,Villarreal B,Eldense,1.1108363669604207,0.8501276368284921,True,4.817001384357571e-12
Huesca,Tenerife,0.8791637358162588,0.879166187026628,True,2.3207192380552865e-11,Huesca,Tenerife,0.7396699435168097,0.9046458797742317,True,1.447357237434634e-10
FC Cartagena SAD,Levante,0.992346053862988,1.0823842774795067,True,2.135445474591646e-11,FC Cartagena SAD,Levante,0.8687625473323528,1.1019308620412491,True,1.894584229083043e-11
Burgos CF,R. Oviedo,1.0767967608249336,0.6688572643737904,True,2.0421615365201952e-10,Burgos CF,R. Oviedo,0.9542298855703893,0.6871847056075847,True,4.5304801397514587e-10
Elche,Villarreal B,1.4433928343663878,0.5510216407156827,True,8.382614345687337e-12,Elche,Villarreal B,1.7208938404104137,0.7152522959553052,True,1.0805901106211026e-09
