team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Winterthur,Luzern,1.0518049812844503,1.4818116993206791,True,4.391961115349001e-12,Winterthur,Luzern,0.9361134080026889,1.4997304875085895,True,6.325120338816988e-10
St. Gallen,Basel,1.5590678751398228,1.1170246600084954,True,9.853733151287709e-11,St. Gallen,Basel,1.7482435648738155,1.0348977924694933,True,1.1052352558070193e-13
Grasshoppers,Servette,1.051311344240733,1.4215412826576683,True,2.960323885991513e-11,Grasshoppers,Servette,1.090707604599489,1.5762022377251443,True,2.530477047634006e-10
Zurich,Yverdon,1.9057158066806938,0.7915598130328226,True,1.6141500155474878e-12,Zurich,Yverdon,1.9766922718426712,0.7444406091865031,True,2.682650143448266e-13
Young Boys,Lausanne,2.6551203579875384,0.7250454593012142,True,2.4639045056996123e-12,Young Boys,Lausanne,2.3617939819062768,0.8936475657994316,True,4.062636945231414e-11
Lausanne Ouchy,Lugano,0.9970065646137626,1.3573889504327883,True,1.1926500922435255e-10,Lausanne Ouchy,Lugano,1.0570005157944693,1.636714910116993,True,9.760940406993541e-11
Lugano,St. Gallen,1.3252910381917073,1.2993288108914187,True,4.8618327565289625e-14,Lugano,St. Gallen,1.51158465757294,1.3973794537973832,True,4.912722411566736e-12
Servette,Zurich,1.7930729839939412,0.9894971456949988,True,1.3493281864981839e-10,Servette,Zurich,1.4914337574382188,1.1162314343160409,True,2.976684103693618e-10
Lausanne,Grasshoppers,1.2805199527532432,1.1053495615144353,True,7.969304245834633e-13,Lausanne,Grasshoppers,1.8463362016846574,1.0246937348646639,True,1.1095176518642536e-14
Luzern,Lausanne Ouchy,1.900025405227915,0.8324061880356098,True,2.4031887058691684e-10,Luzern,Lausanne Ouchy,1.9236000123049346,0.8405767420837496,True,3.297324889699363e-11
Basel,Winterthur,1.9149772871727861,0.8781829100306234,True,2.0592656373370646e-09,Basel,Winterthur,1.463198929493735,1.0861916855554394,True,3.569015580488511e-13
Yverdon,Young Boys,0.9333106438822683,2.239149710844064,True,8.177626625164796e-13,Yverdon,Young Boys,0.8059158055874831,2.4381091402308783,True,3.193681092066047e-12
Zurich,Lugano,1.4232018879440638,1.0183000805289484,True,1.6638827375028638e-12,Zurich,Lugano,1.284146417805756,1.1191734842954704,True,4.8783693302619874e-12
Young Boys,Winterthur,2.821674319275084,0.8486065670819585,True,3.79339787363443e-12,Young Boys,Winterthur,2.4868395454183654,0.9603064517141714,True,6.967865627028849e-10
Lausanne Ouchy,Servette,1.1221823963349307,1.6472203952228175,True,1.1587544722824792e-11,Lausanne Ouchy,Servette,1.1243305482859314,1.5222707201970356,True,5.718235638014718e-11
St. Gallen,Luzern,1.8728539139567235,1.2118117633839083,True,5.508911302338744e-10,St. Gallen,Luzern,1.8527310598516604,1.0327445741539616,True,2.495602339845277e-16
Grasshoppers,Basel,1.2481472914345746,1.278689822769573,True,2.2271934285948341e-10,Grasshoppers,Basel,1.2250462909232802,1.3876674748718958,True,2.93176722194934e-10
Lausanne,Yverdon,1.921410748754318,1.065906693290961,True,2.4370859837303093e-15,Lausanne,Yverdon,1.9165858023277935,0.8667549431719747,True,6.204942103404867e-10
Winterthur,Grasshoppers,1.534643644456866,1.1274843352332087,True,8.56030910960722e-12,Winterthur,Grasshoppers,1.4454381420283497,1.1748800103433594,True,2.404838866978563e-09
Servette,St. Gallen,1.823671264149292,1.3712661105699913,True,2.7272600886290817e-15,Servette,St. Gallen,1.4305039253802012,1.6586583875339753,True,7.791255280349758e-12
Lausanne Ouchy,Zurich,1.1311011701234273,1.6257436826244558,True,2.7833738889543895e-10,Lausanne Ouchy,Zurich,1.1143705515453612,1.6497943703796036,True,3.100157579366893e-11
Luzern,Young Boys,1.282737918770386,1.5577325502445047,True,4.7835570085038065e-11,Luzern,Young Boys,1.2268498282886866,1.3959806526305578,True,1.1224092388884671e-09
Lugano,Yverdon,2.270607786079566,0.7722539361534677,True,2.0852739626047943e-10,Lugano,Yverdon,2.266486653071574,0.8786725027078748,True,1.0250303648014228e-08
Basel,Lausanne,1.7818424797645427,1.3044025775338288,True,2.798115332743848e-10,Basel,Lausanne,1.5356306601532115,1.340373351670467,True,1.6516724210190062e-10
Zurich,St. Gallen,1.3576884030433283,1.2016569313858125,True,3.989288291230503e-10,Zurich,St. Gallen,1.3818257344190286,1.1588645444652832,True,2.511267914863487e-14
Yverdon,Servette,1.1215617865292404,1.7953380777393957,True,4.458515677613963e-11,Yverdon,Servette,1.0488076241143496,2.0133978782091693,True,1.3301679770873105e-13
Grasshoppers,Luzern,1.1689275624744668,1.4639384061595415,True,3.2789513097000916e-14,Grasshoppers,Luzern,1.1319410499990075,1.6978113176200818,True,1.737844994400619e-11
Lausanne,Winterthur,1.9363789691122066,1.0401661355168195,True,2.4151593712491673e-16,Lausanne,Winterthur,1.719531141694699,0.9838291568168416,True,8.607709272395305e-11
Lausanne Ouchy,Grasshoppers,1.377851508481323,1.1684935475330065,True,4.603861782531029e-13,Lausanne Ouchy,Grasshoppers,1.5123200353469568,1.223341256120755,True,1.4825122568121356e-10
St. Gallen,Lausanne,2.1524983022534965,1.1499009154395683,True,3.462685985396878e-13,St. Gallen,Lausanne,1.898243370479228,0.9866848180438779,True,2.1132658782340953e-11
Winterthur,Yverdon,1.7240689281262933,0.9752159930032622,True,2.425557296901066e-11,Winterthur,Yverdon,1.617396120195413,0.969230274314218,True,1.0211900419622517e-10
Servette,Young Boys,1.2949706893772972,1.3705766381226716,True,2.2512037638899382e-11,Servette,Young Boys,1.2791727564067157,1.566327390871071,True,1.2163252347076926e-10
Luzern,Lugano,1.483067257366914,1.1419900520847692,True,4.2596543640818466e-14,Luzern,Lugano,1.5484376120232137,1.0404450653599855,True,1.0735267879399063e-10
Basel,Zurich,1.2920548530091158,1.1509660451463404,True,5.84354226686069e-11,Basel,Zurich,1.2400507832892467,1.2930480106612972,True,3.599505050532234e-10
Grasshoppers,St. Gallen,1.169112044088099,1.854781908545064,True,3.582541815785957e-10,Grasshoppers,St. Gallen,1.0800801942779894,1.9483355718444055,True,2.642580566142912e-10
Winterthur,Lausanne Ouchy,1.4966725646645616,1.0581507867047288,True,1.7908790916119434e-10,Winterthur,Lausanne Ouchy,1.5651634355379003,1.0796584716048716,True,1.7543539767053658e-10
Lausanne,Zurich,1.2640096645433991,1.328116266616479,True,4.4054166816432767e-10,Lausanne,Zurich,1.3276579205100345,1.3528546276387303,True,1.5348908924118184e-11
Yverdon,Basel,1.094198921383471,1.6374623965069521,True,1.1233587612903592e-10,Yverdon,Basel,1.2385530844813666,1.6868105694109594,True,1.6455931843404278e-11
Luzern,Servette,1.5349318919592996,1.1664059831397362,True,1.1731662785351958e-10,Luzern,Servette,1.5084502526695838,1.1632282242330045,True,3.719689031341089e-10
Young Boys,Lugano,2.0704485470859066,1.1563943282939873,True,9.31060542369717e-12,Young Boys,Lugano,2.016594362779016,1.0972603159704106,True,1.0805447450550192e-15
Zurich,Grasshoppers,2.0662392813259265,0.8827621343295373,True,2.632290339393275e-11,Zurich,Grasshoppers,1.8506321470157112,0.81001491831011,True,3.1365813969418976e-11
St. Gallen,Young Boys,1.507216402259326,1.3609747282154705,True,3.407894051061132e-09,St. Gallen,Young Boys,1.400887437344489,1.231506036605978,True,2.4365806750091635e-10
Servette,Winterthur,2.1424331922084137,1.0722559984008546,True,1.2207101151466366e-13,Servette,Winterthur,1.9561314148170044,0.8716132312841817,True,1.48017577121112e-10
Lugano,Lausanne,1.7473624703253527,1.0757207873474748,True,1.9163676023758845e-14,Lugano,Lausanne,1.5539654112430823,1.2546798429910124,True,1.2869512326502975e-11
Basel,Luzern,1.4532040849920838,1.3021152107909755,True,6.142393500021844e-10,Basel,Luzern,1.4238651964583044,1.4074375787009987,True,2.306311279525217e-10
Lausanne Ouchy,Yverdon,1.738486889936073,1.1520194732243538,True,2.6265112880336375e-10,Lausanne Ouchy,Yverdon,1.4935727566059835,1.2126321958862807,True,1.306565481214823e-10
Grasshoppers,Young Boys,1.0924060705349778,2.068530997493721,True,1.1198377264735836e-10,Grasshoppers,Young Boys,1.1243957738213162,1.9187985941203418,True,1.3221502516921502e-10
Servette,Lausanne,1.7929412114432146,1.0268372839365525,True,3.35986615955092e-10,Servette,Lausanne,1.6908043932046228,1.0676004827444316,True,3.4163577890597085e-11
Winterthur,Lugano,1.1374064793774141,1.358059786670544,True,1.2375522736841659e-12,Winterthur,Lugano,1.3387581225489935,1.3076578807579469,True,1.0903367522996574e-11
Luzern,Zurich,1.4817286044216915,1.2677606645313044,True,1.2053127491889666e-10,Luzern,Zurich,1.347161492050541,1.1975093418950735,True,3.8029131995036345e-10
Yverdon,St. Gallen,1.0138532932246926,2.0189916268401404,True,6.930071945322439e-13,Yverdon,St. Gallen,1.0341599598148519,2.0148560672674947,True,7.175050678454467e-11
Basel,Lausanne Ouchy,1.887893262976481,0.9793928617233614,True,1.5080326759957032e-11,Basel,Lausanne Ouchy,1.8057868846858482,1.056120435320829,True,2.517645479524857e-12
Yverdon,Grasshoppers,1.3157151492620687,1.143996060050824,True,2.7873815866575637e-11,Yverdon,Grasshoppers,1.2470453043783771,1.2120311574463287,True,2.0747511053181054e-10
Zurich,Winterthur,1.8871159983662427,0.870294078294701,True,6.109229820420237e-11,Zurich,Winterthur,1.9344485915106282,0.958430052833295,True,1.6521833604553322e-09
St. Gallen,Lausanne Ouchy,2.471590001193201,0.9492660872602348,True,3.798065588153038e-10,St. Gallen,Lausanne Ouchy,2.0997707060494673,0.9911824797976917,True,1.2862638924548948e-10
Lugano,Servette,1.538959845353008,1.1553330301395652,True,1.9287958255638262e-12,Lugano,Servette,1.4345844533372567,1.264527600650486,True,4.882756199502568e-10
Lausanne,Luzern,1.444812849274079,1.2847562176149203,True,2.078515258305085e-09,Lausanne,Luzern,1.2351826979896787,1.2382150339491964,True,3.528525722027371e-10
Young Boys,Basel,2.3392349857196764,1.0633011049943115,True,1.881737173685299e-11,Young Boys,Basel,2.2234345498693524,1.0061997586058287,True,2.5637040368546692e-11
Young Boys,Zurich,2.006180228232625,1.2638733874929322,True,6.0760795602734445e-12,Young Boys,Zurich,1.5006416368855404,1.0287583132325813,True,1.6947620814792264e-10
Lausanne Ouchy,Lausanne,1.1739314279492563,1.3387957526425687,True,4.474284663699521e-12,Lausanne Ouchy,Lausanne,1.1437768322643533,1.2492037379769825,True,1.2125130815665193e-11
Basel,Servette,1.373039154300723,1.3430500723292964,True,1.40952566013934e-10,Basel,Servette,1.1742877813400934,1.4448360525273207,True,9.3457605819575e-16
Winterthur,St. Gallen,1.1070606489470285,1.5785766501639225,True,1.7910776032301262e-11,Winterthur,St. Gallen,1.2864979662751406,1.643701806825524,True,2.998990176640712e-11
Grasshoppers,Lugano,1.2383382410512622,1.2384308970718916,True,3.6996107405633045e-10,Grasshoppers,Lugano,1.3103292508317401,1.3636973982293619,True,1.4286167727421151e-13
Luzern,Yverdon,2.075205576375604,1.0482084179568107,True,3.056886475558841e-14,Luzern,Yverdon,1.92556659181834,1.0270483367093834,True,1.688897362640526e-10
Zurich,Lausanne Ouchy,2.0940621181855104,0.8746470467802654,True,7.870928993087646e-10,Zurich,Lausanne Ouchy,1.9666466157725164,0.7936127548501455,True,4.554986917341547e-11
Yverdon,Winterthur,1.3479613688259058,1.41929915330641,True,3.976970474021423e-10,Yverdon,Winterthur,1.4021880548265413,1.3040520523182988,True,3.1385395576252186e-10
