team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Al Ain,Bani Yas,2.8258622041621413,0.760318978288151,True,2.8168989113396678e-09,Al Ain,Bani Yas,2.4494856466748938,0.543804532352862,True,6.050958169952915e-11
Al Wahda,Al Bataeh,2.7896675847796097,0.7354455254221848,True,3.9524581886575805e-10,Al Wahda,Al Bataeh,2.781427469247058,0.7913312392161591,True,1.452163893391772e-09
Ajman,Shabab Al-Ahli Dubai,1.0739197949469252,1.6037598732575524,True,2.1568829363303013e-11,Ajman,Shabab Al-Ahli Dubai,0.8796148188358068,2.0727962881677846,True,3.2395933579996248e-12
Ittihad Kalba,Al Sharjah,0.9927193972772729,1.5588587296443865,True,6.947641271759497e-11,Ittihad Kalba,Al Sharjah,0.9583440783150714,1.570263805724777,True,5.110518119309198e-09
Al Wasl,Emirates Club,2.36256821660643,0.8998735923188703,True,6.515702525336849e-09,Al Wasl,Emirates Club,2.736609609754325,0.8201582468914677,True,3.74035193192593e-11
Al Nasr,Al Jazira,1.1389167239021527,1.5366025655341666,True,1.170103918940803e-10,Al Nasr,Al Jazira,1.088251743706104,1.6298983637568438,True,1.2174273127230607e-10
Khorfakkan,Hatta,1.8491216810188418,1.0852079736613265,True,1.035530408128952e-12,Khorfakkan,Hatta,1.8270447853423282,1.1453624114669891,True,1.2276678673860506e-13
Emirates Club,Ajman,1.2201822808413674,1.7647896718139986,True,1.9570462032843835e-11,Emirates Club,Ajman,1.2903607351043829,1.7925452124219479,True,1.6109726945261057e-10
Al Jazira,Al Wahda,1.3906856387567927,1.3030342471948648,True,3.6917986784146594e-10,Al Jazira,Al Wahda,1.483907590045346,1.095938911808634,True,2.3405119154750977e-10
Hatta,Al Ain,0.9169074026269306,2.506013521953989,True,1.835744290607488e-10,Hatta,Al Ain,0.8635271880166445,2.6462707884996943,True,1.8590361920354302e-10
Bani Yas,Al Nasr,1.2620128687402927,1.3373241599656258,True,5.48798009921159e-10,Bani Yas,Al Nasr,1.3080027778155559,1.3017280049257993,True,1.0514498244583725e-13
Al Bataeh,Ittihad Kalba,1.1599233672109197,1.5906306740387182,True,3.930150935832602e-12,Al Bataeh,Ittihad Kalba,1.0607107381110574,1.562737248887823,True,4.683855214628695e-10
Shabab Al-Ahli Dubai,Khorfakkan,2.778544167949611,0.8326149143335775,True,9.931791924370414e-11,Shabab Al-Ahli Dubai,Khorfakkan,2.590705085273471,0.7575755271064838,True,2.7076465329202975e-11
Al Sharjah,Al Wasl,1.4484340264091617,1.098444696875024,True,4.0824124048591874e-14,Al Sharjah,Al Wasl,1.2770790660868983,0.9914216097545717,True,1.969084249394803e-11
Al Ain,Ajman,2.783126047996394,0.8298070855208749,True,2.649215745826911e-10,Al Ain,Ajman,3.073395353694462,0.9788533122468647,True,3.2914409610571844e-13
Al Nasr,Al Sharjah,1.098433405825476,1.4744078108825915,True,8.887627369924825e-11,Al Nasr,Al Sharjah,1.1329283125927445,1.7073174580084858,True,2.5863803861576094e-11
Khorfakkan,Emirates Club,1.8143904835085527,1.0684735645788432,True,7.646391991340147e-14,Khorfakkan,Emirates Club,1.6762276591791452,1.2756763250124599,True,3.994707630279917e-11
Ittihad Kalba,Al Jazira,1.1853102015059116,1.606502900896396,True,4.601004977669264e-12,Ittihad Kalba,Al Jazira,1.2173889532746007,2.064210143032935,True,6.3622522112315075e-09
Al Wasl,Bani Yas,2.1725387067473427,0.9562131780752788,True,1.8230421047942255e-10,Al Wasl,Bani Yas,2.0357166000596028,0.6615932771282841,True,9.18386603054786e-11
