team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
TNS,Connahs Q.,2.434571039289183,0.5608301645273869,True,3.04149925970413e-10,TNS,Connahs Q.,2.468117687090556,0.48547183502852925,True,1.3181966733749836e-10
Haverfordwest,Pontypridd,1.4188620116419774,0.9503192796408004,True,2.552952557040293e-10,Haverfordwest,Pontypridd,1.2076818695960974,0.8439077262487303,True,4.333840205049589e-12
Bala,Barry,2.4512662144135944,0.7404002519458841,True,3.3403609773798587e-12,Bala,Barry,2.1495293753939393,0.7082887696184281,True,3.6785314435804537e-10
Newtown,Penybont,1.1000062237664165,1.328483310040866,True,3.3966233712360535e-11,Newtown,Penybont,0.8233389198093815,1.3476573979478457,True,8.532478963665934e-10
Aberystwyth,Cardiff Metropolitan,1.0527964604784443,1.338439852581538,True,1.362850288219936e-11,Aberystwyth,Cardiff Metropolitan,0.939284300939826,1.2747653756169526,True,1.4884355372560012e-10
Colwyn Bay,Caernarfon,1.54201533041261,1.0270935158820755,True,7.889985252540428e-11,Colwyn Bay,Caernarfon,1.4686479678192832,1.1620532259215006,True,9.30599299936607e-15
Penybont,Haverfordwest,1.6291778627865778,0.8927382459026788,True,7.3676805502996e-14,Penybont,Haverfordwest,1.796300500808083,0.5884772097932977,True,1.3482989752817607e-10
Connahs Q.,Aberystwyth,1.9334374503430358,0.937908775021956,True,1.8035639414467115e-09,Connahs Q.,Aberystwyth,2.0528007427898047,0.837092689350953,True,1.8244875516084926e-10
Caernarfon,Newtown,1.3187750027666163,1.211215783141675,True,1.5721009286914139e-10,Caernarfon,Newtown,1.3329039290908518,1.3102071274700673,True,5.080631654378943e-14
Cardiff Metropolitan,Bala,1.0827272708008326,1.2847441044840782,True,3.1885147241870457e-09,Cardiff Metropolitan,Bala,1.0397068335574124,1.1353992532478256,True,3.112087905076371e-11
Barry,Colwyn Bay,1.5432731306050007,1.2234771181496675,True,1.0320256214273484e-13,Barry,Colwyn Bay,1.295370970338584,1.193904380976253,True,9.830666439388376e-11
Pontypridd,Penybont,0.9405025397535696,1.505476873107702,True,5.78095744201124e-10,Pontypridd,Penybont,0.7693386741167273,1.2639664193902314,True,1.6409325469471922e-10
Bala,Connahs Q.,1.041909707403614,1.0992060520810816,True,2.256561508161743e-11,Bala,Connahs Q.,1.1971202096147326,1.233375035751035,True,2.5804771031760546e-13
Cardiff Metropolitan,Colwyn Bay,1.6812875611128095,0.9028321665193669,True,1.796521611925146e-14,Cardiff Metropolitan,Colwyn Bay,1.532325380888213,0.7767789482976433,True,7.174208035897434e-13
Haverfordwest,Caernarfon,1.4826667501716515,1.2584615660939162,True,1.065793714503864e-13,Haverfordwest,Caernarfon,1.5026598019585329,1.2124534465466044,True,3.4249157879736746e-10
TNS,Barry,6.007449801266058,1.2459000393341817,True,8.089361422343343e-07,TNS,Barry,6.089980811223716,1.1407983975447369,True,3.4277401390624033e-07
Newtown,Aberystwyth,1.846126486017465,0.9223838134378012,True,5.18053224550984e-13,Newtown,Aberystwyth,1.6668254718339957,0.9114406032618151,True,9.204988827124694e-14
Penybont,Cardiff Metropolitan,1.5822729332468215,0.8588057600537944,True,2.6042834254689386e-10,Penybont,Cardiff Metropolitan,1.3512330160289845,0.6433034751637119,True,2.943140988308775e-10
Connahs Q.,Newtown,1.8562806696213308,0.871004502914567,True,3.913643660416748e-11,Connahs Q.,Newtown,1.7055429118458192,0.6737909580735002,True,2.4442891277103865e-09
Colwyn Bay,TNS,0.9547800503225147,3.954979588996579,True,1.537501047281825e-10,Colwyn Bay,TNS,0.6556475395481377,3.8822936762623574,True,7.091102552607584e-11
Caernarfon,Bala,1.061084028085449,1.6924805819938813,True,1.3056864269744802e-11,Caernarfon,Bala,1.1146463625411138,1.6494753418789188,True,2.995194029017999e-11
Barry,Haverfordwest,1.2915024329069968,1.1205077798711909,True,4.7526880369812456e-12,Barry,Haverfordwest,1.2517018988236692,1.1617797625842148,True,2.656018989853747e-11
Aberystwyth,Pontypridd,1.1470351754521353,1.1879239271916078,True,5.494175901696484e-10,Aberystwyth,Pontypridd,0.8431985119246463,1.050624343945624,True,2.524972162237751e-09
Newtown,Cardiff Metropolitan,1.1146628132755518,1.120702159789376,True,1.7812077668534688e-11,Newtown,Cardiff Metropolitan,1.1289748021116095,1.025753839969908,True,1.0296496575087606e-11
Caernarfon,Connahs Q.,0.9764450550062915,1.6607080717996974,True,1.3589813804170743e-09,Caernarfon,Connahs Q.,1.0927047932613205,1.5963162605924721,True,4.134405339249086e-11
Bala,Penybont,1.235001147536776,1.0563919235388093,True,4.3197942744806956e-13,Bala,Penybont,1.0749323331681295,1.0480636118584106,True,1.3908084378246702e-11
Colwyn Bay,Haverfordwest,1.2049035530546068,1.0731350568519493,True,1.9996341724228052e-11,Colwyn Bay,Haverfordwest,1.2730708965833222,1.3080788696333403,True,3.4905451655515275e-10
Pontypridd,Barry,1.3636080469362757,1.0410067713465125,True,2.8423436632347474e-09,Pontypridd,Barry,1.334268897326638,0.9175130827658033,True,9.856138781483303e-12
Cardiff Metropolitan,Pontypridd,1.5596119408016977,0.9127190673450465,True,5.144820923415566e-12,Cardiff Metropolitan,Pontypridd,1.2316495827470373,0.9559229348461198,True,3.784548961775528e-11
Haverfordwest,Newtown,1.2839809271483869,1.1325305359040472,True,1.663525060315541e-11,Haverfordwest,Newtown,1.2655880930957697,1.140370515000568,True,1.3537920226567544e-11
Barry,Connahs Q.,0.9456874054707473,1.7563532350588553,True,1.425923267624114e-09,Barry,Connahs Q.,0.8468698381723585,1.8811288484601545,True,2.475174244386699e-10
Aberystwyth,Caernarfon,1.125885118545744,1.404697362195216,True,1.4592837226926561e-10,Aberystwyth,Caernarfon,0.9758511382056997,1.6809944467397984,True,1.9499456491281584e-10
Penybont,Colwyn Bay,2.0234968033923098,0.7936172293088127,True,9.983398420853905e-12,Penybont,Colwyn Bay,2.0993034610529238,0.5422146652566537,True,5.189832768036313e-10
Bala,TNS,0.8346502783012302,2.188885969418791,True,2.1566065571285575e-11,Bala,TNS,0.7017974759312955,2.6578376883648165,True,2.66639930297416e-11
Colwyn Bay,Aberystwyth,1.6185076384650214,1.0455094491577288,True,2.173431374469477e-09,Colwyn Bay,Aberystwyth,1.3687777676530526,1.019669566721963,True,6.023396043458126e-13
