referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close
/football/albania/superliga/partizani-teuta/,nXfY3R0m,Partizani,Teuta,1:1,superliga,albania,main,2023,2023-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/dinamo-tirana-laci/,4ErUzEEA,Dinamo Tirana,Laci,2:0,superliga,albania,main,2023,2023-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-tirana-partizani/,AiqQyfa4,KF Tirana,Partizani,1:1,superliga,albania,main,2023,2023-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kukesi-teuta/,27cZXBbT,Kukesi,Teuta,0:0,superliga,albania,main,2023,2023-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-egnatia-vllaznia/,r5sYZXTG,Egnatia,Vllaznia,3:0,superliga,albania,main,2023,2023-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/skenderbeu-korca-erzeni-shijak/,OGbVYiqN,Skenderbeu,Erzeni,1:0,superliga,albania,main,2023,2023-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kukesi-skenderbeu-korca/,dluMxzpb,Kukesi,Skenderbeu,2:2,superliga,albania,main,2023,2023-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/laci-kf-egnatia/,nJcVFCxo,Laci,Egnatia,0:2,superliga,albania,main,2023,2023-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/teuta-vllaznia/,Agz2Xv8I,Teuta,Vllaznia,0:1,superliga,albania,main,2023,2023-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/erzeni-shijak-kf-tirana/,EPkHwGUi,Erzeni,KF Tirana,1:0,superliga,albania,main,2023,2023-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/partizani-dinamo-tirana/,zZjDvdFo,Partizani,Dinamo Tirana,0:0,superliga,albania,main,2023,2023-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/skenderbeu-korca-teuta/,SUpcYKhC,Skenderbeu,Teuta,3:1,superliga,albania,main,2023,2023-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/vllaznia-laci/,rsqoyN8g,Vllaznia,Laci,0:0,superliga,albania,main,2023,2023-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/dinamo-tirana-erzeni-shijak/,GfsgZ0w6,Dinamo Tirana,Erzeni,1:0,superliga,albania,main,2023,2023-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-egnatia-partizani/,Q5ltx3gm,Egnatia,Partizani,1:1,superliga,albania,main,2023,2023-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-tirana-kukesi/,MXskzsOa,KF Tirana,Kukesi,3:2,superliga,albania,main,2023,2023-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/partizani-vllaznia/,ERKNJLwJ,Partizani,Vllaznia,4:1,superliga,albania,main,2023,2023-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kukesi-dinamo-tirana/,UZ2AsPVP,Kukesi,Dinamo Tirana,0:0,superliga,albania,main,2023,2023-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/skenderbeu-korca-kf-tirana/,nFkxwqvs,Skenderbeu,KF Tirana,1:1,superliga,albania,main,2023,2023-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
