referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close,Pinnacle_+2.5_AH_H_Open,Pinnacle_+2.5_AH_H_Close,Pinnacle_-2.5_AH_A_Open,Pinnacle_-2.5_AH_A_Close,Pinnacle_-4_AH_H_Open,Pinnacle_-4_AH_H_Close,Pinnacle_+4_AH_A_Open,Pinnacle_+4_AH_A_Close,Pinnacle_-3.75_AH_H_Open,Pinnacle_-3.75_AH_H_Close,Pinnacle_+3.75_AH_A_Open,Pinnacle_+3.75_AH_A_Close,Pinnacle_-3.5_AH_H_Open,Pinnacle_-3.5_AH_H_Close,Pinnacle_+3.5_AH_A_Open,Pinnacle_+3.5_AH_A_Close,Pinnacle_-3.25_AH_H_Open,Pinnacle_-3.25_AH_H_Close,Pinnacle_+3.25_AH_A_Open,Pinnacle_+3.25_AH_A_Close,Pinnacle_-3_AH_H_Open,Pinnacle_-3_AH_H_Close,Pinnacle_+3_AH_A_Open,Pinnacle_+3_AH_A_Close,Pinnacle_+3.75_AH_H_Open,Pinnacle_+3.75_AH_H_Close,Pinnacle_-3.75_AH_A_Open,Pinnacle_-3.75_AH_A_Close,Pinnacle_+4_AH_H_Open,Pinnacle_+4_AH_H_Close,Pinnacle_-4_AH_A_Open,Pinnacle_-4_AH_A_Close,Pinnacle_+4.25_AH_H_Open,Pinnacle_+4.25_AH_H_Close,Pinnacle_-4.25_AH_A_Open,Pinnacle_-4.25_AH_A_Close,Pinnacle_+4.5_AH_H_Open,Pinnacle_+4.5_AH_H_Close,Pinnacle_-4.5_AH_A_Open,Pinnacle_-4.5_AH_A_Close,Pinnacle_+4.75_AH_H_Open,Pinnacle_+4.75_AH_H_Close,Pinnacle_-4.75_AH_A_Open,Pinnacle_-4.75_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-2.75_AH_H_Open,Pinnacle_-2.75_AH_H_Close,Pinnacle_+2.75_AH_A_Open,Pinnacle_+2.75_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-4.25_AH_H_Open,Pinnacle_-4.25_AH_H_Close,Pinnacle_+4.25_AH_A_Open,Pinnacle_+4.25_AH_A_Close,Pinnacle_+2.75_AH_H_Open,Pinnacle_+2.75_AH_H_Close,Pinnacle_-2.75_AH_A_Open,Pinnacle_-2.75_AH_A_Close,Pinnacle_+5_AH_H_Open,Pinnacle_+5_AH_H_Close,Pinnacle_-5_AH_A_Open,Pinnacle_-5_AH_A_Close,Pinnacle_+5.25_AH_H_Open,Pinnacle_+5.25_AH_H_Close,Pinnacle_-5.25_AH_A_Open,Pinnacle_-5.25_AH_A_Close
/football/andorra/primera-divisio/atletic-escaldes-ue-santa-coloma/,Qor3hRio,Atletic Escaldes,UE Santa Coloma,1:2,primera-divisio,andorra,main,2023,2023-12-03,Pinnacle,2.90,3.25,2.21,2.90,3.25,2.21,,2.49,,1.46,,2.15,,1.63,,1.81,,1.93,,1.61,,2.19,,1.44,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/andorra/primera-divisio/esperanca-penya/,IuVlGUqh,Esperanca,Penya,0:3,primera-divisio,andorra,main,2023,2023-12-03,Pinnacle,13.81,6.25,1.15,13.81,6.25,1.15,,,,,,,,,,,,,,,,,,,,,,2.99,,1.32,,2.60,,1.41,,2.23,,1.58,,1.99,,1.75,,1.70,,2.02,,1.52,,2.30,,1.44,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/andorra/primera-divisio/fc-santa-coloma-carroi/,UR0zAgNI,FC Santa Coloma,Carroi,2:1,primera-divisio,andorra,main,2023,2023-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,1.46,,2.11,,1.63,,1.91,,1.81,,1.70,,2.00,,1.50,,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/andorra/primera-divisio/pas-de-la-casa-ordino/,vkWpHAUo,Pas de la Casa,Ordino,1:1,primera-divisio,andorra,main,2023,2023-12-03,Pinnacle,3.43,3.45,1.91,3.43,3.45,1.91,,,,,,2.58,,1.43,,2.09,,1.67,,1.83,,1.91,,1.62,,2.18,,1.40,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/andorra/primera-divisio/atletic-america-inter-escaldes/,n3BVAZ7C,Atletic America,Inter Escaldes,0:3,primera-divisio,andorra,main,2023,2023-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,,1.51,,2.05,,1.62,,1.85,,1.79,,1.70,,1.93,,1.56,,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/andorra/primera-divisio/atletic-america-atletic-escaldes/,0n9JDyOg,Atletic America,Atletic Escaldes,1:4,primera-divisio,andorra,main,2023,2023-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/andorra/primera-divisio/esperanca-carroi/,vw8NCew0,Esperanca,Carroi,0:2,primera-divisio,andorra,main,2023,2023-11-26,Pinnacle,1.82,3.63,3.55,1.80,3.56,3.63,1.58,1.61,2.22,2.20,1.37,1.39,2.78,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,2.59,1.54,1.43,2.35,2.44,1.50,1.48,2.00,2.05,1.71,1.69,1.80,1.82,1.93,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/andorra/primera-divisio/fc-santa-coloma-ordino/,4KFAFcgs,FC Santa Coloma,Ordino,2:0,primera-divisio,andorra,main,2023,2023-11-26,Pinnacle,1.36,4.73,6.33,1.26,5.25,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.77,2.22,1.98,1.37,1.54,2.73,2.33,1.42,1.42,2.61,2.62,,,,,2.29,2.59,1.52,1.43,1.97,2.24,1.73,1.56,1.78,1.97,1.94,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/andorra/primera-divisio/pas-de-la-casa-inter-escaldes/,INJEEH8m,Pas de la Casa,Inter Escaldes,0:3,primera-divisio,andorra,main,2023,2023-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/andorra/primera-divisio/penya-ue-santa-coloma/,8CCRBFh6,Penya,UE Santa Coloma,1:2,primera-divisio,andorra,main,2023,2023-11-25,Pinnacle,3.78,3.34,1.85,4.03,3.52,1.72,,,,,3.14,2.81,1.30,1.37,2.35,2.20,1.50,1.61,2.01,1.89,1.71,1.85,1.80,1.66,1.93,2.11,1.56,1.43,2.27,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
