referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close
/football/brazil/serie-d/ferroviario-ferroviaria/,zoHMzefo,Ferroviario,Ferroviaria,2:1,serie-d,brazil,main,2023,2023-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/ferroviaria-ferroviario/,YyVfuynU,Ferroviaria,Ferroviario,0:0,serie-d,brazil,main,2023,2023-09-14,Pinnacle,2.14,2.43,4.42,2.45,2.57,2.86,2.95,2.51,1.33,1.45,2.40,2.12,1.43,1.65,2.06,1.76,1.61,1.99,1.68,1.36,1.98,2.89,1.44,1.24,2.41,3.57,,,,,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/athletic-club-ferroviaria/,MDT4v2u8,Athletic Club,Ferroviaria,1:2,serie-d,brazil,main,2023,2023-09-10,Pinnacle,1.90,2.82,4.46,1.88,2.69,4.08,2.18,2.20,1.54,1.60,1.90,1.90,1.78,1.84,1.59,1.60,2.09,2.20,1.29,1.30,2.89,3.11,,,,,2.78,2.82,1.32,1.36,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/ferroviario-ser-caxias-do-sul/,UwXCxtAK,Ferroviario,SER Caxias,1:0,serie-d,brazil,main,2023,2023-09-10,Pinnacle,2.15,2.35,4.68,1.72,2.88,4.46,1.96,2.51,1.70,1.45,1.74,2.13,1.94,1.65,1.48,1.75,2.35,2.00,1.23,1.34,3.33,3.01,1.28,1.22,3.06,3.75,2.39,2.80,1.45,1.37,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/ferroviaria-athletic-club/,Iu3OV9y8,Ferroviaria,Athletic Club,1:0,serie-d,brazil,main,2023,2023-09-07,Pinnacle,2.10,2.78,3.65,2.23,2.53,3.29,2.68,2.46,1.36,1.47,2.23,2.08,1.54,1.67,1.89,1.78,1.78,1.94,1.51,1.45,2.29,2.56,1.34,1.32,2.77,3.05,,,,,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/ser-caxias-do-sul-ferroviario/,zHX8wMfE,SER Caxias,Ferroviario,1:1,serie-d,brazil,main,2023,2023-09-07,Pinnacle,1.64,3.30,5.20,2.45,2.55,2.86,2.81,1.85,1.33,1.89,2.42,1.63,1.44,2.16,2.07,1.41,1.62,2.64,,,,,,,,,2.66,2.21,1.40,1.60,2.70,2.56,1.39,1.43,,,,,,,,,,,,,,,,
/football/brazil/serie-d/ferroviario-maranhao/,ATKg2lmP,Ferroviario,Maranhao,2:1,serie-d,brazil,main,2023,2023-09-03,Pinnacle,1.58,3.16,4.71,1.53,3.35,4.99,1.68,1.76,2.00,1.86,1.52,1.57,2.23,2.10,1.44,1.38,2.52,2.54,,,,,,,,,1.93,2.07,1.74,1.59,2.21,2.37,1.55,1.43,2.51,2.52,1.38,1.37,2.46,2.16,1.43,1.54,,,,,,,,
/football/brazil/serie-d/sousa-ferroviaria/,xv5Yf6ua,Sousa,Ferroviaria,1:1,serie-d,brazil,main,2023,2023-09-03,Pinnacle,2.02,2.52,4.66,2.14,2.67,3.27,2.51,2.36,1.40,1.53,2.12,2.02,1.57,1.74,1.83,1.67,1.83,2.09,1.48,1.31,2.32,3.08,1.33,1.22,2.75,3.69,2.86,3.03,1.35,1.32,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/athletic-club-bahia-de-feira/,IZX7voeI,Athletic Club,Bahia de Feira,0:1,serie-d,brazil,main,2023,2023-09-02,Pinnacle,1.72,2.82,5.87,1.70,2.91,4.61,1.95,1.95,1.73,1.79,1.69,1.71,1.94,2.02,1.45,1.44,2.35,2.53,,,,,,,,,2.35,2.36,1.47,1.53,2.68,2.70,1.34,1.40,,,,,,,,,,,,,,,,
/football/brazil/serie-d/portuguesa-rj-ser-caxias-do-sul/,UD1QdSAn,Portuguesa RJ,SER Caxias,0:1,serie-d,brazil,main,2023,2023-09-02,Pinnacle,1.96,2.64,4.59,1.75,2.85,4.38,1.99,2.28,1.65,1.56,1.76,1.96,1.91,1.78,1.50,1.63,2.27,2.14,1.24,1.30,3.20,3.11,,,,,2.45,2.90,1.41,1.34,,,,,,,,,,,,,,,,,,,,
