referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close
/football/italy/serie-c-group-b/olbia-rimini/,ENGLK5g8,Olbia,Rimini,0:0,serie-c-group-b,italy,main,2023,2023-12-06,Pinnacle,2.38,2.74,2.78,2.38,2.74,2.78,,2.34,,1.46,,2.03,,1.64,,1.69,,1.99,,1.47,,2.37,,1.34,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/italy/serie-c-group-b/lucchese-juventus/,86H9GYu1,Lucchese,Juventus U23,1:0,serie-c-group-b,italy,main,2023,2023-12-06,Pinnacle,1.93,3.30,4.23,1.93,3.30,4.23,,1.93,,1.93,,1.65,,2.26,,1.38,,3.02,,,,,,,,,,2.77,,1.44,,2.21,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/italy/serie-c-group-b/us-pontedera-pescara/,nyFTIqOK,Pontedera,Pescara,0:5,serie-c-group-b,italy,main,2023,2023-12-05,Pinnacle,2.60,3.16,2.80,2.60,3.16,2.80,,2.54,,1.51,,2.21,,1.68,,1.85,,2.00,,1.60,,2.38,,1.45,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/italy/serie-c-group-b/fermana-sassari-torres/,zw138j6U,Fermana,Torres,1:1,serie-c-group-b,italy,main,2023,2023-12-03,Pinnacle,7.44,3.80,1.52,7.44,3.80,1.52,,,,,,,,,,,,,,,,,,2.57,,1.50,,,,,,,,,,2.25,,1.66,,1.91,,1.94,,1.64,,2.29,,1.48,,2.62,,,,,,,,,,,,,,,,,,,,
/football/italy/serie-c-group-b/olbia-perugia/,E3WDSgin,Olbia,Perugia,0:1,serie-c-group-b,italy,main,2023,2023-12-03,Pinnacle,4.10,3.32,1.95,4.10,3.32,1.95,,,,,,,,,,2.93,,1.40,,2.22,,1.67,,1.90,,1.95,,,,,,,,,,1.67,,2.24,,1.43,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/italy/serie-c-group-b/pineto-sestri-levante/,8QVHRD6h,Pineto,Sestri Levante,1:0,serie-c-group-b,italy,main,2023,2023-12-03,Pinnacle,2.14,2.95,3.98,2.14,2.95,3.98,,2.12,,1.74,,1.81,,2.06,,1.47,,2.74,,1.33,,3.28,,,,,,2.93,,1.40,,2.49,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/italy/serie-c-group-b/vis-pesaro-rimini/,4hPQPiy5,Vis Pesaro,Rimini,1:1,serie-c-group-b,italy,main,2023,2023-12-03,Pinnacle,2.82,2.99,2.72,2.82,2.99,2.72,,2.75,,1.44,,2.37,,1.60,,1.96,,1.89,,1.64,,2.28,,1.47,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/italy/serie-c-group-b/ancona-us-pontedera/,tdamCY65,Ancona,Pontedera,0:1,serie-c-group-b,italy,main,2023,2023-12-02,Pinnacle,2.46,2.97,3.17,2.46,2.97,3.17,,2.44,,1.57,,2.09,,1.79,,1.69,,2.19,,1.48,,2.63,,1.40,,2.94,,,,,,2.92,,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/italy/serie-c-group-b/arezzo-lucchese/,OKlhBhMB,Arezzo,Lucchese,1:1,serie-c-group-b,italy,main,2023,2023-12-02,Pinnacle,2.78,2.99,2.76,2.78,2.99,2.76,,2.71,,1.45,,2.33,,1.62,,1.93,,1.92,,1.63,,2.32,,1.46,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/italy/serie-c-group-b/carrarese-recanatese/,2BmdACyI,Carrarese,Recanatese,1:1,serie-c-group-b,italy,main,2023,2023-12-02,Pinnacle,1.48,4.15,7.16,1.48,4.15,7.16,,1.46,,2.69,,,,,,,,,,,,,,,,,,1.81,,2.06,,1.59,,2.39,,,,,,,,,,,,,,,,,,2.37,,1.58,,2.09,,1.76,,,,,,,,,,,,
/football/italy/serie-c-group-b/cesena-juventus/,dn2a9WjO,Cesena,Juventus U23,1:0,serie-c-group-b,italy,main,2023,2023-12-02,Pinnacle,1.35,4.63,10.14,1.35,4.63,10.14,,,,,,,,,,,,,,,,,,,,,,1.55,,2.49,,1.41,,2.86,,,,,,,,,,,,,,,,,,2.07,,1.77,,1.83,,2.03,,2.91,,1.40,,2.39,,1.57,,,,
/football/italy/serie-c-group-b/entella-pescara/,nHULQXLb,Entella,Pescara,1:2,serie-c-group-b,italy,main,2023,2023-12-02,Pinnacle,2.43,3.23,2.98,2.43,3.23,2.98,,2.40,,1.58,,2.09,,1.79,,1.73,,2.13,,1.52,,2.51,,1.42,,2.83,,,,,,2.86,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/italy/serie-c-group-b/gubbio-spal/,00S9TZyt,Gubbio,Spal,0:0,serie-c-group-b,italy,main,2023,2023-12-02,Pinnacle,2.03,3.00,4.30,2.03,3.00,4.30,,2.03,,1.83,,1.71,,2.16,,1.39,,2.95,,,,,,,,,,3.06,,1.37,,2.37,,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
