referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close,Pinnacle_+2.5_AH_H_Open,Pinnacle_+2.5_AH_H_Close,Pinnacle_-2.5_AH_A_Open,Pinnacle_-2.5_AH_A_Close,Pinnacle_+2.75_AH_H_Open,Pinnacle_+2.75_AH_H_Close,Pinnacle_-2.75_AH_A_Open,Pinnacle_-2.75_AH_A_Close,Pinnacle_+3_AH_H_Open,Pinnacle_+3_AH_H_Close,Pinnacle_-3_AH_A_Open,Pinnacle_-3_AH_A_Close
/football/malta/premier-league/floriana-valletta/,lQ2jSbH1,Floriana,Valletta,1:0,premier-league,malta,main,2023,2023-12-03,Pinnacle,1.87,3.18,4.53,1.87,3.18,4.53,,2.68,,1.44,,2.14,,1.70,,1.87,,1.95,,1.59,,2.33,,1.32,,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/gzira-marsaxlokk/,f33nTv2e,Gzira,Marsaxlokk,2:4,premier-league,malta,main,2023,2023-12-03,Pinnacle,2.42,2.66,3.54,2.42,2.66,3.54,,,,,,2.86,,1.40,,2.40,,1.56,,2.02,,1.81,,1.59,,2.34,,1.39,,2.89,,1.34,,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/hibernians-sliema/,006fRIW7,Hibernians,Sliema,0:1,premier-league,malta,main,2023,2023-12-03,Pinnacle,2.67,2.70,3.07,2.67,2.70,3.07,,,,,,2.79,,1.41,,2.61,,1.47,,2.21,,1.65,,1.78,,2.05,,1.51,,2.54,,1.37,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/naxxar-lions-gudja/,GC4rUKnk,Naxxar,Gudja,2:1,premier-league,malta,main,2023,2023-12-03,Pinnacle,1.75,3.56,4.56,1.75,3.56,4.56,,2.40,,1.56,,1.99,,1.84,,1.74,,2.08,,1.51,,2.47,,,,,,,,,,,,,,2.76,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/balzan-fc-sirens/,byAwV0Xr,Balzan,Sirens,3:0,premier-league,malta,main,2023,2023-12-02,Pinnacle,1.95,3.10,4.24,1.95,3.10,4.24,,2.69,,1.44,,2.21,,1.65,,1.95,,1.87,,1.66,,2.21,,1.37,,2.99,,,,,,,,,,2.46,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/birkirkara-hamrun/,dSNBZtPR,Birkirkara,Hamrun,3:0,premier-league,malta,main,2023,2023-12-02,Pinnacle,4.01,3.16,1.97,4.01,3.16,1.97,,,,,,,,,,,,,,,,,,2.84,,1.39,,2.15,,1.68,,1.85,,1.97,,,,,,1.61,,2.28,,1.37,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/santa-lucia-mosta-fc/,25O7zN9L,Santa Lucia,Mosta,1:0,premier-league,malta,main,2023,2023-12-02,Pinnacle,2.98,3.40,2.26,2.98,3.40,2.26,,,,,,,,,,,,,,2.55,,1.49,,2.20,,1.66,,1.85,,1.97,,1.64,,2.24,,,,,,1.46,,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/mosta-fc-gzira/,SnWfwPP2,Mosta,Gzira,0:3,premier-league,malta,main,2023,2023-11-26,Pinnacle,3.13,3.30,2.23,3.08,3.26,2.07,,,,,,,,,,,,,2.65,2.66,1.39,1.45,2.31,2.28,1.53,1.62,1.92,1.89,1.82,1.93,1.67,1.66,2.05,2.21,,,,,1.49,1.47,2.36,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/naxxar-lions-birkirkara/,6wVbxqu9,Naxxar,Birkirkara,2:0,premier-league,malta,main,2023,2023-11-26,Pinnacle,6.00,4.18,1.49,5.18,3.91,1.50,,,,,,,,,,,,,,,,,,,,,,,,,2.38,2.56,1.48,1.47,,,,,2.14,2.29,1.62,1.60,1.88,2.00,1.85,1.82,1.64,1.72,2.10,2.09,1.50,1.56,2.34,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/valletta-santa-lucia/,l2K3y3fF,Valletta,Santa Lucia,1:1,premier-league,malta,main,2023,2023-11-26,Pinnacle,1.49,3.70,7.92,1.44,4.18,5.77,1.71,1.79,2.03,2.04,1.53,1.59,2.31,2.34,1.45,1.47,2.64,2.61,,,,,,,,,,,,,,,,,1.99,2.05,1.76,1.76,,,,,,,,,,,,,,,,,2.58,2.50,1.43,1.50,2.22,2.30,1.59,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
