referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close
/football/romania/liga-2/chindia-targoviste-concordia/,4vWhz2d9,Chindia Targoviste,Concordia,1:1,liga-2,romania,main,2023,2023-12-03,Pinnacle,2.61,2.89,3.05,2.61,2.89,3.05,,3.03,,1.38,,2.55,,1.51,,2.18,,1.70,,1.78,,2.09,,1.53,,2.55,,1.39,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/romania/liga-2/csm-alexandria-viitorul-targu-jiu/,vcO5XatS,Alexandria,Viitorul Tg. Jiu,0:1,liga-2,romania,main,2023,2023-12-02,Pinnacle,2.82,3.19,2.56,2.82,3.19,2.56,,,,,,2.75,,1.44,,2.40,,1.58,,2.03,,1.83,,1.70,,2.18,,1.52,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/romania/liga-2/csm-slatina-progresul-spartac/,h44tRcJe,CSM Slatina,Progresul Spartac,1:0,liga-2,romania,main,2023,2023-12-02,Pinnacle,1.28,5.32,11.78,1.28,5.32,11.78,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,,1.46,,2.20,,1.69,,1.93,,1.92,,1.68,,2.22,,1.42,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/romania/liga-2/metaloglobus-bucharest-tunari/,rVUdZLBF,Metaloglobus Bucharest,Tunari,3:3,liga-2,romania,main,2023,2023-12-02,Pinnacle,1.65,3.77,5.43,1.65,3.77,5.43,,1.83,,2.03,,1.63,,2.30,,1.43,,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,,1.53,,2.14,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/romania/liga-2/unirea-dej-mioveni/,06P1YuRL,Unirea Dej,Mioveni,0:1,liga-2,romania,main,2023,2023-12-02,Pinnacle,4.27,3.14,1.98,4.27,3.14,1.98,,,,,,,,,,,,,,2.98,,1.39,,2.21,,1.68,,1.88,,1.98,,,,,,,,,,,,,,,,,,,,,,1.63,,2.30,,1.40,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/romania/liga-2/unirea-slobozia-ceahlaul/,xhjWmLQ8,Unirea Slobozia,Ceahlaul,2:1,liga-2,romania,main,2023,2023-12-02,Pinnacle,2.29,3.04,3.42,2.29,3.04,3.42,,2.72,,1.45,,2.27,,1.65,,1.95,,1.90,,1.59,,2.38,,1.42,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/romania/liga-2/fc-buzau-miercurea-ciuc/,Wf3pQHY1,Gloria Buzau,Csikszereda M. Ciuc,0:2,liga-2,romania,main,2023,2023-12-01,Pinnacle,1.74,3.58,4.94,1.74,3.58,4.94,,1.96,,1.89,,1.72,,2.14,,1.50,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,2.70,,1.46,,2.35,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/romania/liga-2/campionii-arges-csc-dumbravita/,b1iSl1B2,FC Arges,CSC Dumbravita,2:0,liga-2,romania,main,2023,2023-11-30,Pinnacle,1.54,3.87,6.78,1.54,3.87,6.78,,1.68,,2.22,,1.52,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,,1.49,,2.28,,1.64,,1.95,,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/romania/liga-2/csa-steaua-bucuresti-corvinul-hunedoara/,AuFySw4k,Steaua Bucuresti,Hunedoara,0:1,liga-2,romania,main,2023,2023-11-30,Pinnacle,2.10,3.19,3.75,2.10,3.19,3.75,,2.42,,1.55,,2.08,,1.77,,1.80,,2.07,,1.49,,2.67,,1.35,,3.14,,,,,,,,,,,,,,,,,,,,,,3.06,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/romania/liga-2/selimbar-csm-resita/,dxBXSJlq,Selimbar,CSM Resita,2:2,liga-2,romania,main,2023,2023-11-30,Pinnacle,2.04,3.04,4.21,2.04,3.04,4.21,,2.37,,1.60,,2.04,,1.83,,1.72,,2.15,,1.40,,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/romania/liga-2/concordia-unirea-slobozia/,WChCNOC3,Concordia,Unirea Slobozia,0:0,liga-2,romania,main,2023,2023-11-28,Pinnacle,1.95,2.92,4.95,1.79,3.18,4.37,2.04,2.26,1.70,1.65,1.81,1.95,1.97,1.90,1.54,1.63,2.33,2.30,1.29,1.32,3.18,3.35,1.32,1.32,3.28,3.34,,,,,,,,,,,,,,,,,,,,,2.50,2.87,1.46,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
