Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,ah_odds,Pinnacle_bookmaker,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_+2.5_AH_H_Open,Pinnacle_Pinnacle_+2.5_AH_H_Close,Pinnacle_Pinnacle_+2.25_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_A_Open,Pinnacle_Pinnacle_-2.25_AH_A_Close,Pinnacle_Pinnacle_-2.5_AH_A_Open,Pinnacle_Pinnacle_-2.5_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close
iran,persian-gulf-pro-league,2023-08-09,Malavan,Zob Ahan,1,2,2.62,2.62,2.86,3.15,2.43,2.92,,Pinnacle,,,1.43,1.35,1.60,1.51,1.51,1.58,1.79,1.98,1.96,1.84,2.21,2.55,2.41,2.37,2.59,3.06,,,,,,,,,,,,,,,,,,,,,1.36,1.40,2.82,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-09,Nassaji Mazandaran,Paykan,1,1,2.26,2.66,3.38,2.33,2.49,4.16,,Pinnacle,1.38,1.41,1.56,1.61,1.82,1.91,1.35,1.30,1.53,1.47,2.32,2.66,1.92,1.91,2.81,3.34,2.24,2.31,2.70,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-09,Gol Gohar,Foolad,3,0,2.62,2.63,2.85,2.77,2.54,3.17,,Pinnacle,,,1.42,1.44,1.59,1.63,1.50,1.49,1.79,1.79,1.96,2.05,2.18,2.26,2.38,2.59,2.56,2.70,,,,,,,,,,,,,,,,,,,,,1.36,1.35,2.78,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-09,Esteghlal Khuzestan,Shams Azar Qazvin,1,1,2.68,2.80,2.87,2.90,2.60,2.93,,Pinnacle,,,1.45,1.40,1.63,1.57,1.55,1.56,1.84,1.90,1.97,1.92,2.24,2.38,2.40,2.41,2.62,2.82,,,,,,,,,,,,,,,,,,,,,1.40,1.40,2.80,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-09,Persepolis,Aluminium Arak,1,0,1.37,3.83,8.02,1.46,3.63,9.26,,Pinnacle,2.43,2.36,2.80,2.70,,,,,,,,,,,,,1.41,1.44,1.46,1.58,1.56,1.51,1.77,1.68,2.09,2.00,1.65,1.83,1.98,2.17,2.24,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-10,Sepahan,Tractor,3,1,1.61,3.32,5.12,1.77,3.06,5.60,,Pinnacle,1.93,1.81,2.18,2.06,2.67,2.54,,,,,,,1.40,1.49,,,1.61,1.75,1.82,2.02,,,1.46,1.40,1.63,1.53,2.16,2.47,2.49,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-10,Havadar SC,Mes Rafsanjan,0,0,3.83,2.81,2.01,3.89,2.58,2.35,,Pinnacle,,,,,1.29,1.34,2.01,1.88,2.68,2.53,1.38,1.51,3.37,3.14,1.69,1.93,,,,,,,,,,,,,,,,,,,,,1.51,1.41,1.74,1.60,2.03,2.32,2.36,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-10,Sanat Naft,Esteghlal F.C.,0,3,4.42,3.07,1.78,5.09,2.84,1.91,,Pinnacle,,,,,,,2.32,2.32,3.21,3.44,1.27,1.29,,,1.53,1.60,,,,,,,,,,,,,,,,,,,,,1.69,1.66,1.96,1.91,1.79,1.91,2.03,2.21,,,1.44,1.41,2.50,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-15,Paykan,Gol Gohar,0,0,3.14,2.79,2.43,4.05,2.44,2.41,,Pinnacle,,,,,1.44,1.32,1.76,1.85,2.15,2.56,1.65,1.50,2.61,3.23,2.07,1.97,,,,,,,,,,,,,,,,,,,,,1.36,1.38,1.53,1.57,2.40,2.39,2.92,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,persian-gulf-pro-league,2023-08-15,Aluminium Arak,Esteghlal Khuzestan,1,0,2.41,2.72,3.39,1.95,2.65,5.50,,Pinnacle,1.38,1.60,1.56,1.86,1.80,2.30,,,1.61,1.27,2.28,3.60,2.02,1.61,,,2.38,1.95,2.91,2.32,,,,,1.31,1.33,3.26,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
